,total_deaths_2020-12-27,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Columbia_UNC-SurvCon,339061,479038.0,485911,145920.0,146850,-930.0,-0.6%
QJHong-Encounter,339061,475768.7,485911,142650.7,146850,-4199.3,-2.9%
IowaStateLW-STEM,339061,472398.0,485911,139280.0,146850,-7570.0,-5.2%
Covid19Sim-Simulator,339061,470893.9,485911,137775.9,146850,-9074.1,-6.2%
IHME-CurveFit,339061,493289.9,485911,160171.9,146850,13321.9,9.1%
IBF-TimeSeries,339061,458697.0,485911,125579.0,146850,-21271.0,-14.5%
JCB-PRM,339061,505883.6,485911,172765.6,146850,25915.6,17.6%
COVIDhub-baseline,339061,442141.9,485911,109023.9,146850,-37826.1,-25.8%
Baseline,339061,439060.9,485911,105942.9,146850,-40907.1,-27.9%
JHUAPL-Bucky,339061,416253.1,485911,83135.1,146850,-63714.9,-43.4%
UCLA-SuEIR,339061,377126.2,485911,44008.2,146850,-102841.8,-70.0%
AIpert-pwllnod,339061,363001.2,485911,29883.2,146850,-116966.8,-79.7%
