,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9242,4622.1,5622.0,4397.0,3917.7,-4619.9,-3620.0,-4845.0,-5324.3,True,False,False
Alaska,282,97.9,425.0,,178.0,-184.1,143.0,,-104.0,True,,True
Arizona,14948,8727.6,8372.7,7444.0,7807.6,-6220.4,-6575.3,-7504.0,-7140.4,False,False,False
Arkansas,5252,3844.9,4584.1,4100.0,3231.4,-1407.1,-667.9,-1152.0,-2020.6,True,True,False
California,46874,22157.9,26089.6,21470.0,21318.5,-24712.1,-20780.4,-25400.0,-25551.5,True,False,False
Colorado,5814,3862.9,5733.2,3606.0,3235.2,-1951.1,-80.8,-2208.0,-2578.8,True,False,False
Connecticut,7381,5433.1,7250.5,5293.0,5021.9,-1947.9,-130.5,-2088.0,-2359.1,True,False,False
Delaware,1356,828.9,1192.2,901.0,749.4,-492.1,-128.8,-420.0,-571.6,True,True,False
District of Columbia,979,764.9,725.4,682.0,725.6,-214.1,-253.6,-297.0,-253.4,False,False,False
Florida,28683,21721.6,30432.2,21664.0,20776.9,-6961.4,1749.2,-7019.0,-7906.1,True,False,False
Georgia,15850,11145.6,11808.8,10699.0,10702.5,-4250.4,-3587.2,-4697.0,-4693.5,True,False,False
Hawaii,424,248.7,432.2,,259.8,-175.3,8.2,,-164.2,True,,True
Idaho,1803,1462.0,1925.0,1471.0,1067.1,-341.0,122.0,-332.0,-735.9,True,True,False
Illinois,22087,16953.9,28099.4,14608.0,14643.3,-5133.1,6012.4,-7479.0,-7443.7,False,False,False
Indiana,12149,8301.1,11850.8,7598.0,6864.9,-3588.9,-39.2,-4292.0,-5025.1,True,False,False
Iowa,5236,3397.0,6218.1,3504.0,3282.1,-1839.0,982.1,-1732.0,-1953.9,True,True,False
Kansas,4329,2124.4,4063.3,2379.0,1862.4,-2137.6,-198.7,-1883.0,-2399.6,True,True,False
Kentucky,4272,2618.1,3448.1,2720.0,3277.1,-1653.9,-823.9,-1552.0,-994.9,True,True,True
Louisiana,9276,7560.3,7679.2,6960.0,7719.1,-1715.7,-1596.8,-2316.0,-1556.9,True,False,True
Maine,647,221.3,299.4,275.5,162.3,-425.7,-347.6,-371.5,-484.7,True,True,False
Maryland,7536,5043.4,5814.5,4912.0,4734.6,-2492.6,-1721.5,-2624.0,-2801.4,True,False,False
Massachusetts,15424,12033.6,15449.7,11756.0,10728.9,-3390.4,25.7,-3668.0,-4695.1,True,False,False
Michigan,16119,11353.9,21535.2,11199.0,9943.7,-4765.1,5416.2,-4920.0,-6175.3,False,False,False
Minnesota,6437,5218.1,8177.4,6354.0,4292.4,-1218.9,1740.4,-83.0,-2144.6,False,True,False
Mississippi,6461,4759.4,4335.0,4431.0,4964.1,-1701.6,-2126.0,-2030.0,-1496.9,False,False,True
Missouri,7780,4924.9,8775.6,5688.0,3606.4,-2835.1,1015.6,-2072.0,-4153.6,True,True,False
Montana,1327,1564.6,2237.2,1715.0,798.8,237.6,910.2,388.0,-528.2,False,False,False
Nebraska,2002,1382.0,2626.0,1523.0,895.8,-620.0,624.0,-479.0,-1106.2,False,True,False
Nevada,4694,2821.0,2856.2,2382.0,2837.2,-1873.0,-1837.8,-2312.0,-1856.8,True,False,True
New Hampshire,1130,572.1,861.9,712.0,530.2,-557.9,-268.1,-418.0,-599.8,True,True,False
New Jersey,22440,17468.3,18731.4,17720.0,17192.8,-4971.7,-3708.6,-4720.0,-5247.2,True,True,False
New Mexico,3516,2392.9,2809.2,2104.0,1819.1,-1123.1,-706.8,-1412.0,-1696.9,True,False,False
New York,45751,35995.4,50440.3,35723.0,34107.9,-9755.6,4689.3,-10028.0,-11643.1,True,False,False
North Carolina,10453,7711.0,8065.1,7395.0,6886.1,-2742.0,-2387.9,-3058.0,-3566.9,True,False,False
North Dakota,1461,2135.6,2333.9,2046.0,973.9,674.6,872.9,585.0,-487.1,False,True,True
Ohio,17746,8482.4,9372.9,8821.0,8152.5,-9068.6,-8178.1,-8730.0,-9398.5,True,True,False
Oklahoma,3994,2726.7,2768.8,3202.0,2276.0,-1267.3,-1225.2,-792.0,-1718.0,True,True,False
