,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9242,6644.0,8045.9,6685.4,10053.0,7457.3,,7498.4,6595.0,9631.5,6634.8,,6331.6,5085.0,-2598.0,-1196.1,-2556.6,811.0,-1784.7,,-1743.6,-2647.0,389.5,-2607.2,,-2910.4,-4157.0,True,True,True,True,,True,False,True,False,,False,False
Alaska,282,246.9,199.5,249.9,334.0,415.8,,401.1,,330.2,282.7,,294.6,240.5,-35.1,-82.5,-32.1,52.0,133.8,,119.1,,48.2,0.7,,12.6,-41.5,False,True,False,False,,False,,False,True,,True,False
Arizona,14948,12795.3,24957.9,12855.6,15034.0,12563.0,,12446.1,12700.0,15990.8,12231.6,,11410.3,8819.0,-2152.7,10009.9,-2092.4,86.0,-2385.0,,-2501.9,-2248.0,1042.8,-2716.4,,-3537.7,-6129.0,False,True,True,False,,False,False,True,False,,False,False
Arkansas,5252,5531.3,5577.2,5431.0,6079.0,5030.3,,3980.3,5924.0,6750.4,4712.3,,5191.5,3834.2,279.3,325.2,179.0,827.0,-221.7,,-1271.7,672.0,1498.4,-539.7,,-60.5,-1417.8,False,True,False,True,,False,False,False,False,,True,False
California,46874,35521.4,54359.7,35572.8,127165.0,44736.9,,50290.8,34578.0,60255.3,57185.1,,33504.4,25245.5,-11350.6,7487.7,-11299.2,80293.0,-2135.1,,3418.8,-12294.0,13383.3,10313.1,,-13367.6,-21626.5,True,True,False,True,,True,False,False,True,,False,False
Colorado,5814,7589.4,6817.7,8083.3,6323.0,7076.6,,7537.2,7616.0,8507.9,5311.0,,6533.8,5059.3,1775.4,1003.7,2269.3,509.0,1262.6,,1723.2,1802.0,2693.9,-503.0,,719.8,-754.7,True,False,True,True,,True,False,False,True,,True,True
Connecticut,7381,7293.9,6393.7,7328.0,8964.0,7989.7,,7593.6,7363.0,8950.2,7151.7,,6220.0,5790.0,-87.1,-987.3,-53.0,1583.0,608.7,,212.6,-18.0,1569.2,-229.3,,-1161.0,-1591.0,False,True,False,False,,False,True,False,False,,False,False
Delaware,1356,1223.4,1400.3,1202.3,1272.0,1160.4,,1203.7,1239.0,1417.8,1084.9,,1174.3,936.0,-28.6,148.3,-49.7,20.0,-91.6,,-48.3,-13.0,165.8,-167.1,,-77.7,-316.0,False,False,True,False,,False,True,False,False,,False,False
District of Columbia,979,909.9,3322.5,866.3,928.0,936.5,,906.3,861.0,999.9,845.9,,799.8,767.3,-69.1,2343.5,-112.7,-51.0,-42.5,,-72.7,-118.0,20.9,-133.1,,-179.2,-211.7,False,False,True,True,,False,False,True,False,,False,False
Florida,28683,26083.7,24181.5,25979.3,28962.0,28359.1,,29249.3,24728.0,29272.5,25247.4,,24971.2,22803.6,-2599.3,-4501.5,-2703.7,279.0,-323.9,,566.3,-3955.0,589.5,-3435.6,,-3711.8,-5879.4,False,False,True,True,,True,False,True,False,,False,False
