,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9242,5935.1,5297.0,6678.7,6336.0,5049.2,-3306.9,-3945.0,-2563.3,-2906.0,-4192.8,False,True,True,False
Alaska,282,162.3,565.0,266.4,,308.9,-119.7,283.0,-15.6,,26.9,False,True,,True
Arizona,14948,8384.9,12149.5,13186.2,8430.0,7805.0,-6563.1,-2798.5,-1761.8,-6518.0,-7143.0,True,True,True,False
Arkansas,5252,4420.1,4810.1,3640.2,4592.0,5715.5,-831.9,-441.9,-1611.8,-660.0,463.5,True,False,True,True
California,46874,24227.7,29198.2,32146.4,23847.0,24238.9,-22645.3,-17674.8,-14726.6,-23026.0,-22634.1,True,True,False,True
Colorado,5814,5888.9,7645.1,7628.1,5998.0,6399.4,74.9,1831.1,1814.1,184.0,585.4,False,False,False,False
Connecticut,7381,5907.0,8121.2,7452.6,6413.0,6340.5,-1474.0,740.2,71.6,-968.0,-1040.5,True,True,True,True
Delaware,1356,890.3,1304.4,1193.8,989.0,896.9,-423.7,-9.6,-120.2,-325.0,-417.1,True,True,True,True
District of Columbia,979,788.6,867.8,998.5,721.0,788.9,-190.4,-111.2,19.5,-258.0,-190.1,True,True,False,True
Florida,28683,23599.4,24206.3,24674.5,23504.0,23369.6,-5083.6,-4476.7,-4008.5,-5179.0,-5313.4,True,True,False,False
Georgia,15850,12055.6,22090.0,15848.3,12336.0,11107.2,-3794.4,6240.0,-1.7,-3514.0,-4742.8,False,True,True,False
Hawaii,424,363.4,345.4,273.5,,285.3,-60.6,-78.6,-150.5,,-138.7,False,False,,False
Idaho,1803,1916.1,2236.6,2163.7,1966.0,1740.6,113.1,433.6,360.7,163.0,-62.4,False,False,False,True
Illinois,22087,22579.1,27633.8,22417.6,21940.0,27135.3,493.1,5547.8,331.6,-146.0,5049.3,False,True,True,False
Indiana,12149,9988.6,14223.5,9488.2,10634.0,11780.5,-1691.4,2543.5,-2191.8,-1046.0,100.5,False,False,True,True
Iowa,5236,4727.6,6735.9,4797.8,4808.0,5181.8,-508.4,1499.9,-438.2,-428.0,-54.2,False,True,True,True
Kansas,4329,3009.7,3699.7,2831.6,3256.0,3812.2,-1235.3,-545.3,-1413.4,-989.0,-432.8,True,False,True,True
Kentucky,4272,3281.0,3935.0,4227.1,3404.5,3985.4,-991.0,-337.0,-44.9,-867.5,-286.6,True,True,True,True
Louisiana,9276,7908.1,9423.8,11024.9,9132.0,8011.8,-1367.9,147.8,1748.9,-144.0,-1264.2,True,False,True,True
Maine,647,306.4,791.4,465.5,363.0,236.2,-340.6,144.4,-181.5,-284.0,-410.8,True,True,True,False
Maryland,7536,5999.1,7215.8,8253.9,6216.0,5632.2,-1536.9,-320.2,717.9,-1320.0,-1903.8,True,True,True,False
Massachusetts,15424,12681.9,15783.5,14066.7,13368.0,12846.7,-2742.1,359.5,-1357.3,-2056.0,-2577.3,True,True,True,True
Michigan,16119,14791.7,23841.9,16937.4,17136.0,11511.2,-1327.3,7722.9,818.4,1017.0,-4607.8,False,True,True,False
Minnesota,6437,7281.0,12485.7,7559.5,8977.0,8022.6,844.0,6048.7,1122.5,2540.0,1585.6,False,False,False,False
Mississippi,6461,5253.0,4945.3,5477.9,5272.0,5407.1,-1208.0,-1515.7,-983.1,-1189.0,-1053.9,False,True,True,True
Missouri,7780,5842.7,9899.8,7141.9,6569.0,5478.7,-1914.3,2142.8,-615.1,-1188.0,-2278.3,False,True,True,False
Montana,1327,1587.1,1979.6,1010.5,1891.0,1473.0,260.1,652.6,-316.5,564.0,146.0,False,False,False,True
Nebraska,2002,2450.4,2966.2,2211.3,2373.0,1982.1,448.4,964.2,209.3,371.0,-19.9,False,True,True,True
Nevada,4694,3297.6,3746.7,3977.5,2706.0,3333.5,-1396.4,-947.3,-716.5,-1988.0,-1360.5,True,True,False,True
New Hampshire,1130,666.1,940.8,740.1,804.0,616.4,-463.9,-189.2,-389.9,-326.0,-513.6,True,True,True,False
New Jersey,22440,19073.1,24334.4,22069.1,19336.0,23580.1,-3366.9,1894.4,-370.9,-3104.0,1140.1,True,True,True,True
New Mexico,3516,3375.0,5214.3,3678.9,3432.0,2504.5,-141.0,1698.3,162.9,-84.0,-1011.5,False,False,True,False
New York,45751,37722.0,43802.9,44854.5,37610.0,46195.5,-8029.0,-1948.1,-896.5,-8141.0,444.5,True,True,False,True
North Carolina,10453,7737.4,8873.6,12793.1,8074.0,8153.2,-2715.6,-1579.4,2340.1,-2379.0,-2299.8,True,True,True,True
North Dakota,1461,2150.3,2554.9,1486.2,2546.0,1180.8,689.3,1093.9,25.2,1085.0,-280.2,False,True,False,True
Ohio,17746,9244.9,14353.7,14144.5,10876.0,13270.5,-7571.1,-2462.3,-2671.5,-5940.0,-3545.5,True,True,True,True
Oklahoma,3994,2890.9,4038.1,3740.7,3415.0,3599.8,-1103.1,44.1,-253.3,-579.0,-394.2,True,True,True,True
Oregon,2137,1519.6,2341.3,2069.0,1636.0,2064.6,-617.4,204.3,-68.0,-501.0,-72.4,True,True,True,True
Pennsylvania,23043,16052.9,19903.3,19240.0,18713.0,15784.0,-6990.1,-3139.7,-3803.0,-4330.0,-7259.0,True,True,True,False
Rhode Island,2459,1768.3,2268.0,1957.3,1697.0,1738.6,-641.7,-142.0,-452.7,-713.0,-671.4,True,True,False,False
South Carolina,7911,6310.6,6045.9,5494.2,5656.0,6275.3,-1600.4,-1865.1,-2416.8,-2255.0,-1635.7,False,False,False,False
South Dakota,1838,2894.0,2308.5,1347.3,3224.0,1286.9,1056.0,470.5,-490.7,1386.0,-551.1,True,True,False,True
Tennessee,10902,8688.7,9961.2,8853.0,9057.0,9276.4,-2213.3,-940.8,-2049.0,-1845.0,-1625.6,True,True,True,True
Texas,41149,33083.6,35886.8,36564.2,36576.0,30370.9,-7738.4,-4935.2,-4257.8,-4246.0,-10451.1,True,True,True,False
Utah,1790,1682.3,2739.1,2381.9,2124.0,1947.4,-107.7,949.1,591.9,334.0,157.4,False,False,False,False
Vermont,189,110.4,57.9,77.1,101.0,106.5,-78.6,-131.1,-111.9,-88.0,-82.5,False,False,False,False
Virginia,6996,5574.3,5511.8,6503.8,5684.0,5316.2,-1421.7,-1484.2,-492.2,-1312.0,-1679.8,False,True,True,False
Washington,4675,3804.7,11701.5,5182.6,3994.0,4289.2,-877.3,7019.5,500.6,-688.0,-392.8,False,True,True,True
West Virginia,2201,1610.6,2655.8,2147.1,1968.0,1911.5,-590.4,454.8,-53.9,-233.0,-289.5,True,True,True,True
Wisconsin,6744,7881.0,7287.5,7434.3,7443.0,8719.5,1137.0,543.5,690.3,699.0,1975.5,True,True,True,False
Wyoming,647,555.4,1103.6,434.8,876.0,477.7,-91.6,456.6,-212.2,229.0,-169.3,False,False,False,False
US,485911,382171.3,504817.2,441234.0,402000.0,416675.4,-101817.7,20828.2,-42755.0,-81989.0,-67313.6,True,True,True,True
