,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9242,6964.4,7012.7,7675.2,7046.0,6544.2,-2277.6,-2229.3,-1566.8,-2196.0,-2697.8,True,True,True,False
Alaska,282,359.9,498.7,249.6,,410.8,77.9,216.7,-32.4,,128.8,False,True,,False
Arizona,14948,10064.9,12304.5,10794.6,9168.0,9526.5,-4883.1,-2643.5,-4153.4,-5780.0,-5421.5,True,True,False,False
Arkansas,5252,4532.9,4441.7,4239.5,4481.0,5217.2,-719.1,-810.3,-1012.5,-771.0,-34.8,False,False,False,True
California,46874,27587.0,36134.9,41208.2,26800.0,27395.2,-19276.0,-10728.1,-5654.8,-20063.0,-19467.8,True,True,False,False
Colorado,5814,6835.6,7868.9,8852.7,6750.0,6985.3,1021.6,2054.9,3038.7,936.0,1171.3,False,False,True,False
Connecticut,7381,6969.6,7290.8,7388.7,6726.0,6426.2,-411.4,-90.2,7.7,-655.0,-954.8,True,True,False,False
Delaware,1356,1019.7,1181.3,1048.5,1007.0,992.1,-280.3,-118.7,-251.5,-293.0,-307.9,True,True,False,False
District of Columbia,979,864.6,928.0,1018.2,826.0,827.3,-114.4,-51.0,39.2,-153.0,-151.7,True,True,False,False
Florida,28683,25850.3,26195.1,28715.9,23427.0,25439.0,-2832.7,-2487.9,32.9,-5256.0,-3244.0,True,True,False,False
Georgia,15850,13394.0,11780.1,13638.2,12394.0,13592.9,-2456.0,-4069.9,-2211.8,-3456.0,-2257.1,False,True,False,True
Hawaii,424,439.4,293.0,511.8,,307.5,15.4,-131.0,87.8,,-116.5,False,False,,False
Idaho,1803,2168.6,2099.5,2182.3,2141.0,2153.2,365.6,296.5,379.3,338.0,350.2,True,False,True,True
Illinois,22087,26279.7,23381.3,24326.9,21971.0,24600.8,4192.7,1294.3,2239.9,-116.0,2513.8,True,True,True,True
Indiana,12149,11732.4,12397.5,9696.0,11131.0,12575.4,328.4,993.5,-1708.0,-273.0,1171.4,False,False,True,False
Iowa,5236,5851.6,4202.8,4502.5,6036.0,5734.5,615.6,-1033.2,-733.5,800.0,498.5,False,False,False,True
Kansas,4329,4319.3,3736.0,4006.2,4166.0,3791.0,-9.7,-593.0,-322.8,-163.0,-538.0,False,False,False,False
Kentucky,4272,3806.9,3987.6,4219.8,3556.0,4741.8,-465.1,-284.4,-52.2,-716.0,469.8,True,True,False,False
Louisiana,9276,8328.7,10584.0,9159.0,8280.0,8327.3,-947.3,1308.0,-117.0,-996.0,-948.7,False,True,False,False
Maine,647,581.9,543.1,550.0,669.0,298.5,-65.1,-103.9,-97.0,22.0,-348.5,False,False,True,False
Maryland,7536,7024.4,8337.8,9090.0,6798.0,6526.9,-511.6,801.8,1554.0,-738.0,-1009.1,False,False,False,False
Massachusetts,15424,13783.7,15134.0,14295.9,13824.0,13334.5,-1640.3,-290.0,-1128.1,-1600.0,-2089.5,True,True,True,False
Michigan,16119,18739.0,19892.8,15655.0,17524.0,17437.1,2620.0,3773.8,-464.0,1405.0,1318.1,False,True,True,True
Minnesota,6437,8045.0,9287.5,7168.5,9270.0,9119.9,1608.0,2850.5,731.5,2833.0,2682.9,False,True,False,False
Mississippi,6461,5488.9,6051.6,5443.2,5398.0,5688.6,-972.1,-409.4,-1017.8,-1063.0,-772.4,True,False,False,True
Missouri,7780,8562.0,6852.3,7132.9,7175.0,7551.8,811.0,-898.7,-618.1,-576.0,-199.2,False,True,True,True
Montana,1327,1376.7,1542.2,2033.5,1644.0,1444.1,49.7,215.2,706.5,317.0,117.1,False,False,False,False
Nebraska,2002,3334.1,2562.2,3042.7,3456.0,2744.3,1332.1,560.2,1040.7,1454.0,742.3,True,True,False,True
Nevada,4694,4079.4,4615.7,4156.1,3842.0,4281.3,-614.6,-78.3,-537.9,-852.0,-412.7,True,True,False,True
New Hampshire,1130,938.6,859.3,793.8,1010.0,883.5,-191.4,-270.7,-336.2,-120.0,-246.5,False,False,True,False
New Jersey,22440,20702.0,21884.7,23767.4,19988.0,22851.2,-1738.0,-555.3,1327.4,-2452.0,411.2,True,True,False,True
New Mexico,3516,3809.1,4790.6,4879.4,3390.0,2965.7,293.1,1274.6,1363.4,-126.0,-550.3,False,False,True,False
New York,45751,38871.3,50177.6,44482.1,38790.0,41016.0,-6840.7,4465.6,-1229.9,-6922.0,-4696.0,True,True,False,True
