,mean_rank
OliverWyman-Navigator,13.3
COVIDhub-trained_ensemble,13.4
COVIDhub-ensemble,13.7
USC-SI_kJalpha,14.0
LNQ-ens1,14.1
RobertWalraven-ESG,14.7
UMass-MechBayes,14.9
SteveMcConnell-CovidComplete,16.0
Karlen-pypm,16.8
GT-DeepCOVID,17.7
DDS-NBDS,18.6
Google_Harvard-CPF,19.3
LANL-GrowthRate,19.4
UChicagoCHATTOPADHYAY-UnIT,19.5
MOBS-GLEAM_COVID,19.5
Caltech-CS156,19.5
Microsoft-DeepSTIA,19.7
BPagano-RtDriven,20.4
UCLA-SuEIR,20.4
CEID-Walk,21.0
epiforecasts-ensemble1,21.1
COVIDhub-baseline,21.4
CovidAnalytics-DELPHI,21.6
CMU-TimeSeries,21.7
UA-EpiCovDA,21.8
MIT_ISOLAT-Mixtures,21.8
CU-select,21.9
MIT_CritData-GBCF,22.5
AIpert-pwllnod,22.7
SigSci-TS,22.8
Covid19Sim-Simulator,23.4
IHME-CurveFit,23.4
UMich-RidgeTfReg,23.8
UCSD_NEU-DeepGLEAM,23.9
PSI-DRAFT,25.3
JHU_CSSE-DECOM,25.9
WalmartLabsML-LogForecasting,26.3
JHU_IDD-CovidSP,26.7
IowaStateLW-STEM,30.3
JHUAPL-Bucky,33.1
TTU-squider,33.7
