,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9242,9597.1,9068.2,9022.1,9421.9,9437.0,9384.0,8969.0,8695.0,8227.0,8523.2,,8028.1,8682.0,9040.0,,9058.1,8673.8,,7846.3,9654.0,7401.5,9113.0,8181.2,8293.5,8978.0,9197.3,9060.0,8814.0,8897.4,8915.0,9223.8,9774.0,,8569.2,8744.9,8331.0,8637.0,6899.9,9107.0,9358.6,,8968.8,8779.1,9016.0,9273.5,9092.0,,8245.3,8604.0,355.1,-173.8,-219.9,179.9,195.0,142.0,-273.0,-547.0,-1015.0,-718.8,,-1213.9,-560.0,-202.0,,-183.9,-568.2,,-1395.7,412.0,-1840.5,-129.0,-1060.8,-948.5,-264.0,-44.7,-182.0,-428.0,-344.6,-327.0,-18.2,532.0,,-672.8,-497.1,-911.0,-605.0,-2342.1,-135.0,116.6,,-273.2,-462.9,-226.0,31.5,-150.0,,-996.7,-638.0,True,True,True,True,True,True,False,False,False,,False,False,True,,True,False,,False,False,False,True,False,False,True,True,True,False,True,True,True,False,,False,False,False,False,False,True,True,,True,False,True,True,True,,False,False
Alaska,282,267.6,270.3,290.0,283.9,285.0,268.0,281.0,276.0,264.0,273.8,,259.8,280.0,280.6,,275.6,300.0,,319.3,,347.8,311.0,299.2,276.1,269.0,275.1,312.0,283.3,269.0,281.1,275.7,286.0,,,274.8,278.0,281.0,324.8,273.0,308.5,,275.1,296.7,271.0,291.6,270.0,,278.0,284.0,-14.4,-11.7,8.0,1.9,3.0,-14.0,-1.0,-6.0,-18.0,-8.2,,-22.2,-2.0,-1.4,,-6.4,18.0,,37.3,,65.8,29.0,17.2,-5.9,-13.0,-6.9,30.0,1.3,-13.0,-0.9,-6.3,4.0,,,-7.2,-4.0,-1.0,42.8,-9.0,26.5,,-6.9,14.7,-11.0,9.6,-12.0,,-4.0,2.0,True,True,True,True,True,True,True,False,True,,False,True,True,,True,False,,False,,False,False,False,True,True,True,False,True,True,True,True,True,,,True,True,True,False,True,False,,True,False,True,True,True,,True,True
Arizona,14948,14758.0,14877.8,15102.8,15004.9,15038.0,14954.0,14906.0,14594.0,15044.0,14916.9,,14933.0,15100.0,15220.9,,14486.5,14582.2,,14915.6,15670.0,14292.3,15098.0,14415.6,14625.9,14196.0,14572.4,15049.0,14771.9,14893.2,14957.1,14598.5,15431.0,,15172.4,14840.3,15022.0,14683.0,14647.4,14311.0,14622.2,,14877.6,14601.5,14512.0,15048.0,14895.0,,13837.8,14934.0,-190.0,-70.2,154.8,56.9,90.0,6.0,-42.0,-354.0,96.0,-31.1,,-15.0,152.0,272.9,,-461.5,-365.8,,-32.4,722.0,-655.7,150.0,-532.4,-322.1,-752.0,-375.6,101.0,-176.1,-54.8,9.1,-349.5,483.0,,224.4,-107.7,74.0,-265.0,-300.6,-637.0,-325.8,,-70.4,-346.5,-436.0,100.0,-53.0,,-1110.2,-14.0,True,True,True,True,True,True,False,True,True,,True,True,False,,False,False,,True,False,False,True,False,False,False,False,True,True,True,True,False,False,,False,True,True,False,False,False,False,,True,False,False,True,True,,False,True
Arkansas,5252,5354.6,5505.6,5360.3,5391.7,5343.0,5388.0,5306.0,5259.0,5152.0,5323.2,,5156.9,5306.0,5423.6,,5203.1,5250.7,,5359.1,5495.0,5277.4,5378.0,5277.8,5292.3,5288.0,5288.1,5332.0,5494.4,5328.9,5345.1,5267.0,5306.0,,5433.9,5303.0,5389.0,5324.0,5631.5,5209.0,5395.2,,5344.5,5293.1,5231.0,5393.0,5299.0,,5167.8,5291.0,102.6,253.6,108.3,139.7,91.0,136.0,54.0,7.0,-100.0,71.2,,-95.1,54.0,171.6,,-48.9,-1.3,,107.1,243.0,25.4,126.0,25.8,40.3,36.0,36.1,80.0,242.4,76.9,93.1,15.0,54.0,,181.9,51.0,137.0,72.0,379.5,-43.0,143.2,,92.5,41.1,-21.0,141.0,47.0,,-84.2,39.0,False,False,False,True,False,True,True,True,True,,True,True,False,,True,True,,False,False,True,False,True,True,True,True,True,False,True,True,True,True,,False,True,False,True,False,True,False,,True,True,True,False,True,,True,True
California,46874,47998.1,48111.4,48115.3,48727.6,47977.0,48414.1,47072.0,46627.0,45064.0,46668.6,,45950.4,46474.0,49487.2,,46787.2,46335.5,,45768.8,49976.0,39996.9,47066.0,45907.4,46515.5,46741.0,47210.4,47953.0,48315.5,47644.6,47767.6,47051.7,51800.0,,47554.8,47092.2,46394.0,45987.0,48762.6,46166.0,47374.2,,47714.3,47568.8,45692.0,48830.3,46776.0,,43442.0,47247.0,1124.1,1237.4,1241.3,1853.6,1103.0,1540.1,198.0,-247.0,-1810.0,-205.4,,-923.6,-400.0,2613.2,,-86.8,-538.5,,-1105.2,3102.0,-6877.1,192.0,-966.6,-358.5,-133.0,336.4,1079.0,1441.5,770.6,893.6,177.7,4926.0,,680.8,218.2,-480.0,-887.0,1888.6,-708.0,500.2,,840.3,694.8,-1182.0,1956.3,-98.0,,-3432.0,373.0,False,False,False,True,False,True,True,False,True,,True,True,False,,True,True,,True,False,False,True,True,True,True,True,True,False,True,True,True,False,,True,True,True,True,False,True,True,,True,True,False,False,True,,False,True
Colorado,5814,5890.7,5863.0,5781.4,5886.1,5887.0,5896.0,5881.0,5855.0,5879.0,5879.1,,5753.0,5957.0,5835.3,,5841.7,5979.0,,5821.7,6056.0,8142.7,5945.0,5991.8,5880.8,5809.0,5848.7,5885.0,5780.2,5883.5,5892.7,5858.8,5861.0,,5841.3,5839.0,5971.0,5845.0,5826.2,5892.0,5959.2,,5905.6,5935.4,5868.0,6040.8,5838.0,,5921.8,5925.0,76.7,49.0,-32.6,72.1,73.0,82.0,67.0,41.0,65.0,65.1,,-61.0,143.0,21.3,,27.7,165.0,,7.7,242.0,2328.7,131.0,177.8,66.8,-5.0,34.7,71.0,-33.8,69.5,78.7,44.8,47.0,,27.3,25.0,157.0,31.0,12.2,78.0,145.2,,91.6,121.4,54.0,226.8,24.0,,107.8,111.0,True,True,True,True,False,True,True,True,True,,True,False,True,,True,False,,True,False,False,False,False,True,True,True,True,True,True,False,True,True,,True,True,False,True,True,False,False,,False,False,True,False,True,,False,False
Connecticut,7381,7467.6,7507.6,7492.9,7485.6,7492.0,7500.1,7482.0,7442.0,7529.0,7467.9,,7422.1,7519.0,7400.4,,7400.7,7555.0,,7571.9,7570.0,8086.9,7580.0,7499.4,7483.1,7440.0,7390.6,7471.0,7423.5,7628.0,7504.1,7404.2,7319.5,,7423.7,7382.2,7655.0,7471.0,7221.6,7200.0,7417.0,,7637.2,7455.8,7387.0,7518.3,7436.0,,7202.5,7602.0,86.6,126.6,111.9,104.6,111.0,119.1,101.0,61.0,148.0,86.9,,41.1,138.0,19.4,,19.7,174.0,,190.9,189.0,705.9,199.0,118.4,102.1,59.0,9.6,90.0,42.5,247.0,123.1,23.2,-61.5,,42.7,1.2,274.0,90.0,-159.4,-181.0,36.0,,256.2,74.8,6.0,137.3,55.0,,-178.5,221.0,False,False,False,False,False,False,True,False,False,,True,False,True,,True,False,,False,False,False,False,False,False,True,True,False,True,False,False,True,True,,True,True,False,False,False,False,True,,False,True,True,False,True,,False,False
Delaware,1356,1181.0,1185.2,1153.7,1165.4,1176.0,1171.0,1154.0,1141.0,1141.0,1158.9,,1135.3,1147.0,1147.0,,1136.3,1153.5,,1130.4,1165.0,1262.0,1166.0,1207.3,1140.1,1141.0,1151.7,1171.0,1088.1,1152.2,1168.2,1146.6,1161.0,,,1147.0,1158.0,1170.0,1195.5,1167.0,1185.1,,1176.5,1182.1,1159.0,1140.7,1147.0,,1131.6,1154.0,40.0,44.2,12.7,24.4,35.0,30.0,13.0,0.0,0.0,17.9,,-5.7,6.0,6.0,,-4.7,12.5,,-10.6,24.0,121.0,25.0,66.3,-0.9,0.0,10.7,30.0,-52.9,11.2,27.2,5.6,20.0,,,6.0,17.0,29.0,54.5,26.0,44.1,,35.5,41.1,18.0,-0.3,6.0,,-9.4,13.0,False,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,False,True,True,True,True,False,True,True,True,True,,,True,True,True,False,True,False,,True,False,True,True,True,,True,True
District of Columbia,979,989.1,973.3,971.7,979.2,979.0,987.0,968.0,963.0,968.0,967.8,,949.2,976.0,960.4,,965.4,982.5,,927.7,982.0,1175.5,972.0,955.2,965.5,978.0,962.0,962.0,,,,961.8,992.0,,,971.1,988.0,961.0,922.2,968.0,985.7,,,969.9,963.0,,971.0,,931.5,967.0,10.1,-5.7,-7.3,0.2,0.0,8.0,-11.0,-16.0,-11.0,-11.2,,-29.8,-3.0,-18.6,,-13.6,3.5,,-51.3,3.0,196.5,-7.0,-23.8,-13.5,-1.0,-17.0,-17.0,,,,-17.2,13.0,,,-7.9,9.0,-18.0,-56.8,-11.0,6.7,,,-9.1,-16.0,,-8.0,,-47.5,-12.0,True,True,True,True,True,False,False,False,False,,False,True,False,,False,True,,False,True,False,True,False,False,True,False,False,,,,False,False,,,True,True,False,False,False,True,,,True,False,,True,,False,False
Florida,28683,28681.6,29090.4,28801.4,28706.0,28777.0,28752.3,28478.0,28350.0,28242.0,28463.4,,27633.4,27841.0,29088.6,,28350.9,28478.0,,28490.4,29156.0,27285.0,29290.0,29798.4,28270.4,28480.0,28673.0,28757.0,29012.3,28357.9,28717.9,28581.0,28798.5,,29311.8,28438.4,28666.0,28500.0,30706.2,28179.0,28423.2,,28375.5,28731.2,28535.0,28202.8,28400.0,,27523.7,28467.0,-1.4,407.4,118.4,23.0,94.0,69.3,-205.0,-333.0,-441.0,-219.6,,-1049.6,-842.0,405.6,,-332.1,-205.0,,-192.6,473.0,-1398.0,607.0,1115.4,-412.6,-203.0,-10.0,74.0,329.3,-325.1,34.9,-102.0,115.5,,628.8,-244.6,-17.0,-183.0,2023.2,-504.0,-259.8,,-307.5,48.2,-148.0,-480.2,-283.0,,-1159.3,-216.0,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Georgia,15850,15958.6,16118.7,16137.1,16165.8,15960.0,16095.7,15842.0,15866.0,15117.0,15650.6,,15261.6,15038.0,15518.3,,15611.4,15816.6,,15794.9,16229.0,14181.5,16268.0,14962.5,15839.7,16441.0,15937.7,15998.0,17150.2,15857.4,15981.1,16230.9,16076.5,,16302.9,15864.5,15645.0,15587.0,14541.7,15428.0,15803.6,,15884.0,15833.7,15502.0,15992.9,15972.0,,14358.0,16129.0,108.6,268.7,287.1,315.8,110.0,245.7,-8.0,16.0,-733.0,-199.4,,-588.4,-812.0,-331.7,,-238.6,-33.4,,-55.1,379.0,-1668.5,418.0,-887.5,-10.3,591.0,87.7,148.0,1300.2,7.4,131.1,380.9,226.5,,452.9,14.5,-205.0,-263.0,-1308.3,-422.0,-46.4,,34.0,-16.3,-348.0,142.9,122.0,,-1492.0,279.0,False,False,False,False,False,True,True,False,False,,False,False,False,,False,True,,True,False,False,False,False,True,False,True,False,False,True,False,False,False,,False,True,False,False,False,False,True,,True,True,False,False,False,,False,False
Hawaii,424,535.3,443.9,484.2,548.6,528.0,548.0,451.0,433.0,423.0,458.9,,406.5,454.0,454.8,,,454.0,,392.4,,357.5,488.0,486.6,439.9,430.0,450.8,490.0,,466.9,464.6,426.9,452.0,,,433.0,437.0,443.0,389.6,437.0,425.4,,482.2,498.8,428.0,441.3,439.0,,428.4,463.0,111.3,19.9,60.2,124.6,104.0,124.0,27.0,9.0,-1.0,34.9,,-17.5,30.0,30.8,,,30.0,,-31.6,,-66.5,64.0,62.6,15.9,6.0,26.8,66.0,,42.9,40.6,2.9,28.0,,,9.0,13.0,19.0,-34.4,13.0,1.4,,58.2,74.8,4.0,17.3,15.0,,4.4,39.0,True,True,False,True,False,True,True,True,True,,True,True,True,,,True,,True,,True,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,,True,True
Idaho,1803,1829.0,1832.1,1829.3,1837.1,1835.0,1839.0,1829.0,1808.0,1784.0,1838.1,,1784.5,1797.0,1830.1,,1810.3,1849.6,,1787.4,1909.0,1796.4,1845.0,1876.5,1816.2,1752.0,1802.2,1849.0,1804.8,1838.8,1829.5,1810.0,1920.0,,,1813.9,1837.0,1832.0,1679.5,1794.0,1845.2,,1861.9,1845.7,1805.0,1866.3,1810.0,,1818.8,1836.0,26.0,29.1,26.3,34.1,32.0,36.0,26.0,5.0,-19.0,35.1,,-18.5,-6.0,27.1,,7.3,46.6,,-15.6,106.0,-6.6,42.0,73.5,13.2,-51.0,-0.8,46.0,1.8,35.8,26.5,7.0,117.0,,,10.9,34.0,29.0,-123.5,-9.0,42.2,,58.9,42.7,2.0,63.3,7.0,,15.8,33.0,False,False,False,False,False,False,True,True,False,,True,True,False,,True,False,,True,False,True,False,False,True,False,True,False,True,False,False,True,False,,,True,False,False,False,True,False,,False,False,True,False,True,,True,False
Illinois,22087,22317.1,22330.0,22191.7,22339.2,22359.0,22349.3,22211.0,22111.0,22318.0,22355.0,,21991.8,22213.0,22183.6,,21969.8,22198.2,,22334.4,22639.0,24577.6,22486.0,20258.2,22277.5,21933.0,22151.2,22318.0,21936.2,22217.7,22261.0,21970.8,22209.5,,22455.7,22135.2,22504.0,22208.0,21982.3,21940.0,22079.3,,22218.4,22298.1,22161.0,22256.5,22192.0,,22276.1,22519.0,230.1,243.0,104.7,252.2,272.0,262.3,124.0,24.0,231.0,268.0,,-95.2,126.0,96.6,,-117.2,111.2,,247.4,552.0,2490.6,399.0,-1828.8,190.5,-154.0,64.2,231.0,-150.8,130.7,174.0,-116.2,122.5,,368.7,48.2,417.0,121.0,-104.7,-147.0,-7.7,,131.4,211.1,74.0,169.5,105.0,,189.1,432.0,False,True,False,False,False,True,True,False,False,,True,True,True,,True,True,,False,False,False,False,False,True,True,True,False,True,True,True,True,True,,False,True,False,True,True,True,True,,True,True,True,True,True,,True,False
Indiana,12149,10453.1,10634.6,10543.2,10563.9,10515.0,10515.0,10506.0,10449.0,10419.0,10516.3,,10473.5,10586.0,10443.7,,10441.4,10575.3,,10705.1,10518.0,10879.6,10619.0,10273.6,10487.8,10305.0,10389.6,10588.0,10447.5,10496.7,10553.8,10372.9,10559.0,,10528.6,10417.6,10658.0,10467.0,10258.3,10305.0,10534.7,,10504.5,10552.7,10438.0,10426.3,10418.0,,10105.6,10546.0,-373.9,-192.4,-283.8,-263.1,-312.0,-312.0,-321.0,-378.0,-408.0,-310.7,,-353.5,-241.0,-383.3,,-385.6,-251.7,,-121.9,-309.0,52.6,-208.0,-553.4,-339.2,-522.0,-437.4,-239.0,-379.5,-330.3,-273.2,-454.1,-268.0,,-298.4,-409.4,-169.0,-360.0,-568.7,-522.0,-292.3,,-322.5,-274.3,-389.0,-400.7,-409.0,,-721.4,-281.0,True,True,True,True,True,True,False,False,True,,True,True,False,,False,True,,True,True,True,True,False,True,False,False,True,False,True,True,False,True,,True,False,True,True,False,False,True,,True,True,False,False,False,,False,True
Iowa,5236,5669.9,4960.3,4843.6,4968.4,4839.0,4981.0,5005.0,4974.0,4828.0,4876.8,,4664.1,5229.0,5116.7,,4848.6,5112.0,,4954.0,4910.0,5294.6,4904.0,4959.3,4905.1,5083.0,5385.3,4905.0,4813.0,4926.7,5100.9,5201.1,4810.5,,4987.5,4949.1,4898.0,4966.0,4553.1,5552.0,5055.3,,4948.0,4946.3,5138.0,5027.5,4918.0,,5166.3,5051.0,433.9,-275.7,-392.4,-267.6,-397.0,-255.0,-231.0,-262.0,-408.0,-359.2,,-571.9,-7.0,-119.3,,-387.4,-124.0,,-282.0,-326.0,58.6,-332.0,-276.7,-330.9,-153.0,149.3,-331.0,-423.0,-309.3,-135.1,-34.9,-425.5,,-248.5,-286.9,-338.0,-270.0,-682.9,316.0,-180.7,,-288.0,-289.7,-98.0,-208.5,-318.0,,-69.7,-185.0,True,True,True,True,True,True,True,True,True,,False,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,,True,True,True,True,True,,True,True
