,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,9242,6761.9,8097.2,6756.6,7824.0,7557.3,,6748.5,8196.0,7586.1,6558.5,,5739.4,-2480.1,-1144.8,-2485.4,-1418.0,-1684.7,,-2493.5,-1046.0,-1655.9,-2683.5,,-3502.6,True,False,True,True,,False,True,True,False,,False
Alaska,282,309.7,214.1,312.0,223.0,361.7,,412.7,,276.4,210.5,,357.7,27.7,-67.9,30.0,-59.0,79.7,,130.7,,-5.6,-71.5,,75.7,False,False,False,False,,False,,True,False,,False
Arizona,14948,11553.9,10528.4,11835.1,11511.0,13712.7,,13606.0,13039.0,14947.9,10550.5,,9945.8,-3394.1,-4419.6,-3112.9,-3437.0,-1235.3,,-1342.0,-1909.0,-0.1,-4397.5,,-5002.2,False,True,False,True,,True,True,True,False,,False
Arkansas,5252,5162.0,5586.3,5191.1,6832.0,5812.1,,5462.2,5854.0,6348.7,4791.4,,5051.5,-90.0,334.3,-60.9,1580.0,560.1,,210.2,602.0,1096.7,-460.6,,-200.5,False,True,False,False,,False,False,False,False,,False
California,46874,35301.4,27434.4,35671.1,57251.0,52044.0,,50283.0,37540.0,54060.5,52821.4,,32182.8,-11565.6,-19432.6,-11195.9,10384.0,5177.0,,3416.0,-9327.0,7193.5,5954.4,,-14684.2,False,True,True,True,,True,True,True,True,,False
Colorado,5814,6269.4,5334.3,6363.6,5731.0,7178.4,,7537.2,7419.0,6326.7,5009.8,,5741.8,455.4,-479.7,549.6,-83.0,1364.4,,1723.2,1605.0,512.7,-804.2,,-72.2,False,False,True,False,,False,False,False,False,,True
Connecticut,7381,7231.0,7073.9,7262.6,6570.0,8063.1,,7411.3,7494.0,8052.4,6122.0,,6518.0,-150.0,-307.1,-118.4,-811.0,682.1,,30.3,113.0,671.4,-1259.0,,-863.0,False,True,False,False,,True,True,False,False,,False
Delaware,1356,1137.0,937.4,1154.5,993.0,1221.2,,1195.6,1316.0,1244.3,952.9,,1048.8,-84.0,-283.6,-66.5,-228.0,0.2,,-25.4,95.0,23.3,-268.1,,-172.2,False,True,False,True,,True,False,True,False,,False
District of Columbia,979,980.6,2425.6,986.1,895.0,942.5,,947.8,903.0,967.0,803.4,,934.1,1.6,1446.6,7.1,-84.0,-36.5,,-31.2,-76.0,-12.0,-175.6,,-44.9,False,False,False,False,,False,False,False,False,,False
Florida,28683,25628.0,24173.4,25767.5,27673.0,28521.4,,29003.5,26288.0,28305.6,25195.8,,25023.0,-3055.0,-4509.6,-2915.5,-1010.0,-161.6,,320.5,-2395.0,-377.4,-3487.2,,-3660.0,False,True,True,True,,True,True,True,False,,False
