,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9242,8202.9,8585.8,8408.3,8278.0,8335.0,8270.8,8124.0,7594.0,8004.0,7494.4,7342.0,9576.1,,7715.3,8191.7,,7350.3,8645.0,7354.6,8215.0,7578.8,7709.4,8378.5,8372.2,8585.0,8831.2,8305.7,8419.7,8312.5,8174.0,,9145.9,8424.5,,7960.0,6982.5,7802.0,7551.7,,7767.0,8350.1,7816.0,9661.8,8124.0,8391.5,,7320.2,8198.0,-1039.1,-656.2,-833.7,-964.0,-907.0,-971.2,-1118.0,-1648.0,-1238.0,-1747.6,-1900.0,334.1,,-1526.7,-1050.3,,-1891.7,-597.0,-1887.4,-1027.0,-1663.2,-1532.6,-863.5,-869.8,-657.0,-410.8,-936.3,-822.3,-929.5,-1068.0,,-96.1,-817.5,,-1282.0,-2259.5,-1440.0,-1690.3,,-1475.0,-891.9,-1426.0,419.8,-1118.0,-850.5,,-1921.8,-1044.0,True,True,True,True,True,False,False,False,False,False,True,,False,False,,False,True,False,True,False,False,True,True,True,True,True,True,True,False,,True,True,,False,False,False,False,,False,True,False,True,False,True,,False,False
Alaska,282,344.7,276.9,283.7,361.8,335.0,349.0,292.0,259.0,279.0,257.8,306.0,316.0,,289.6,300.8,,242.8,,285.4,316.0,313.9,280.5,274.0,298.7,348.0,304.7,304.4,296.9,328.9,291.0,,,281.6,,293.0,324.8,278.0,330.8,,260.3,310.9,278.0,299.7,283.0,290.0,,285.6,310.0,62.7,-5.1,1.7,79.8,53.0,67.0,10.0,-23.0,-3.0,-24.2,24.0,34.0,,7.6,18.8,,-39.2,,3.4,34.0,31.9,-1.5,-8.0,16.7,66.0,22.7,22.4,14.9,46.9,9.0,,,-0.4,,11.0,42.8,-4.0,48.8,,-21.7,28.9,-4.0,17.7,1.0,8.0,,3.6,28.0,True,True,False,True,False,True,True,True,True,True,True,,True,True,,True,,True,True,True,True,True,True,False,True,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,,True,True
Arizona,14948,15015.1,16688.5,14862.2,14783.8,15234.0,14935.7,15067.0,15327.0,15513.0,15656.2,15318.0,21702.2,,14654.6,14822.7,,15381.9,15601.0,14528.5,15126.0,14423.1,14574.2,14604.0,15517.3,15575.0,14264.4,15129.0,15745.1,14736.7,15730.0,,16566.0,15373.0,,15067.0,14647.4,14546.0,13757.5,,14881.4,15163.1,14752.0,15754.9,15262.0,15603.5,,13169.8,15111.0,67.1,1740.5,-85.8,-164.2,286.0,-12.3,119.0,379.0,565.0,708.2,370.0,6754.2,,-293.4,-125.3,,433.9,653.0,-419.5,178.0,-524.9,-373.8,-344.0,569.3,627.0,-683.6,181.0,797.1,-211.3,782.0,,1618.0,425.0,,119.0,-300.6,-402.0,-1190.5,,-66.6,215.1,-196.0,806.9,314.0,655.5,,-1778.2,163.0,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,True,False,False,False,False,False,,False,False
Arkansas,5252,5448.9,5558.5,5257.5,5378.2,5313.0,5373.0,5293.0,5078.0,5331.0,5431.4,5297.0,5904.5,,5273.5,5190.7,,5261.6,5423.0,5231.4,5382.0,5265.8,5369.5,5214.0,5361.7,5366.0,5160.0,5339.3,5479.5,5223.1,5311.0,,5596.4,5325.4,,5382.0,5638.0,5134.0,5370.2,,5091.0,5353.4,5242.0,5438.4,5251.0,5235.0,,5027.0,5414.0,196.9,306.5,5.5,126.2,61.0,121.0,41.0,-174.0,79.0,179.4,45.0,652.5,,21.5,-61.3,,9.6,171.0,-20.6,130.0,13.8,117.5,-38.0,109.7,114.0,-92.0,87.3,227.5,-28.9,59.0,,344.4,73.4,,130.0,386.0,-118.0,118.2,,-161.0,101.4,-10.0,186.4,-1.0,-17.0,,-225.0,162.0,False,True,True,True,True,True,True,True,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,True,,True,False,True,True,,True,True,True,True,True,True,,False,True
California,46874,47138.1,51004.6,46432.9,47324.3,47829.0,47159.9,46286.0,43036.0,45464.0,45886.1,45645.0,64374.3,,45228.1,45954.7,,49544.3,48516.0,45418.4,45591.0,45239.7,44995.6,46728.0,47828.6,48070.0,48253.1,46914.1,48534.8,45877.3,53827.5,,48254.1,47588.6,,46399.0,49130.2,46174.0,44148.2,,51744.5,47025.2,44539.0,50121.2,45934.0,48965.0,,40254.6,47035.0,264.1,4130.6,-441.1,450.3,955.0,285.9,-588.0,-3838.0,-1410.0,-987.9,-1229.0,17500.3,,-1645.9,-919.3,,2670.3,1642.0,-1455.6,-1283.0,-1634.3,-1878.4,-146.0,954.6,1196.0,1379.1,40.1,1660.8,-996.7,6953.5,,1380.1,714.6,,-475.0,2256.2,-700.0,-2725.8,,4870.5,151.2,-2335.0,3247.2,-940.0,2091.0,,-6619.4,161.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,,False,True
Colorado,5814,5865.0,5906.1,5803.3,5829.1,5980.0,5838.4,5936.0,5917.0,5936.0,5995.2,6060.0,6177.5,,5883.4,6118.8,,6192.8,6182.0,5916.4,6087.0,6036.1,5918.6,5690.0,5886.9,6029.0,5496.3,5821.1,5972.6,5733.3,5887.5,,6089.4,5844.3,,5922.0,5736.8,5904.0,5946.7,,5972.9,5838.5,5872.0,6390.5,5806.0,5795.0,,5964.8,6000.0,51.0,92.1,-10.7,15.1,166.0,24.4,122.0,103.0,122.0,181.2,246.0,363.5,,69.4,304.8,,378.8,368.0,102.4,273.0,222.1,104.6,-124.0,72.9,215.0,-317.7,7.1,158.6,-80.7,73.5,,275.4,30.3,,108.0,-77.2,90.0,132.7,,158.9,24.5,58.0,576.5,-8.0,-19.0,,150.8,186.0,False,True,True,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,,False,False,False,False,,False,True,False,False,True,True,,False,False
Connecticut,7381,7461.9,7541.7,7437.9,7512.1,7584.0,7493.7,7566.0,7736.0,7685.0,7690.4,7831.0,7524.1,,7491.3,7717.4,,7653.2,7582.0,7481.8,7608.0,7541.0,7559.6,7507.0,7338.0,7557.0,7376.9,7626.8,7686.9,7417.9,7658.0,,7533.1,7393.5,,7414.0,7027.4,7011.0,7231.6,,7367.6,7627.2,7449.0,7629.7,7569.0,7279.5,,7016.3,7660.0,80.9,160.7,56.9,131.1,203.0,112.7,185.0,355.0,304.0,309.4,450.0,143.1,,110.3,336.4,,272.2,201.0,100.8,227.0,160.0,178.6,126.0,-43.0,176.0,-4.1,245.8,305.9,36.9,277.0,,152.1,12.5,,33.0,-353.6,-370.0,-149.4,,-13.4,246.2,68.0,248.7,188.0,-101.5,,-364.7,279.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,True,False,True,False,False,True,False,,False,True,,True,False,False,False,,True,False,True,False,False,False,,False,False
Delaware,1356,1112.4,1148.8,1134.4,1094.6,1151.0,1096.4,1142.0,1142.0,1134.0,1176.3,1142.0,1131.6,,1157.8,1159.6,,1121.6,1150.5,1141.6,1159.0,1228.6,1146.6,1104.0,1122.7,1213.0,,1142.6,1169.6,1113.3,1180.0,,,1118.0,,1225.0,1222.5,1131.0,1110.9,,1178.1,1171.7,1148.0,1127.0,1131.0,1123.0,,1097.0,1165.0,-17.6,18.8,4.4,-35.4,21.0,-33.6,12.0,12.0,4.0,46.3,12.0,1.6,,27.8,29.6,,-8.4,20.5,11.6,29.0,98.6,16.6,-26.0,-7.3,83.0,,12.6,39.6,-16.7,50.0,,,-12.0,,95.0,92.5,1.0,-19.1,,48.1,41.7,18.0,-3.0,1.0,-7.0,,-33.0,35.0,False,True,False,False,False,True,True,True,False,True,True,,False,False,,True,False,True,False,False,True,False,True,False,,True,False,True,False,,,True,,False,False,True,False,,False,False,False,True,True,True,,False,False
District of Columbia,979,934.9,930.5,950.3,933.9,941.0,939.0,947.0,956.0,967.0,972.7,1011.0,945.3,,945.5,968.2,,988.2,939.0,988.2,954.0,947.2,955.6,916.0,930.8,953.0,,,,940.2,984.5,,,931.8,,946.0,920.9,920.0,908.4,,979.9,,933.0,,941.0,932.0,,903.1,955.0,-44.1,-48.5,-28.7,-45.1,-38.0,-40.0,-32.0,-23.0,-12.0,-6.3,32.0,-33.7,,-33.5,-10.8,,9.2,-40.0,9.2,-25.0,-31.8,-23.4,-63.0,-48.2,-26.0,,,,-38.8,5.5,,,-47.2,,-33.0,-58.1,-59.0,-70.6,,0.9,,-46.0,,-38.0,-47.0,,-75.9,-24.0,False,True,False,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,False,False,True,,,,True,True,,,False,,True,False,False,False,,True,,False,,True,False,,False,True
Florida,28683,28595.9,29133.5,28231.3,28544.0,28950.0,28643.7,28573.0,28017.0,28677.0,27692.1,32858.0,31881.5,,28229.7,28747.6,,28963.5,28202.0,27855.3,29417.0,30483.4,28206.2,28297.5,29136.4,29145.0,30236.8,28216.6,29169.4,28429.6,28799.0,,30140.2,28621.3,,28514.0,31303.9,29626.0,27964.6,,28630.7,28277.4,28468.0,28474.8,28732.0,29566.0,,26687.1,28703.0,-87.1,450.5,-451.7,-139.0,267.0,-39.3,-110.0,-666.0,-6.0,-990.9,4175.0,3198.5,,-453.3,64.6,,280.5,-481.0,-827.7,734.0,1800.4,-476.8,-385.5,453.4,462.0,1553.8,-466.4,486.4,-253.4,116.0,,1457.2,-61.7,,-169.0,2620.9,943.0,-718.4,,-52.3,-405.6,-215.0,-208.2,49.0,883.0,,-1995.9,20.0,False,False,False,False,True,False,False,True,False,False,False,,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,False,,True,False,False,False,True,False,,False,True
