,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,9242,4878.3,3836.9,6106.1,3446.0,,-4363.7,-5405.1,-3135.9,-5796.0,,False,True,False,
Alaska,282,185.0,326.4,226.8,,,-97.0,44.4,-55.2,,,True,True,,
Arizona,14948,6973.3,6897.8,9233.6,6344.0,,-7974.7,-8050.2,-5714.4,-8604.0,,False,True,False,
Arkansas,5252,3979.7,3208.6,4028.7,4240.0,,-1272.3,-2043.4,-1223.3,-1012.0,,False,True,True,
California,46874,23721.9,21973.1,40929.0,20043.0,,-23152.1,-24900.9,-5945.0,-26831.0,,False,True,False,
Colorado,5814,3238.0,3471.2,6929.2,2672.0,,-2576.0,-2342.8,1115.2,-3142.0,,True,True,False,
Connecticut,7381,4744.3,4861.0,5903.7,4699.0,,-2636.7,-2520.0,-1477.3,-2682.0,,True,True,False,
Delaware,1356,850.4,828.5,1224.3,753.0,,-482.6,-504.5,-108.7,-580.0,,False,True,False,
District of Columbia,979,708.4,710.0,1078.4,666.0,,-270.6,-269.0,99.4,-313.0,,True,True,False,
Florida,28683,26131.9,22950.7,29405.9,19951.0,,-2551.1,-5732.3,722.9,-8732.0,,False,True,False,
Georgia,15850,11380.3,9514.2,13341.3,9664.0,,-4469.7,-6335.8,-2508.7,-6186.0,,False,True,False,
Hawaii,424,490.4,456.2,818.1,,,66.4,32.2,394.1,,,True,False,,
Idaho,1803,882.0,1134.0,1852.0,867.0,,-921.0,-669.0,49.0,-936.0,,True,True,False,
Illinois,22087,13587.1,14339.6,19038.5,11842.0,,-8499.9,-7747.4,-3048.5,-10245.0,,True,True,False,
