,mean_rank
BPagano-RtDriven,13.2
Caltech-CS156,13.5
UMass-MechBayes,13.7
COVIDhub-ensemble,15.1
UCLA-SuEIR,15.3
SteveMcConnell-CovidComplete,16.1
GT-DeepCOVID,16.6
Karlen-pypm,16.6
LNQ-ens1,16.6
COVIDhub-baseline,16.7
OliverWyman-Navigator,16.7
Covid19Sim-Simulator,16.9
RobertWalraven-ESG,17.0
CEID-Walk,17.1
MOBS-GLEAM_COVID,17.4
PSI-DRAFT,18.5
IowaStateLW-STEM,18.8
CU-select,19.6
Google_Harvard-CPF,19.7
epiforecasts-ensemble1,19.7
JHU_IDD-CovidSP,19.8
LANL-GrowthRate,20.2
UCSD_NEU-DeepGLEAM,20.4
USC-SI_kJalpha,20.6
JHU_CSSE-DECOM,20.7
UA-EpiCovDA,20.8
DDS-NBDS,21.1
Columbia_UNC-SurvCon,21.2
AIpert-pwllnod,21.6
CovidAnalytics-DELPHI,21.6
MIT_CritData-GBCF,22.5
UMich-RidgeTfReg,22.7
CMU-TimeSeries,23.0
Microsoft-DeepSTIA,23.6
IHME-CurveFit,23.8
TTU-squider,24.5
WalmartLabsML-LogForecasting,26.7
UCSB-ACTS,31.6
