,mean_rank
BPagano-RtDriven,13.5
UMass-MechBayes,13.9
COVIDhub-ensemble,15.0
RobertWalraven-ESG,15.2
OliverWyman-Navigator,15.5
MOBS-GLEAM_COVID,16.1
LNQ-ens1,17.0
SteveMcConnell-CovidComplete,17.2
USC-SI_kJalpha,17.2
COVIDhub-baseline,17.8
Karlen-pypm,18.0
Google_Harvard-CPF,18.3
GT-DeepCOVID,18.3
LANL-GrowthRate,18.4
UT-Mobility,18.4
CEID-Walk,18.8
UCSD_NEU-DeepGLEAM,19.3
UCSB-ACTS,19.7
CMU-TimeSeries,20.4
UCLA-SuEIR,20.6
JHUAPL-Bucky,20.8
CovidAnalytics-DELPHI,20.9
Columbia_UNC-SurvCon,21.0
MIT_ISOLAT-Mixtures,21.3
epiforecasts-ensemble1,21.4
JHU_CSSE-DECOM,22.2
Covid19Sim-Simulator,22.2
IHME-CurveFit,22.3
CU-select,22.5
PSI-DRAFT,22.5
AIpert-pwllnod,22.6
UA-EpiCovDA,22.6
IowaStateLW-STEM,22.7
Microsoft-DeepSTIA,23.5
MIT_CritData-GBCF,24.1
JHU_IDD-CovidSP,24.1
UMich-RidgeTfReg,25.1
WalmartLabsML-LogForecasting,28.4
DDS-NBDS,28.9
TTU-squider,32.3
