,mean_rank
COVIDhub-trained_ensemble,12.7
OliverWyman-Navigator,13.3
RobertWalraven-ESG,13.8
USC-SI_kJalpha,14.0
COVIDhub-ensemble,14.7
UMass-MechBayes,14.9
SteveMcConnell-CovidComplete,15.1
LNQ-ens1,15.1
GT-DeepCOVID,16.1
LANL-GrowthRate,16.1
Karlen-pypm,16.4
CovidAnalytics-DELPHI,16.7
Caltech-CS156,17.1
MOBS-GLEAM_COVID,18.3
Google_Harvard-CPF,18.6
UCLA-SuEIR,18.6
BPagano-RtDriven,19.5
CU-select,19.6
UA-EpiCovDA,19.6
UMich-RidgeTfReg,20.3
Microsoft-DeepSTIA,21.8
Columbia_UNC-SurvCon,22.6
AIpert-pwllnod,22.8
COVIDhub-baseline,22.9
Geneva-DetGrowth,23.1
epiforecasts-ensemble1,23.5
DDS-NBDS,23.5
UCSD_NEU-DeepGLEAM,23.5
CEID-Walk,23.6
PSI-DRAFT,24.1
JHU_CSSE-DECOM,24.1
WalmartLabsML-LogForecasting,24.8
MIT_ISOLAT-Mixtures,25.2
IHME-CurveFit,25.4
MIT_CritData-GBCF,25.5
UChicagoCHATTOPADHYAY-UnIT,26.5
JHU_IDD-CovidSP,27.1
CMU-TimeSeries,27.4
IowaStateLW-STEM,27.5
JHUAPL-Bucky,34.4
Covid19Sim-Simulator,34.6
TTU-squider,38.6
