,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,9242,3771.9,3182.7,7440.0,3994.0,-5470.1,-6059.3,-1802.0,-5248.0,False,True,True
Alaska,282,274.4,162.0,47.4,,-7.6,-120.0,-234.6,,False,False,
Arizona,14948,8522.1,7232.7,11042.3,7240.0,-6425.9,-7715.3,-3905.7,-7708.0,False,True,False
Arkansas,5252,3829.9,4634.4,3957.2,2614.0,-1422.1,-617.6,-1294.8,-2638.0,True,True,False
California,46874,27321.7,20673.0,69881.8,21290.0,-19552.3,-26201.0,23007.8,-25584.0,False,False,False
Colorado,5814,2577.1,3128.6,6125.6,2436.0,-3236.9,-2685.4,311.6,-3378.0,True,True,False
Connecticut,7381,4679.7,4644.1,8750.4,4640.0,-2701.3,-2736.9,1369.4,-2741.0,False,True,False
Delaware,1356,871.3,826.0,1336.1,724.0,-471.7,-517.0,-6.9,-619.0,False,True,False
District of Columbia,979,703.4,660.5,1108.5,649.0,-275.6,-318.5,129.5,-330.0,False,True,False
Florida,28683,28646.9,20469.5,30013.7,19248.0,-36.1,-8213.5,1330.7,-9435.0,False,False,False
Georgia,15850,13776.9,8629.5,15401.0,9884.0,-2073.1,-7220.5,-449.0,-5966.0,False,True,False
Hawaii,424,370.3,210.0,214.3,,-53.7,-214.0,-209.7,,False,False,
Idaho,1803,797.6,1086.1,1894.1,801.0,-1005.4,-716.9,91.1,-1002.0,True,True,True
Illinois,22087,12002.3,10596.7,19149.9,10884.0,-10084.7,-11490.3,-2937.1,-11203.0,False,True,False
Indiana,12149,5049.4,4764.1,9073.7,4808.0,-7086.6,-7371.9,-3062.3,-7328.0,False,True,False
Iowa,5236,2328.7,2019.8,3666.5,2403.0,-2907.3,-3216.2,-1569.5,-2833.0,False,True,True
Kansas,4329,1429.3,1610.1,6187.4,1180.0,-2899.7,-2718.9,1858.4,-3149.0,True,True,False
Kentucky,4272,2070.4,1926.3,5167.3,1927.0,-2201.6,-2345.7,895.3,-2345.0,False,True,False
Louisiana,9276,7391.1,6256.3,9738.5,7255.0,-1884.9,-3019.7,462.5,-2021.0,False,True,False
Maine,647,159.9,207.6,609.2,306.0,-487.1,-439.4,-37.8,-341.0,True,True,True
Maryland,7536,5047.0,4355.4,8286.7,4701.0,-2489.0,-3180.6,750.7,-2835.0,False,True,False
Massachusetts,15424,11270.6,11143.5,14891.0,10090.0,-4153.4,-4280.5,-533.0,-5334.0,False,True,False
Michigan,16119,8533.3,7907.8,13245.9,8592.0,-7585.7,-8211.2,-2873.1,-7527.0,False,True,True
Minnesota,6437,2913.9,2841.8,6198.3,3223.0,-3523.1,-3595.2,-238.7,-3214.0,False,True,True
Mississippi,6461,5083.4,3970.8,5606.4,4288.0,-1377.6,-2490.2,-854.6,-2173.0,False,True,False
Missouri,7780,6560.6,4471.0,7235.5,2847.0,-1190.4,-3280.0,-515.5,-4904.0,False,True,False
Montana,1327,490.7,1016.2,1038.4,488.0,-836.3,-310.8,-288.6,-839.0,True,True,False
