,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9242,9223.9,9423.8,9426.2,9508.0,9525.0,9460.0,9335.0,9153.0,9007.0,9099.1,9422.0,8649.7,8969.0,9150.1,,9294.5,,9221.2,9253.8,,9386.1,9779.0,8043.3,9430.0,8770.6,8956.7,9348.0,9152.1,9401.0,9438.2,9421.2,9288.8,9309.1,9648.5,,9334.9,9082.1,,9295.0,6899.9,9099.0,9368.2,,9457.1,9258.7,9030.0,9251.9,9372.0,,8845.2,9719.0,-18.1,181.8,184.2,266.0,283.0,218.0,93.0,-89.0,-235.0,-142.9,180.0,-592.3,-273.0,-91.9,,52.5,,-20.8,11.8,,144.1,537.0,-1198.7,188.0,-471.4,-285.3,106.0,-89.9,159.0,196.2,179.2,46.8,67.1,406.5,,92.9,-159.9,,53.0,-2342.1,-143.0,126.2,,215.1,16.7,-212.0,9.9,130.0,,-396.8,477.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,True,False,True,False,,False,False
Alaska,282,293.6,288.4,290.2,300.4,283.0,296.0,290.0,285.0,279.0,286.0,295.0,269.6,284.0,286.7,,289.3,,284.1,291.3,,259.9,,265.2,293.0,293.2,285.9,285.0,285.8,303.0,291.2,290.4,289.5,286.8,289.0,,,286.5,287.0,293.0,324.8,282.0,301.1,,290.9,299.1,281.0,287.4,283.0,,287.6,291.0,11.6,6.4,8.2,18.4,1.0,14.0,8.0,3.0,-3.0,4.0,13.0,-12.4,2.0,4.7,,7.3,,2.1,9.3,,-22.1,,-16.8,11.0,11.2,3.9,3.0,3.8,21.0,9.2,8.4,7.5,4.8,7.0,,,4.5,5.0,11.0,42.8,0.0,19.1,,8.9,17.1,-1.0,5.4,1.0,,5.6,9.0,True,True,False,True,False,True,True,True,True,False,False,True,True,,True,,True,True,,False,,False,True,True,True,True,True,False,True,True,True,True,True,,,True,True,True,False,True,False,,True,False,True,True,True,,True,True
Arizona,14948,14843.4,14899.3,14944.9,14900.5,14894.0,14924.0,14827.0,14688.0,14905.0,14870.1,14910.0,14572.4,14906.0,14978.2,,14724.2,,14936.1,14750.0,,14435.4,15052.0,14625.8,14806.0,14567.2,14627.8,14743.0,14728.1,14889.0,14927.5,14932.9,14923.6,14755.9,15103.0,,14991.7,14764.8,14861.0,14672.0,14647.4,14638.0,14834.5,,14925.6,14714.5,14626.0,14911.1,14827.0,,14456.4,14750.0,-104.6,-48.7,-3.1,-47.5,-54.0,-24.0,-121.0,-260.0,-43.0,-77.9,-38.0,-375.6,-42.0,30.2,,-223.8,,-11.9,-198.0,,-512.6,104.0,-322.2,-142.0,-380.8,-320.2,-205.0,-219.9,-59.0,-20.5,-15.1,-24.4,-192.1,155.0,,43.7,-183.2,-87.0,-276.0,-300.6,-310.0,-113.5,,-22.4,-233.5,-322.0,-36.9,-121.0,,-491.6,-198.0,True,True,True,True,True,False,False,True,True,True,False,True,True,,False,,True,False,,False,True,False,False,False,False,False,False,True,True,True,True,False,False,,True,False,True,False,False,False,False,,True,False,False,True,False,,False,False
Arkansas,5252,5254.3,5255.6,5285.5,5287.0,5302.0,5284.0,5271.0,5256.0,5212.0,5280.7,5278.0,5124.8,5272.0,5294.1,,5249.7,,5248.9,5262.9,,5251.0,5336.0,5314.6,5303.0,5257.9,5263.6,5246.0,5265.9,5318.0,5362.9,5277.8,5289.1,5262.5,5318.0,,5336.5,5245.5,,5277.0,5632.7,5216.0,5274.2,,5287.1,5321.5,5228.0,5307.1,5270.0,,5223.1,5263.0,2.3,3.6,33.5,35.0,50.0,32.0,19.0,4.0,-40.0,28.7,26.0,-127.2,20.0,42.1,,-2.3,,-3.1,10.9,,-1.0,84.0,62.6,51.0,5.9,11.6,-6.0,13.9,66.0,110.9,25.8,37.1,10.5,66.0,,84.5,-6.5,,25.0,380.7,-36.0,22.2,,35.1,69.5,-24.0,55.1,18.0,,-28.9,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
California,46874,46921.0,47584.0,47560.0,47471.0,47828.0,47280.0,46812.0,46627.0,46793.0,46987.6,47197.0,45849.1,46695.0,47785.6,,46604.8,,46637.3,46732.8,,46428.3,48494.0,42215.5,47015.0,46033.8,46496.7,46776.0,46831.6,47279.0,47293.2,47057.2,47179.5,46701.8,47010.5,,47599.3,46717.8,,46356.0,48729.3,46132.0,46791.9,,47062.1,46924.8,46254.0,47027.3,46841.0,,45626.6,46927.0,47.0,710.0,686.0,597.0,954.0,406.0,-62.0,-247.0,-81.0,113.6,323.0,-1024.9,-179.0,911.6,,-269.2,,-236.7,-141.2,,-445.7,1620.0,-4658.5,141.0,-840.2,-377.3,-98.0,-42.4,405.0,419.2,183.2,305.5,-172.2,136.5,,725.3,-156.2,,-518.0,1855.3,-742.0,-82.1,,188.1,50.8,-620.0,153.3,-33.0,,-1247.4,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,True,,False,False
Colorado,5814,5809.0,5828.2,5789.6,5820.3,5851.0,5824.0,5833.0,5824.0,5844.0,5842.5,5801.0,5714.3,5862.0,5884.4,,5805.0,,5801.1,5902.7,,5805.9,5928.0,8003.1,5870.0,5883.3,5840.7,5809.0,5822.1,5838.0,5758.3,5831.2,5837.1,5812.2,5830.0,,5842.5,5813.7,5880.0,5822.0,5826.2,5811.0,5833.0,,5842.2,5881.3,5823.0,5842.3,5826.0,,5860.4,5827.0,-5.0,14.2,-24.4,6.3,37.0,10.0,19.0,10.0,30.0,28.5,-13.0,-99.7,48.0,70.4,,-9.0,,-12.9,88.7,,-8.1,114.0,2189.1,56.0,69.3,26.7,-5.0,8.1,24.0,-55.7,17.2,23.1,-1.8,16.0,,28.5,-0.3,66.0,8.0,12.2,-3.0,19.0,,28.2,67.3,9.0,28.3,12.0,,46.4,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,True,False,False,False,True,False,,False,False,False,False,False,,False,False
Connecticut,7381,7358.0,7443.2,7393.9,7384.5,7421.0,7382.0,7384.0,7382.0,7413.0,7380.1,7389.0,7334.9,7397.0,7495.4,,7385.9,,7299.1,7412.9,,7409.1,7474.0,7376.7,7420.0,7387.4,7404.7,7350.0,7353.0,7398.0,7377.7,7382.2,7408.7,7341.0,7378.0,,7403.5,7358.8,7482.0,7364.0,7245.3,7279.0,7349.5,,7387.3,7398.7,7348.0,7417.9,7364.0,,7303.3,7376.0,-23.0,62.2,12.9,3.5,40.0,1.0,3.0,1.0,32.0,-0.9,8.0,-46.1,16.0,114.4,,4.9,,-81.9,31.9,,28.1,93.0,-4.3,39.0,6.4,23.7,-31.0,-28.0,17.0,-3.3,1.2,27.7,-40.0,-3.0,,22.5,-22.2,101.0,-17.0,-135.7,-102.0,-31.5,,6.3,17.7,-33.0,36.9,-17.0,,-77.7,-5.0,False,True,True,False,True,True,True,False,True,True,False,True,False,,True,,False,False,,False,False,True,False,True,False,False,False,True,True,True,False,False,True,,True,True,False,True,False,False,False,,True,True,False,False,True,,False,True
Delaware,1356,1309.1,1261.2,1260.0,1330.1,1253.0,1323.0,1257.0,1248.0,1233.0,1259.9,1267.0,1133.2,1240.0,1258.1,,1332.3,,1326.0,1250.9,,1162.6,1208.0,1124.6,1263.0,1257.2,1228.1,1269.0,1266.6,1249.0,1306.1,1251.8,1267.7,1247.0,1262.0,,,1250.2,1249.0,1257.0,1195.5,1287.0,1227.5,,1263.9,1284.3,1239.0,1248.1,1263.0,,1235.5,1301.0,80.1,32.2,31.0,101.1,24.0,94.0,28.0,19.0,4.0,30.9,38.0,-95.8,11.0,29.1,,103.3,,97.0,21.9,,-66.4,-21.0,-104.4,34.0,28.2,-0.9,40.0,37.6,20.0,77.1,22.8,38.7,18.0,33.0,,,21.2,20.0,28.0,-33.5,58.0,-1.5,,34.9,55.3,10.0,19.1,34.0,,6.5,72.0,True,True,False,True,False,True,True,True,True,True,False,True,True,,False,,False,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,,True,True
District of Columbia,979,985.4,979.7,977.3,985.5,984.0,985.0,978.0,974.0,975.0,979.3,978.0,944.5,977.0,980.3,,978.4,,996.5,986.3,,970.8,974.0,946.0,982.0,968.7,971.4,976.0,976.4,978.0,,,,980.4,987.0,,,978.4,981.0,972.0,921.2,990.0,980.4,,,976.3,976.0,,980.0,,967.3,985.0,6.4,0.7,-1.7,6.5,5.0,6.0,-1.0,-5.0,-4.0,0.3,-1.0,-34.5,-2.0,1.3,,-0.6,,17.5,7.3,,-8.2,-5.0,-33.0,3.0,-10.3,-7.6,-3.0,-2.6,-1.0,,,,1.4,8.0,,,-0.6,2.0,-7.0,-57.8,11.0,1.4,,,-2.7,-3.0,,1.0,,-11.7,6.0,True,True,False,True,True,True,True,True,True,True,False,True,True,,True,,False,False,,False,True,False,True,False,False,True,True,True,,,,True,False,,,True,True,False,False,False,True,,,True,True,,True,,False,True
Florida,28683,28739.1,28970.9,28739.0,28840.5,28831.0,28838.0,28692.0,28576.0,28552.0,28676.3,28839.0,27908.6,28583.0,28746.2,,28578.4,,28967.0,28640.5,,28518.9,29123.0,27558.5,28918.0,29074.7,28520.9,28578.0,28717.0,28772.0,28822.4,28568.8,28815.8,28707.9,28969.0,,28995.6,28515.0,,28692.0,30670.1,28519.0,28764.8,,28578.0,28817.5,28630.0,28770.9,28608.0,,28261.3,28745.0,56.1,287.9,56.0,157.5,148.0,155.0,9.0,-107.0,-131.0,-6.7,156.0,-774.4,-100.0,63.2,,-104.6,,284.0,-42.5,,-164.1,440.0,-1124.5,235.0,391.7,-162.1,-105.0,34.0,89.0,139.4,-114.2,132.8,24.9,286.0,,312.6,-168.0,,9.0,1987.1,-164.0,81.8,,-105.0,134.5,-53.0,87.9,-75.0,,-421.7,62.0,False,True,False,False,False,True,False,False,True,False,False,False,False,,False,,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,False,False,,True,False,False,False,,False,False,True,False,False,,False,False
