,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR
Alabama,9242,5988.6,7289.1,6990.5,6796.0,7176.2,4947.4,-3253.4,-1952.9,-2251.5,-2446.0,-2065.8,-4294.6,True,True,True,True,False
Alaska,282,468.3,459.0,323.6,,380.0,413.8,186.3,177.0,41.6,,98.0,131.8,True,True,,True,True
Arizona,14948,10961.9,12381.9,11032.7,11256.0,12046.4,9842.2,-3986.1,-2566.1,-3915.3,-3692.0,-2901.6,-5105.8,True,True,True,True,False
Arkansas,5252,5469.3,4306.3,3980.3,5574.0,3964.5,5869.1,217.3,-945.7,-1271.7,322.0,-1287.5,617.1,False,False,False,False,False
California,46874,30889.1,37893.0,41208.2,31101.0,49522.3,29960.0,-15978.9,-8975.0,-5659.8,-15767.0,2654.3,-16908.0,True,True,True,True,False
Colorado,5814,9290.0,6810.1,6205.4,9417.0,5019.6,5644.1,3476.0,996.1,391.4,3603.0,-794.4,-169.9,True,True,False,True,True
Connecticut,7381,7285.0,7650.0,7766.0,7404.0,7659.6,6388.6,-96.0,269.0,385.0,23.0,278.6,-992.4,False,False,True,False,False
Delaware,1356,1019.7,1147.0,1064.1,1207.0,1277.2,1130.9,-252.3,-125.0,-207.9,-65.0,5.2,-141.1,True,True,True,True,True
District of Columbia,979,874.4,951.9,920.8,866.0,971.8,798.5,-104.6,-27.1,-58.2,-113.0,-7.2,-180.5,True,True,False,True,False
Florida,28683,25968.6,27756.0,26918.5,25952.0,25121.9,25243.3,-2714.4,-927.0,-1764.5,-2731.0,-3561.1,-3439.7,True,True,False,False,False
Georgia,15850,12467.4,13135.1,14580.2,13633.0,15873.3,12054.8,-3382.6,-2714.9,-1269.8,-2217.0,23.3,-3795.2,True,True,True,True,False
Hawaii,424,380.3,337.3,428.4,,345.5,301.9,-43.7,-86.7,4.4,,-78.5,-122.1,False,True,,False,False
Idaho,1803,2415.0,2007.2,1941.2,2476.0,1934.7,2042.4,612.0,204.2,138.2,673.0,131.7,239.4,True,True,False,True,True
Illinois,22087,26171.3,21778.8,22610.9,25694.0,18598.1,23271.4,4084.3,-308.2,523.9,3607.0,-3488.9,1184.4,True,True,True,True,True
Indiana,12149,11791.6,11379.7,10122.2,12369.0,9321.9,10392.9,526.6,114.7,-1142.8,1104.0,-1943.1,-872.1,True,False,False,False,False
Iowa,5236,7566.7,4030.2,3954.8,7203.0,3218.0,4839.1,2330.7,-1205.8,-1281.2,1967.0,-2018.0,-396.9,True,True,True,True,True
Kansas,4329,4605.1,3541.0,4236.4,4816.0,2784.8,3975.9,276.1,-788.0,-92.6,487.0,-1544.2,-353.1,False,True,False,False,False
Kentucky,4272,3402.7,3995.9,3713.2,4045.0,3270.3,3583.2,-869.3,-276.1,-558.8,-227.0,-1001.7,-688.8,True,True,True,False,True
Louisiana,9276,8890.6,9293.9,8598.9,9037.0,8793.4,8968.1,-385.4,17.9,-677.1,-239.0,-482.6,-307.9,True,False,True,False,True
Maine,647,522.7,656.3,565.6,803.0,772.7,366.2,-124.3,9.3,-81.4,156.0,125.7,-280.8,True,True,False,False,False
Maryland,7536,7517.3,8034.5,8562.2,7368.0,7037.9,6946.6,-18.7,498.5,1026.2,-168.0,-498.1,-589.4,False,False,False,False,False
Massachusetts,15424,14404.7,15272.3,13801.8,14999.0,17153.1,13751.7,-1019.3,-151.7,-1622.2,-425.0,1729.1,-1672.3,True,False,True,False,False
Michigan,16119,18936.1,17307.8,17084.1,18731.0,14409.9,14449.0,2817.1,1188.8,965.1,2612.0,-1709.1,-1670.0,True,True,True,True,True
Minnesota,6437,8577.3,7552.4,6735.2,9688.0,5746.7,8176.3,2140.3,1115.4,298.2,3251.0,-690.3,1739.3,True,True,False,True,True
Mississippi,6461,6307.0,6234.3,5133.8,6224.0,6695.1,6363.9,-154.0,-226.7,-1327.2,-237.0,234.1,-97.1,False,False,False,False,True
