,actual_deaths,Baseline,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9242,5356.6,4719.0,3734.2,-3885.4,-4523.0,-5507.8,False,False
Alaska,282,278.0,,209.8,-4.0,,-72.2,,False
Arizona,14948,8076.3,7720.0,7223.0,-6871.7,-7228.0,-7725.0,False,False
Arkansas,5252,3443.0,4052.0,2782.3,-1809.0,-1200.0,-2469.7,True,False
California,46874,21977.7,21100.0,21356.3,-24893.3,-25771.0,-25514.7,False,False
Colorado,5814,4500.3,4286.0,3391.3,-1313.7,-1528.0,-2422.7,False,False
Connecticut,7381,5585.6,5398.0,5077.9,-1795.4,-1983.0,-2303.1,False,False
Delaware,1356,967.4,928.0,766.2,-355.6,-395.0,-556.8,False,False
District of Columbia,979,737.1,688.0,673.4,-241.9,-291.0,-305.6,False,False
Florida,28683,22622.3,21229.0,21503.2,-6060.7,-7454.0,-7179.8,False,False
Georgia,15850,12929.9,11796.0,10355.1,-2920.1,-4054.0,-5494.9,False,False
Hawaii,424,234.9,,266.9,-189.1,,-157.1,,True
Idaho,1803,1697.6,1818.0,1396.8,-105.4,15.0,-406.2,True,False
Illinois,22087,19184.9,18602.0,13016.8,-2902.1,-3485.0,-9070.2,False,False
Indiana,12149,8522.9,9197.0,7203.4,-3276.1,-2602.0,-4595.6,True,False
Iowa,5236,3840.4,4081.0,3413.4,-1395.6,-1155.0,-1822.6,True,False
Kansas,4329,2276.9,2441.0,2195.2,-1980.1,-1816.0,-2061.8,True,False
Kentucky,4272,2895.3,2804.5,3294.9,-1376.7,-1467.5,-977.1,False,True
Louisiana,9276,7213.9,7158.0,7849.8,-2051.1,-2107.0,-1415.2,False,True
Maine,647,332.1,278.0,269.8,-314.9,-369.0,-377.2,False,False
Maryland,7536,5459.1,5031.0,5204.5,-2076.9,-2505.0,-2331.5,False,False
Massachusetts,15424,12643.3,13078.0,11278.8,-2780.7,-2346.0,-4145.2,True,False
Michigan,16119,13917.4,13774.0,11815.1,-2201.6,-2345.0,-4303.9,False,False
Minnesota,6437,6188.1,7372.0,5227.3,-248.9,935.0,-1209.7,False,False
Mississippi,6461,4828.7,5049.0,4849.1,-1632.3,-1412.0,-1611.9,True,True
Missouri,7780,6241.3,6156.0,4163.2,-1516.7,-1602.0,-3594.8,False,False
Montana,1327,1342.9,1733.0,849.8,15.9,406.0,-477.2,False,False
Nebraska,2002,1756.1,2083.0,978.5,-245.9,81.0,-1023.5,True,False
Nevada,4694,2654.7,2527.0,2669.7,-2039.3,-2167.0,-2024.3,False,True
New Hampshire,1130,627.6,757.0,603.3,-502.4,-373.0,-526.7,True,False
New Jersey,22440,18327.4,17845.0,17809.0,-4112.6,-4595.0,-4631.0,False,False
New Mexico,3516,2462.1,2516.0,1827.9,-1053.9,-1000.0,-1688.1,True,False
New York,45751,35690.6,36051.0,34544.2,-10060.4,-9700.0,-11206.8,True,False
North Carolina,10453,7364.6,6980.0,6792.7,-3088.4,-3473.0,-3660.3,False,False
North Dakota,1461,1983.1,2460.0,1047.5,522.1,999.0,-413.5,False,True
Ohio,17746,8357.7,9798.0,7140.5,-8904.3,-7464.0,-10121.5,True,False
Oklahoma,3994,2685.1,3081.0,2194.0,-1308.9,-913.0,-1800.0,True,False
Oregon,2137,1159.6,1253.0,991.2,-977.4,-884.0,-1145.8,True,False
Pennsylvania,23043,12954.3,12538.0,11572.8,-10088.7,-10505.0,-11470.2,False,False
Rhode Island,2459,1639.7,1625.0,1454.3,-782.3,-797.0,-967.7,False,False
South Carolina,7911,5089.1,4993.5,5278.1,-2821.9,-2917.5,-2632.9,False,True
South Dakota,1838,2032.6,2194.0,751.4,194.6,356.0,-1086.6,False,False
Tennessee,10902,7724.4,8140.0,7074.4,-3177.6,-2762.0,-3827.6,True,False
Texas,41149,30473.6,28624.0,26522.9,-10297.4,-12147.0,-14248.1,False,False
Utah,1790,1476.6,1889.0,1413.7,-313.4,99.0,-376.3,True,False
Vermont,189,59.0,72.0,60.6,-130.0,-117.0,-128.4,True,True
Virginia,6996,4995.7,4967.0,4742.5,-2000.3,-2029.0,-2253.5,False,False
Washington,4675,3547.6,3444.0,3533.6,-1141.4,-1245.0,-1155.4,False,False
West Virginia,2201,1584.9,1688.0,1211.0,-616.1,-513.0,-990.0,True,False
Wisconsin,6744,5078.1,5798.0,5423.9,-1665.9,-946.0,-1320.1,True,True
Wyoming,647,529.7,514.0,319.1,-117.3,-133.0,-327.9,False,False
US,485911,345464.1,346204.0,376291.8,-139068.9,-138329.0,-108241.2,True,True
