location,actual_deaths,Baseline,error-Baseline
Alabama,9242,4230.7,-5011.3
Alaska,282,65.9,-216.1
Arizona,14948,8709.9,-6238.1
Arkansas,5252,5352.4,100.4
California,46874,28322.9,-18551.1
Colorado,5814,2556.3,-3257.7
Connecticut,7381,4742.3,-2638.7
Delaware,1356,746.1,-595.9
District of Columbia,979,703.4,-275.6
Florida,28683,27645.7,-1037.3
Georgia,15850,12212.6,-3637.4
Hawaii,424,558.0,134.0
Idaho,1803,1027.0,-776.0
Illinois,22087,11710.3,-10376.7
Indiana,12149,4924.3,-7242.7
Iowa,5236,2203.6,-3032.4
Kansas,4329,1992.4,-2335.6
Kentucky,4272,2174.7,-2097.3
Louisiana,9276,8142.0,-1134.0
Maine,647,201.6,-445.4
Maryland,7536,4734.1,-2801.9
Massachusetts,15424,11395.7,-4028.3
Michigan,16119,8178.7,-7940.3
Minnesota,6437,2976.4,-3460.6
Mississippi,6461,5166.9,-1294.1
Missouri,7780,3807.4,-3943.6
Montana,1327,615.9,-711.1
Nebraska,2002,608.9,-1393.1
Nevada,4694,3178.7,-1515.3
New Hampshire,1130,479.7,-650.3
New Jersey,22440,16817.9,-5622.1
New Mexico,3516,1391.3,-2124.7
New York,45751,34421.9,-11329.1
North Carolina,10453,7226.7,-3226.3
North Dakota,1461,692.6,-768.4
Ohio,17746,8786.4,-9335.6
Oklahoma,3994,1801.1,-2192.9
Oregon,2137,880.6,-1256.4
Pennsylvania,23043,10692.3,-12350.7
Rhode Island,2459,1442.6,-989.4
South Carolina,7911,6014.7,-1896.3
South Dakota,1838,577.4,-1260.6
Tennessee,10902,5138.0,-5764.0
Texas,41149,29333.4,-11537.6
Utah,1790,586.0,-1204.0
Vermont,189,58.0,-131.0
Virginia,6996,9040.7,2046.7
Washington,4675,2996.4,-1681.6
West Virginia,2201,1294.3,-906.7
Wisconsin,6744,1909.4,-4769.6
Wyoming,647,195.0,-452.0
US,485911,312930.1,-172958.9
