,actual_deaths,Baseline,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UT-Mobility,YYG-ParamSearch,error-Baseline,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Rhode Island,772,671.1,1714.0,874.0,594.1,736.0,625.8,451.9,620.7,-100.9,942.0,102.0,-177.9,-36.0,-146.2,-320.1,-151.3,False,False,False,True,False,False,False
South Carolina,539,490.3,310.0,338.0,350.3,365.0,370.5,340.6,384.6,-48.7,-229.0,-201.0,-188.7,-174.0,-168.5,-198.4,-154.4,False,False,False,False,False,False,False
South Dakota,65,34.4,205.0,54.0,39.8,180.0,21.3,1653.5,52.7,-30.6,140.0,-11.0,-25.2,115.0,-43.7,1588.5,-12.3,False,True,True,False,False,False,True
Tennessee,417,374.3,589.0,459.0,247.5,921.0,463.6,298.3,340.8,-42.7,172.0,42.0,-169.5,504.0,46.6,-118.7,-76.2,False,True,False,False,False,False,False
Texas,1833,1594.0,1800.0,1319.0,1445.9,1990.0,1304.4,1118.3,1351.8,-239.0,-33.0,-514.0,-387.1,157.0,-528.6,-714.7,-481.2,True,False,False,True,False,False,False
Utah,121,123.0,499.0,67.0,396.5,227.0,91.4,181.7,110.1,2.0,378.0,-54.0,275.5,106.0,-29.6,60.7,-10.9,False,False,False,False,False,False,False
Vermont,55,92.9,52.0,63.0,54.2,53.0,50.9,197.6,90.7,37.9,-3.0,8.0,-0.8,-2.0,-4.1,142.6,35.7,True,True,True,True,True,False,True
Virginia,1461,1456.4,1439.0,2168.0,633.8,1119.0,1495.3,903.2,1195.7,-4.6,-22.0,707.0,-827.2,-342.0,34.3,-557.8,-265.3,False,False,False,False,False,False,False
Washington,1153,1410.9,1354.0,866.0,859.8,1251.0,1178.5,991.6,1130.9,257.9,201.0,-287.0,-293.2,98.0,25.5,-161.4,-22.1,True,False,False,True,True,True,True
West Virginia,84,127.7,35.0,59.0,38.4,135.0,51.5,170.7,123.8,43.7,-49.0,-25.0,-45.6,51.0,-32.5,86.7,39.8,False,True,False,False,True,False,True
Wisconsin,645,576.6,1329.0,726.0,331.1,455.0,590.8,474.0,480.4,-68.4,684.0,81.0,-313.9,-190.0,-54.2,-171.0,-164.6,False,False,False,False,True,False,False
Wyoming,17,36.3,1.0,6.0,64.2,13.0,7.9,49.3,40.4,19.3,-16.0,-11.0,47.2,-4.0,-9.1,32.3,23.4,True,True,False,True,True,False,False
US,110818,136506.1,121829.0,,72655.9,,123675.6,86060.7,109070.3,26617.1,11940.0,,-37233.1,,13786.6,-23828.3,-818.7,True,,False,,True,True,True
