,count,mean,median,std,min,25%,75%,max
Baseline_0.98,51.0,1132.3,96.9,2064.5,0.0,16.5,1226.8,8773.8
Baseline,51.0,1165.9,137.2,2200.2,0.0,25.8,1479.7,10845.7
YYG-ParamSearch,51.0,1895.2,51.7,7648.5,0.1,13.9,722.8,54250.0
LANL-GrowthRate,51.0,1961.7,57.3,4490.7,0.0,5.4,1044.0,20021.5
COVIDhub-ensemble,51.0,2017.4,93.8,7682.5,0.0,12.2,659.9,53106.5
UCLA-SuEIR,51.0,2338.4,110.2,7048.7,0.1,7.2,902.6,45723.8
MOBS_NEU-GLEAM_COVID,51.0,2873.2,83.9,10707.3,0.0,13.2,1345.2,73799.5
UT-Mobility,51.0,2935.5,95.5,10667.4,0.0,8.2,1034.6,72515.0
UMass-MechBayes,51.0,3462.8,169.0,11418.3,0.0,16.0,1056.5,61504.0
MIT_CovidAnalytics-DELPHI,51.0,5082.5,144.0,17616.8,0.0,9.0,1806.5,90601.0
CovidActNow-SEIR_CAN,51.0,7221.7,417.2,24568.3,0.5,71.4,2933.1,170394.0
IHME-CurveFit,51.0,7908.9,348.1,19796.8,0.1,23.8,6590.2,127265.6
CU-select,51.0,11059.1,400.0,33084.7,0.0,40.0,5256.5,204304.0
JHU_IDD-CovidSP,51.0,18117.7,1038.3,87557.2,1.8,130.2,6630.8,622868.2
Covid19Sim-Simulator,51.0,21290.7,2253.4,43561.8,0.1,77.1,14554.3,154105.5
SWC-TerminusCM,51.0,23080.3,324.0,123248.1,0.0,20.5,2704.0,877969.0
IowaStateLW-STEM,51.0,27966.0,961.0,89421.8,0.0,25.0,9140.5,602176.0
PSI-DRAFT,51.0,32510.7,240.2,151747.1,0.0,25.0,2093.6,1063992.2
UA-EpiCovDA,51.0,36320.2,729.0,142895.0,0.0,30.5,8489.0,828100.0
USACE-ERDC_SEIR,51.0,110011.0,731.9,439929.2,0.1,49.5,13899.4,2914755.4
Auquan-SEIR,51.0,351860.0,9801.0,1705066.6,16.0,2029.0,93984.5,12096484.0
