,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,IHME-CurveFit,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,Quantori-Multiagents,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,UMass-MechBayes,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-IHME-CurveFit,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-Quantori-Multiagents,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-UMass-MechBayes,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-Quantori-Multiagents,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-UMass-MechBayes,beat_baseline-YYG-ParamSearch
Alabama,689,790.3,798.1,761.9,842.0,601.0,,854.5,668.2,1061.9,,,607.7,,,,,,798.0,758.1,101.3,109.1,72.9,153.0,-88.0,,165.5,-20.8,372.9,,,-81.3,,,,,,109.0,69.1,False,True,False,True,,False,True,False,,,True,,,,,,False,True
Alaska,10,13.9,14.0,12.9,16.0,9.0,,5.0,10.5,12.2,,,12.8,,,,,,11.0,13.0,3.9,4.0,2.9,6.0,-1.0,,-5.0,0.5,2.2,,,2.8,,,,,,1.0,3.0,False,True,False,True,,False,True,True,,,True,,,,,,True,True
Arizona,1043,1207.1,1339.9,1035.1,946.0,971.0,,1303.5,903.7,962.7,,,840.2,,,,,,1410.0,1227.7,164.1,296.9,-7.9,-97.0,-72.0,,260.5,-139.3,-80.3,,,-202.8,,,,,,367.0,184.7,False,True,True,True,,False,True,True,,,False,,,,,,False,False
Arkansas,154,148.9,151.9,153.1,112.0,137.0,139.7,149.0,168.4,195.6,,,158.5,,,,,,152.0,166.0,-5.1,-2.1,-0.9,-42.0,-17.0,-14.3,-5.0,14.4,41.6,,,4.5,,,,,,-2.0,12.0,True,True,False,False,False,True,False,False,,,True,,,,,,True,False
California,4607,4644.6,4714.1,4281.3,4851.0,4616.0,3558.7,4553.5,3765.7,4304.0,,,4702.5,,,,,,4332.0,4182.2,37.6,107.1,-325.7,244.0,9.0,-1048.3,-53.5,-841.3,-303.0,,,95.5,,,,,,-275.0,-424.8,False,False,False,True,False,False,False,False,,,False,,,,,,False,False
Colorado,1527,1468.6,1507.1,1502.0,1776.0,1726.0,,1446.5,1361.4,1382.7,,,1462.9,,,,,,1308.0,1511.4,-58.4,-19.9,-25.0,249.0,199.0,,-80.5,-165.6,-144.3,,,-64.1,,,,,,-219.0,-15.6,True,True,False,False,,False,False,False,,,False,,,,,,False,True
Connecticut,4055,5015.1,4914.1,4212.0,3946.0,4160.0,,4169.9,4134.5,5107.3,,,3958.3,,,,,,4005.0,4222.9,960.1,859.1,157.0,-109.0,105.0,,114.9,79.5,1052.3,,,-96.7,,,,,,-50.0,167.9,True,True,True,True,,True,True,False,,,True,,,,,,True,True
Delaware,390,390.7,433.0,391.2,507.0,390.0,337.9,357.3,348.0,470.6,,,364.9,,,,,,335.0,402.5,0.7,43.0,1.2,117.0,0.0,-52.1,-32.7,-42.0,80.6,,,-25.1,,,,,,-55.0,12.5,False,False,False,True,False,False,False,False,,,False,,,,,,False,False
District of Columbia,483,600.7,594.8,591.9,,664.0,612.9,497.0,566.9,,,,476.8,,,,,,671.0,557.3,117.7,111.8,108.9,,181.0,129.9,14.0,83.9,,,,-6.2,,,,,,188.0,74.3,True,True,,False,False,True,True,,,,True,,,,,,False,True
Florida,2688,3040.1,3118.8,2755.0,3225.0,2324.0,3361.9,3216.4,2530.9,2796.4,,,2346.2,,,,,,2675.0,2764.7,352.1,430.8,67.0,537.0,-364.0,673.9,528.4,-157.1,108.4,,,-341.8,,,,,,-13.0,76.7,False,True,False,False,False,False,True,True,,,True,,,,,,True,True
