,total_deaths_2020-05-17,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
CU-select,90644,110662.0,110818,20018.0,20174,-156.0,-0.8%
UMass-MechBayes,90644,110436.0,110818,19792.0,20174,-382.0,-1.9%
IowaStateLW-STEM,90644,111250.5,110818,20606.5,20174,432.5,2.1%
MOBS_NEU-GLEAM_COVID,90644,110365.2,110818,19721.2,20174,-452.8,-2.2%
COVIDhub-ensemble,90644,109454.5,110818,18810.5,20174,-1363.5,-6.8%
LANL-GrowthRate,90644,108494.2,110818,17850.2,20174,-2323.8,-11.5%
UCLA-SuEIR,90644,113442.4,110818,22798.4,20174,2624.4,13.0%
Baseline_0.98,90644,113885.3,110818,23241.3,20174,3067.3,15.2%
PSI-DRAFT,90644,114498.0,110818,23854.0,20174,3680.0,18.2%
YYG-ParamSearch,90644,114885.3,110818,24241.3,20174,4067.3,20.2%
MIT_CovidAnalytics-DELPHI,90644,114923.0,110818,24279.0,20174,4105.0,20.3%
GT-DeepCOVID,90644,106532.5,110818,15888.5,20174,-4285.5,-21.2%
IHME-CurveFit,90644,116393.8,110818,25749.8,20174,5575.8,27.6%
USACE-ERDC_SEIR,90644,103698.7,110818,13054.7,20174,-7119.3,-35.3%
UT-Mobility,90644,103402.6,110818,12758.6,20174,-7415.4,-36.8%
UA-EpiCovDA,90644,118510.0,110818,27866.0,20174,7692.0,38.1%
Baseline,90644,118612.6,110818,27968.6,20174,7794.6,38.6%
JHU_IDD-CovidSP,90644,141616.8,110818,50972.8,20174,30798.8,152.7%
Auquan-SEIR,90644,,110818,,20174,,
NotreDame-FRED,90644,,110818,,20174,,
UChicago-CovidIL,90644,,110818,,20174,,
UChicago-CovidIL_100,90644,,110818,,20174,,
UChicago-CovidIL_10_increase,90644,,110818,,20174,,
UChicago-CovidIL_30_increase,90644,,110818,,20174,,
