,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,GT-DeepCOVID,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-GT-DeepCOVID,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-GT-DeepCOVID,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,689,668.0,654.9,905.0,712.0,757.0,592.0,,598.0,825.1,720.7,714.0,693.4,,760.0,688.0,823.0,683.3,671.0,680.9,681.0,691.0,-21.0,216.0,23.0,68.0,-97.0,,-91.0,136.1,31.7,25.0,4.4,,71.0,-1.0,134.0,-5.7,-18.0,-8.1,-8.0,2.0,False,False,False,False,,False,False,False,False,True,,False,True,False,True,True,True,True,True
Alaska,10,10.0,10.0,16.0,11.6,10.0,10.7,11.0,,21.6,10.2,8.0,10.5,,10.0,,12.0,10.6,10.0,11.2,10.0,10.8,0.0,6.0,1.6,0.0,0.7,1.0,,11.6,0.2,-2.0,0.5,,0.0,,2.0,0.6,0.0,1.2,0.0,0.8,False,False,True,False,False,,False,False,False,False,,True,,False,False,True,False,True,False
Arizona,1043,1025.7,1000.6,1139.0,1075.6,1027.0,1048.0,1111.0,1107.0,1245.7,1009.3,1135.0,1161.4,,768.0,1109.0,1103.0,1052.9,1009.0,1058.4,1109.0,1079.3,-17.3,96.0,32.6,-16.0,5.0,68.0,64.0,202.7,-33.7,92.0,118.4,,-275.0,66.0,60.0,9.9,-34.0,15.4,66.0,36.3,False,False,True,True,False,False,False,False,False,False,,False,False,False,True,False,True,False,False
Arkansas,154,149.4,145.7,189.0,158.1,199.0,129.6,,147.0,200.1,159.9,133.0,142.8,,153.5,165.0,142.0,156.3,155.0,147.0,141.0,142.6,-4.6,35.0,4.1,45.0,-24.4,,-7.0,46.1,5.9,-21.0,-11.2,,-0.5,11.0,-12.0,2.3,1.0,-7.0,-13.0,-11.4,False,True,False,False,,False,False,False,False,False,,True,False,False,True,True,False,False,False
California,4607,4705.7,4599.4,5349.0,4745.6,4725.0,4091.8,4834.5,4956.0,5691.5,4520.7,4689.0,4668.8,,4768.0,4554.0,5356.0,4617.4,4560.0,4990.2,4688.5,4624.4,98.7,742.0,138.6,118.0,-515.2,227.5,349.0,1084.5,-86.3,82.0,61.8,,161.0,-53.0,749.0,10.4,-47.0,383.2,81.5,17.4,False,False,False,False,False,False,False,True,True,True,,False,True,False,True,True,False,True,True
Colorado,1527,1549.3,1525.0,1856.0,1600.7,1521.0,1447.7,1530.3,1772.0,1687.1,1596.1,1577.0,1626.8,,1696.5,1786.0,1569.0,1651.0,1527.0,1576.1,1631.0,1609.8,22.3,329.0,73.7,-6.0,-79.3,3.3,245.0,160.1,69.1,50.0,99.8,,169.5,259.0,42.0,124.0,0.0,49.1,104.0,82.8,False,False,True,False,True,False,False,False,False,False,,False,False,False,False,True,False,False,False
Connecticut,4055,4222.3,4163.2,4336.0,4143.7,4207.0,4028.1,,4027.0,4154.9,4168.9,4064.0,4195.5,,4214.0,4177.0,3857.0,4232.5,4070.0,3916.5,4087.0,4142.4,167.3,281.0,88.7,152.0,-26.9,,-28.0,99.9,113.9,9.0,140.5,,159.0,122.0,-198.0,177.5,15.0,-138.5,32.0,87.4,False,True,True,True,,True,True,True,True,True,,True,True,False,False,True,True,True,True
Delaware,390,392.9,385.4,504.0,404.4,447.0,346.9,363.4,400.0,443.0,405.1,407.0,410.8,,431.0,461.0,417.0,386.8,380.0,370.5,410.0,405.8,2.9,114.0,14.4,57.0,-43.1,-26.6,10.0,53.0,15.1,17.0,20.8,,41.0,71.0,27.0,-3.2,-10.0,-19.5,20.0,15.8,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
District of Columbia,483,523.0,512.8,591.0,530.3,,454.8,,545.0,557.5,520.6,547.0,,,528.0,541.0,473.0,562.2,501.0,496.2,524.0,513.7,40.0,108.0,47.3,,-28.2,,62.0,74.5,37.6,64.0,,,45.0,58.0,-10.0,79.2,18.0,13.2,41.0,30.7,False,False,,True,,False,False,True,False,,,False,False,True,False,True,True,False,True
Florida,2688,2727.3,2672.6,3067.0,2708.6,2808.0,2304.4,,2727.0,2988.7,2674.7,2530.0,2635.6,,2757.5,2730.0,3086.0,2747.3,2652.0,2407.1,2709.0,2700.3,39.3,379.0,20.6,120.0,-383.6,,39.0,300.7,-13.3,-158.0,-52.4,,69.5,42.0,398.0,59.3,-36.0,-280.9,21.0,12.3,False,True,False,False,,True,False,True,False,False,,False,False,False,False,True,False,True,True
Georgia,2178,2230.0,2185.0,2346.0,2150.6,1994.0,1908.4,,2223.0,2407.6,2190.4,2036.0,2134.0,,2203.0,2140.0,2498.0,2067.0,2161.0,1841.9,2169.5,2223.1,52.0,168.0,-27.4,-184.0,-269.6,,45.0,229.6,12.4,-142.0,-44.0,,25.0,-38.0,320.0,-111.0,-17.0,-336.1,-8.5,45.1,False,True,False,False,,True,False,True,False,True,,True,True,False,False,True,False,True,True
Hawaii,17,17.0,17.0,27.0,18.8,17.0,17.7,,,21.6,17.5,17.0,18.6,,17.0,90.0,18.0,18.0,17.0,18.5,18.0,19.2,0.0,10.0,1.8,0.0,0.7,,,4.6,0.5,0.0,1.6,,0.0,73.0,1.0,1.0,0.0,1.5,1.0,2.2,False,False,True,False,,,False,False,True,False,,True,False,False,False,True,False,False,False
Idaho,83,90.1,88.9,115.0,89.4,84.0,82.7,92.3,83.0,117.4,92.1,82.0,85.5,,78.0,,110.0,85.6,87.0,83.3,88.0,86.8,7.1,32.0,6.4,1.0,-0.3,9.3,0.0,34.4,9.1,-1.0,2.5,,-5.0,,27.0,2.6,4.0,0.3,5.0,3.8,False,True,True,True,False,True,False,False,True,True,,True,,False,True,True,True,True,True
