,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,689,697.7,813.0,687.0,705.2,760.0,631.3,708.0,721.0,,,,652.3,,,633.0,727.9,694.5,683.1,,700.0,670.0,794.0,692.3,683.0,686.0,696.1,696.2,8.7,124.0,-2.0,16.2,71.0,-57.7,19.0,32.0,,,,-36.7,,,-56.0,38.9,5.5,-5.9,,11.0,-19.0,105.0,3.3,-6.0,-3.0,7.1,7.2,False,True,False,False,False,False,False,,,,False,,,False,False,True,True,,False,False,False,True,True,True,True,True
Alaska,10,10.0,15.0,10.0,10.5,10.0,10.4,11.3,8.0,15.7,,,10.4,,,,12.8,10.7,10.2,,10.0,,11.0,10.3,10.0,9.2,9.0,10.3,0.0,5.0,0.0,0.5,0.0,0.4,1.3,-2.0,5.7,,,0.4,,,,2.8,0.7,0.2,,0.0,,1.0,0.3,0.0,-0.8,-1.0,0.3,False,True,False,True,False,False,False,False,,,False,,,,False,False,False,,True,,False,False,True,False,False,False
Arizona,1043,997.9,1168.0,1007.0,1032.7,1022.0,889.2,1066.7,1046.0,,,,997.3,,,1066.0,1078.5,1061.2,1038.7,,1038.5,1034.0,1120.0,1032.5,1023.0,993.0,992.8,1010.2,-45.1,125.0,-36.0,-10.3,-21.0,-153.8,23.7,3.0,,,,-45.7,,,23.0,35.5,18.2,-4.3,,-4.5,-9.0,77.0,-10.5,-20.0,-50.0,-50.2,-32.8,False,True,True,True,False,True,True,,,,False,,,True,True,True,True,,True,True,False,True,True,False,False,True
Arkansas,154,147.6,201.0,151.0,151.5,164.0,137.0,149.7,140.0,155.2,,,150.0,,,142.0,168.8,151.9,147.8,,148.0,142.0,213.0,151.2,154.0,137.6,145.3,147.2,-6.4,47.0,-3.0,-2.5,10.0,-17.0,-4.3,-14.0,1.2,,,-4.0,,,-12.0,14.8,-2.1,-6.2,,-6.0,-12.0,59.0,-2.8,0.0,-16.4,-8.7,-6.8,False,True,True,False,False,True,False,True,,,True,,,False,False,True,True,,True,False,False,True,True,False,False,False
California,4607,4531.1,5289.0,4551.0,4693.8,5058.0,4213.4,5018.8,4703.0,4568.0,,,4737.6,,,5018.0,4908.1,4516.6,4559.8,,4672.5,4456.0,5516.0,4615.9,4583.0,4728.4,4528.0,4536.8,-75.9,682.0,-56.0,86.8,451.0,-393.6,411.8,96.0,-39.0,,,130.6,,,411.0,301.1,-90.4,-47.2,,65.5,-151.0,909.0,8.9,-24.0,121.4,-79.0,-70.2,False,True,False,False,False,False,False,True,,,False,,,False,False,False,True,,True,False,False,True,True,False,False,True
Colorado,1527,1541.9,1858.0,1559.0,1545.3,1493.0,1458.2,1547.4,1535.0,1575.6,,,1655.7,,,1677.0,1570.5,1573.8,1556.0,,1565.5,1570.0,1633.0,1588.6,1543.0,1490.8,1519.1,1542.6,14.9,331.0,32.0,18.3,-34.0,-68.8,20.4,8.0,48.6,,,128.7,,,150.0,43.5,46.8,29.0,,38.5,43.0,106.0,61.6,16.0,-36.2,-7.9,15.6,False,False,False,False,False,False,True,False,,,False,,,False,False,False,False,,False,False,False,False,False,False,True,False
Connecticut,4055,4159.1,4474.0,4149.0,4109.6,4128.0,4018.6,4135.4,4097.0,,,,4048.7,,,4099.0,4104.2,4052.9,4130.6,,4101.5,4030.0,3994.0,4179.7,4073.0,3935.8,4091.4,4125.9,104.1,419.0,94.0,54.6,73.0,-36.4,80.4,42.0,,,,-6.3,,,44.0,49.2,-2.1,75.6,,46.5,-25.0,-61.0,124.7,18.0,-119.2,36.4,70.9,False,True,True,True,True,True,True,,,,True,,,True,True,True,True,,True,True,True,False,True,False,True,True
Delaware,521,400.3,485.0,400.0,398.4,407.0,362.0,416.6,396.0,389.2,,,379.7,,,397.0,411.7,385.1,398.3,,414.0,385.0,393.0,393.9,388.0,380.5,397.0,398.1,10.3,95.0,10.0,8.4,17.0,-28.0,26.6,6.0,-0.8,,,-10.3,,,7.0,21.7,-4.9,8.3,,24.0,-5.0,3.0,3.9,-2.0,-9.5,7.0,8.1,False,True,True,False,False,False,True,True,,,False,,,True,False,True,True,,False,True,True,True,True,True,True,True
District of Columbia,483,495.1,582.0,497.0,501.6,,464.7,523.4,503.0,492.9,,,498.5,,,543.0,505.1,492.2,,,495.0,500.0,492.0,523.3,488.0,472.6,489.2,494.8,12.1,99.0,14.0,18.6,,-18.3,40.4,20.0,9.9,,,15.5,,,60.0,22.1,9.2,,,12.0,17.0,9.0,40.3,5.0,-10.4,6.2,11.8,False,False,False,,False,False,False,True,,,False,,,False,False,True,,,True,False,True,False,True,True,True,True
Florida,2688,2634.4,3001.0,2661.0,2648.9,2684.0,2434.8,2576.4,2602.0,2734.4,,,2607.6,,,2829.0,2775.9,2647.5,2629.7,,2783.0,2635.0,2953.0,2701.9,2657.0,2547.5,2607.2,2636.5,-53.6,313.0,-27.0,-39.1,-4.0,-253.2,-111.6,-86.0,46.4,,,-80.4,,,141.0,87.9,-40.5,-58.3,,95.0,-53.0,265.0,13.9,-31.0,-140.5,-80.8,-51.5,False,True,True,True,False,False,False,True,,,False,,,False,False,True,False,,False,True,False,True,True,False,False,True
