,mean_rank
COVIDhub-ensemble,4.2
YYG-ParamSearch,4.3
LANL-GrowthRate,4.5
UMass-MechBayes,4.5
UCLA-SuEIR,4.9
IHME-CurveFit,5.1
MIT_CovidAnalytics-DELPHI,5.4
CU-select,5.9
MOBS_NEU-GLEAM_COVID,6.1
