,actual_deaths,Baseline,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,UCLA-SuEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-UCLA-SuEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,689,634.9,1064.0,454.0,875.3,438.0,568.4,,485.4,531.9,613.7,-54.1,375.0,-235.0,186.3,-251.0,-120.6,,-203.6,-157.1,-75.3,False,False,False,False,False,,False,False,False
Alaska,10,9.0,15.0,11.0,5.0,,10.0,,11.3,71.4,12.8,-1.0,5.0,1.0,-5.0,,-0.0,,1.3,61.4,2.8,False,False,False,,True,,False,False,False
Arizona,1043,784.6,1080.0,704.0,749.8,599.0,741.9,,603.0,689.3,780.0,-258.4,37.0,-339.0,-293.2,-444.0,-301.1,,-440.0,-353.7,-263.0,True,False,False,False,False,,False,False,False
Arkansas,154,197.4,146.0,190.0,133.6,148.0,90.1,,121.2,265.0,166.7,43.4,-8.0,36.0,-20.4,-6.0,-63.9,,-32.8,111.0,12.7,True,True,True,True,False,,True,False,True
California,4607,4600.9,4494.0,4575.0,3957.2,4186.0,3747.2,,3543.3,3522.1,4024.0,-6.1,-113.0,-32.0,-649.8,-421.0,-859.8,,-1063.7,-1084.9,-583.0,False,False,False,False,False,,False,False,False
Colorado,1527,1590.0,1555.0,1779.0,1252.9,1300.0,1315.1,,1352.9,1204.4,1713.9,63.0,28.0,252.0,-274.1,-227.0,-211.9,,-174.1,-322.6,186.9,True,False,False,False,False,,False,False,False
Connecticut,4055,4922.9,3885.0,5832.0,3810.0,3274.0,3087.0,,3710.2,3446.8,4028.6,867.9,-170.0,1777.0,-245.0,-781.0,-968.0,,-344.8,-608.2,-26.4,True,False,True,True,False,,True,True,True
Delaware,390,453.9,406.0,505.0,430.7,328.0,252.3,,321.7,426.6,414.5,63.9,16.0,115.0,40.7,-62.0,-137.7,,-68.3,36.6,24.5,True,False,True,True,False,,False,True,True
District of Columbia,483,605.6,,635.0,520.9,463.0,651.9,,378.1,560.3,527.4,122.6,,152.0,37.9,-20.0,168.9,,-104.9,77.3,44.4,,False,True,True,False,,True,True,True
Florida,2688,2855.6,3137.0,2091.0,2680.8,2282.0,2223.7,,2017.5,2004.0,2401.1,167.6,449.0,-597.0,-7.2,-406.0,-464.3,,-670.5,-684.0,-286.9,False,False,True,False,False,,False,False,False
Georgia,2178,2485.7,3171.0,1548.0,3211.9,2020.0,1693.3,,1968.4,1653.2,2176.8,307.7,993.0,-630.0,1033.9,-158.0,-484.7,,-209.6,-524.8,-1.2,False,False,False,True,False,,True,False,True
Hawaii,17,31.6,20.0,22.0,24.2,,17.8,,22.4,59.9,31.6,14.6,3.0,5.0,7.2,,0.8,,5.4,42.9,14.6,True,True,True,,True,,True,False,False
Idaho,83,102.9,110.0,89.0,82.0,71.0,77.4,,93.8,177.4,98.9,19.9,27.0,6.0,-1.0,-12.0,-5.6,,10.8,94.4,15.9,False,True,True,True,True,,True,False,True
Illinois,5864,5945.1,6810.0,7406.0,5487.9,4727.0,5926.7,4350.0,4450.7,4119.4,5345.3,81.1,946.0,1542.0,-376.1,-1137.0,62.7,-1514.0,-1413.3,-1744.6,-518.7,False,False,False,False,True,False,False,False,False
Indiana,2292,2681.4,3890.0,2298.0,3954.2,1753.0,2171.4,2279.0,1908.5,1979.9,2294.8,503.4,1712.0,120.0,1776.2,-425.0,-6.6,101.0,-269.5,-198.1,116.8,False,True,False,True,True,True,True,True,True
Iowa,599,504.6,2063.0,1375.0,710.1,547.0,535.2,,490.1,1039.9,539.8,-94.4,1464.0,776.0,111.1,-52.0,-63.8,,-108.9,440.9,-59.2,False,False,False,True,True,,False,False,True
Kansas,233,255.7,303.0,660.0,221.4,556.0,258.3,,375.3,217.4,258.8,22.7,70.0,427.0,-11.6,323.0,25.3,,142.3,-15.6,25.8,False,False,True,False,False,,False,True,False
Kentucky,470,471.6,319.0,496.0,447.6,316.0,427.7,431.5,479.0,396.3,441.7,1.6,-151.0,26.0,-22.4,-154.0,-42.3,-38.5,9.0,-73.7,-28.3,False,False,False,False,False,False,False,False,False
Louisiana,2925,3386.6,2556.0,2277.0,2761.9,2388.0,2709.7,,2782.2,2375.7,3080.5,461.6,-369.0,-648.0,-163.1,-537.0,-215.3,,-142.8,-549.3,155.5,True,False,True,False,True,,True,False,True
Maine,98,91.0,145.0,102.0,76.4,61.0,93.0,,82.1,189.9,111.4,-7.0,47.0,4.0,-21.6,-37.0,-5.0,,-15.9,91.9,13.4,False,True,False,False,True,,False,False,False
Maryland,2740,3083.0,2865.0,3295.0,2105.7,2086.0,2817.6,,2084.5,1831.4,2591.8,343.0,125.0,555.0,-634.3,-654.0,77.6,,-655.5,-908.6,-148.2,True,False,False,False,True,,False,False,True
Massachusetts,7289,9371.1,7485.0,11160.0,7382.9,6620.0,6915.2,,6371.0,6112.2,7702.0,2082.1,196.0,3871.0,93.9,-669.0,-373.8,,-918.0,-1176.8,413.0,True,False,True,True,True,,True,True,True
Michigan,5916,7637.6,6120.0,6153.0,6578.1,4962.0,5391.7,7138.0,5632.7,5126.9,6808.9,1926.6,409.0,442.0,867.1,-749.0,-319.3,1427.0,-78.3,-584.1,1097.9,True,True,True,True,True,True,True,True,True
Minnesota,1181,1127.1,1543.0,1920.0,1639.3,680.0,1532.8,1549.5,596.4,1878.0,1005.8,-53.9,362.0,739.0,458.3,-501.0,351.8,368.5,-584.6,697.0,-175.2,False,False,False,False,False,False,False,False,False
Mississippi,811,672.1,742.0,708.0,457.2,333.0,433.1,,529.4,590.6,616.4,-138.9,-69.0,-103.0,-353.8,-478.0,-377.9,,-281.6,-220.4,-194.6,True,True,False,False,False,,False,False,False
Missouri,848,857.0,1547.0,681.0,762.9,633.0,636.6,,565.0,705.7,756.8,112.0,802.0,-64.0,17.9,-112.0,-108.4,,-180.0,-39.3,11.8,False,True,True,False,True,,False,True,True
Montana,18,25.7,17.0,14.0,13.2,16.0,16.2,,21.4,191.6,27.7,7.7,-1.0,-4.0,-4.8,-2.0,-1.8,,3.4,173.6,9.7,True,True,True,True,True,,True,False,False
Nebraska,187,184.9,326.0,926.0,269.3,785.0,220.0,,218.7,313.9,192.5,-2.1,139.0,739.0,82.3,598.0,33.0,,31.7,126.9,5.5,False,False,False,False,False,,False,False,False
Nevada,437,510.6,843.0,452.0,431.3,451.0,390.6,,400.8,354.0,470.3,73.6,406.0,15.0,-5.7,14.0,-46.4,,-36.2,-83.0,33.3,False,True,True,True,True,,True,False,True
New Hampshire,283,212.3,292.0,212.0,149.7,138.0,210.6,,139.9,244.2,200.2,-70.7,9.0,-71.0,-133.3,-145.0,-72.4,,-143.1,-38.8,-82.8,True,False,False,False,False,,False,True,False
New Jersey,13945,17259.9,11759.0,13088.0,14651.1,11476.0,12804.2,,11725.5,9818.0,13014.2,4899.9,-601.0,728.0,2291.1,-884.0,444.2,,-634.5,-2542.0,654.2,True,True,True,True,True,,True,True,True
New Mexico,392,403.6,218.0,410.0,349.3,284.0,310.1,,246.9,547.1,359.0,11.6,-174.0,18.0,-42.7,-108.0,-81.9,,-145.1,155.1,-33.0,False,False,False,False,False,,False,False,False
New York,30974,36554.6,31082.0,29382.0,31705.3,25131.0,31272.1,,28542.6,20685.8,31523.4,6367.6,895.0,-805.0,1518.3,-5056.0,1085.1,,-1644.4,-9501.2,1336.4,True,True,True,True,True,,True,False,True
North Carolina,1028,968.3,1348.0,1167.0,1013.9,690.0,737.4,,754.5,1030.2,867.3,-59.7,320.0,139.0,-14.1,-338.0,-290.6,,-273.5,2.2,-160.7,False,False,True,False,False,,False,True,False
North Dakota,72,63.9,9.0,95.0,37.7,77.0,39.6,,45.0,263.9,53.3,-8.1,-63.0,23.0,-34.3,5.0,-32.4,,-27.0,191.9,-18.7,False,False,False,True,False,,False,False,False
Ohio,2372,2549.6,3866.0,2633.0,2301.3,1601.0,2002.8,2992.0,1693.2,1977.9,2133.8,177.6,1494.0,261.0,-70.7,-771.0,-369.2,620.0,-678.8,-394.1,-238.2,False,False,True,False,False,False,False,False,False
Oklahoma,347,446.9,461.0,398.0,431.6,300.0,411.7,,383.4,349.7,434.4,99.9,114.0,51.0,84.6,-47.0,64.7,,36.4,2.7,87.4,False,True,True,True,True,,True,True,True
Oregon,161,191.6,181.0,176.0,180.1,153.0,175.0,,165.2,205.9,177.8,30.6,20.0,15.0,19.1,-8.0,14.0,,4.2,44.9,16.8,True,True,True,True,True,,True,False,True
Pennsylvania,5931,7110.9,4927.0,5837.0,7025.1,4469.0,4020.8,,4269.2,4904.6,5548.8,1179.9,-1004.0,-94.0,1094.1,-1462.0,-1910.2,,-1661.8,-1026.4,-382.2,True,True,True,False,False,,False,True,True
Rhode Island,772,776.6,806.0,729.0,478.9,677.0,496.9,,646.5,602.4,622.0,4.6,34.0,-43.0,-293.1,-95.0,-275.1,,-125.5,-169.6,-150.0,False,False,False,False,False,,False,False,False
South Carolina,545,765.6,792.0,435.0,879.2,288.0,487.3,,379.8,883.6,593.6,220.6,247.0,-110.0,334.2,-257.0,-57.7,,-165.2,338.6,48.6,False,True,False,False,True,,True,False,True
South Dakota,65,69.6,123.0,40.0,91.1,350.0,27.7,,34.3,12739.6,44.2,4.6,58.0,-25.0,26.1,285.0,-37.3,,-30.7,12674.6,-20.8,False,False,False,False,False,,False,False,False
Tennessee,417,350.9,1288.0,461.0,435.5,750.0,404.6,,435.0,339.6,322.2,-66.1,871.0,44.0,18.5,333.0,-12.4,,18.0,-77.4,-94.8,False,True,True,False,True,,True,False,False
Texas,1957,1980.6,6252.0,1371.0,2257.6,2370.0,1765.9,,1492.1,1533.4,1809.7,93.6,4365.0,-516.0,370.6,483.0,-121.1,,-394.9,-353.6,-77.3,False,False,False,False,False,,False,False,True
Utah,121,93.7,226.0,81.0,83.1,164.0,92.8,,84.6,138.5,102.4,-27.3,105.0,-40.0,-37.9,43.0,-28.2,,-36.4,17.5,-18.6,False,False,False,False,False,,False,True,True
Vermont,55,87.0,56.0,63.0,53.6,59.0,59.0,,68.4,378.9,83.2,32.0,1.0,8.0,-1.4,4.0,4.0,,13.4,323.9,28.2,True,True,True,True,True,,True,False,True
Virginia,1461,1684.9,1705.0,2264.0,1143.8,1125.0,1674.2,,1232.7,1380.9,1372.5,223.9,244.0,803.0,-317.2,-336.0,213.2,,-228.3,-80.1,-88.5,False,False,False,False,True,,False,True,True
Washington,1153,1246.9,1261.0,923.0,1138.5,1280.0,1241.3,,1200.4,1166.6,1139.6,93.9,108.0,-230.0,-14.5,127.0,88.3,,47.4,13.6,-13.4,False,False,True,False,True,,True,True,True
West Virginia,84,116.0,104.0,68.0,88.0,50.0,63.5,,70.6,201.1,112.2,32.0,20.0,-16.0,4.0,-34.0,-20.5,,-13.4,117.1,28.2,True,True,True,False,True,,True,False,True
