,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Austria,677.0,891.4285714285714,812.0,711.706,214.42857142857144,135.0,34.70600000000002,True,True
Belgium,9650.0,12021.142857142857,10136.0,9464.23,2371.142857142857,486.0,-185.77000000000044,True,True
Bulgaria,172.0,192.28571428571428,161.0,108.833,20.285714285714278,-11.0,-63.167,True,False
Canada,8183.0,10643.0,8756.0,6612.967,2460.0,573.0,-1570.0330000000004,True,True
Croatia,107.0,200.0,187.0,109.322,93.0,80.0,2.3220000000000027,True,True
Cyprus,18.0,15.0,23.0,11.136,-3.0,5.0,-6.864000000000001,False,False
Czechia,328.0,417.7142857142857,361.0,280.305,89.71428571428572,33.0,-47.69499999999999,True,True
Denmark,597.0,870.1428571428571,688.0,771.653,273.1428571428571,91.0,174.65300000000002,True,True
Estonia,69.0,83.57142857142857,92.0,69.097,14.57142857142857,23.0,0.0969999999999942,False,True
Finland,325.0,508.57142857142856,507.0,299.276,183.57142857142856,182.0,-25.72399999999999,True,True
France,29401.0,35929.71428571429,32482.0,28859.116,6528.71428571429,3081.0,-541.8839999999982,True,True
Germany,8793.0,11947.285714285714,10981.0,8543.041,3154.2857142857138,2188.0,-249.95900000000074,True,True
Greece,183.0,203.14285714285714,200.0,151.991,20.14285714285714,17.0,-31.008999999999986,True,False
Hungary,559.0,756.7142857142857,606.0,453.097,197.71428571428567,47.0,-105.90300000000002,True,True
Ireland,1705.0,2559.0,2234.0,1697.526,854.0,529.0,-7.473999999999933,True,True
Italy,34301.0,41090.42857142857,36721.0,31458.484,6789.4285714285725,2420.0,-2842.5159999999996,True,True
Latvia,28.0,33.14285714285714,36.0,35.779,5.142857142857139,8.0,7.7790000000000035,False,False
Lithuania,75.0,74.57142857142857,72.0,53.527,-0.4285714285714306,-3.0,-21.473,False,False
Luxembourg,110.0,141.71428571428572,130.0,97.88,31.714285714285722,20.0,-12.120000000000005,True,True
Netherlands,6076.0,8320.857142857143,7278.0,6488.009,2244.857142857143,1202.0,412.009,True,True
Norway,242.0,265.42857142857144,304.0,279.575,23.428571428571445,62.0,37.57499999999999,False,False
Poland,1237.0,1475.142857142857,1416.0,1109.193,238.1428571428571,179.0,-127.80700000000002,True,True
Portugal,1512.0,1834.4285714285713,1777.0,1225.7910000000002,322.42857142857133,265.0,-286.20899999999983,True,True
Romania,1394.0,1829.4285714285713,1770.0,1139.0510000000002,435.42857142857133,376.0,-254.94899999999984,True,True
Slovakia,28.0,65.0,42.0,26.689,37.0,14.0,-1.311,True,True
Slovenia,109.0,177.0,132.0,129.936,68.0,23.0,20.936000000000007,True,True
Spain,27136.0,36325.142857142855,30338.0,27726.766,9189.142857142855,3202.0,590.7659999999996,True,True
Sweden,4874.0,5597.571428571428,5459.0,7837.267,723.5714285714284,585.0,2963.267,True,False
Switzerland,1938.0,2464.0,2254.0,2147.6020000000003,526.0,316.0,209.60200000000032,True,True
United Kingdom,41747.0,72534.71428571429,41819.0,40540.163,30787.71428571429,72.0,-1206.8369999999995,True,True
