,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,815,568.6,639.0,545.0,-246.4,-176.0,-270.0,True,False
Austria,677,714.3,738.0,645.8,37.3,61.0,-31.2,False,True
Belgium,9650,12398.3,10022.0,10390.0,2748.3,372.0,740.0,True,True
Brazil,42720,31858.4,35905.0,38794.3,-10861.6,-6815.0,-3925.7,True,True
Bulgaria,172,163.7,177.0,160.2,-8.3,5.0,-11.8,True,False
Canada,8183,10357.3,9441.0,8656.9,2174.3,1258.0,473.9,True,True
Chile,3101,572.9,609.0,575.3,-2528.1,-2492.0,-2525.7,True,True
Colombia,1623,1049.4,1127.0,1161.6,-573.6,-496.0,-461.4,True,True
Croatia,107,142.9,158.0,123.1,35.9,51.0,16.1,False,True
Cyprus,18,20.7,22.0,10.0,2.7,4.0,-8.0,False,False
Czechia,328,423.4,364.0,371.8,95.4,36.0,43.8,True,True
Denmark,597,721.6,686.0,707.9,124.6,89.0,110.9,True,True
Dominican Republic,577,614.6,565.0,687.8,37.6,-12.0,110.8,True,False
Ecuador,3874,4860.4,4676.0,5114.8,986.4,802.0,1240.8,True,False
Egypt,1484,990.3,1001.0,1105.3,-493.7,-483.0,-378.7,True,True
Estonia,69,89.3,87.0,64.5,20.3,18.0,-4.5,True,True
Finland,325,417.1,430.0,388.7,92.1,105.0,63.7,False,True
France,29401,33444.0,29973.0,30379.3,4043.0,572.0,978.3,True,True
Germany,8793,10810.1,9891.0,9397.3,2017.1,1098.0,604.3,True,True
Greece,183,174.6,189.0,164.3,-8.4,6.0,-18.7,True,False
Hungary,559,751.0,655.0,624.8,192.0,96.0,65.8,True,True
Iceland,10,10.0,13.0,13.7,0.0,3.0,3.7,False,False
Ireland,1705,2164.7,1891.0,1723.2,459.7,186.0,18.2,True,True
Israel,300,366.4,319.0,271.8,66.4,19.0,-28.2,True,True
Italy,34301,38564.7,35672.0,34326.9,4263.7,1371.0,25.9,True,True
Latvia,28,27.4,30.0,16.0,-0.6,2.0,-12.0,False,False
Lithuania,75,68.9,68.0,54.4,-6.1,-7.0,-20.6,False,False
Luxembourg,110,124.6,123.0,114.4,14.6,13.0,4.4,True,True
Malaysia,120,127.9,138.0,112.1,7.9,18.0,-7.9,False,False
Mexico,16872,9711.0,8698.0,5306.1,-7161.0,-8174.0,-11565.9,False,False
Moldova,398,377.7,404.0,323.5,-20.3,6.0,-74.5,True,False
Netherlands,6076,7252.3,6822.0,6750.6,1176.3,746.0,674.6,True,True
Norway,242,271.1,264.0,224.9,29.1,22.0,-17.1,True,True
Panama,429,480.0,457.0,446.6,51.0,28.0,17.6,True,True
Peru,6308,4869.7,4276.0,4549.7,-1438.3,-2032.0,-1758.3,False,False
Philippines,1074,1211.6,1119.0,1354.9,137.6,45.0,280.9,True,False
Poland,1237,1343.7,1339.0,1261.8,106.7,102.0,24.8,True,True
Portugal,1512,1525.9,1562.0,1502.6,13.9,50.0,-9.4,False,True
Romania,1394,1755.1,1767.0,1975.9,361.1,373.0,581.9,False,False
Slovakia,28,30.7,35.0,24.1,2.7,7.0,-3.9,False,False
Slovenia,109,125.6,124.0,119.4,16.6,15.0,10.4,True,True
South Korea,277,276.9,300.0,313.6,-0.1,23.0,36.6,False,False
Spain,27136,32948.0,30012.0,29324.2,5812.0,2876.0,2188.2,True,True
Sweden,4874,5551.9,5311.0,5228.7,677.9,437.0,354.7,True,True
Switzerland,1938,2132.6,2091.0,1934.5,194.6,153.0,-3.5,True,True
Turkey,4792,5632.4,4853.0,4937.8,840.4,61.0,145.8,True,True
Ukraine,890,903.0,922.0,822.6,13.0,32.0,-67.4,False,False
United Kingdom,41747,47849.0,41602.0,41994.1,6102.0,-145.0,247.1,True,True
