,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1360,1372.1,1384.5,1426.1,12.1,24.5,66.1,False,False
Argentina,5637,4964.7,5003.7,5824.5,-672.3,-633.3,187.5,True,True
Australia,396,295.3,301.0,265.0,-100.7,-95.0,-131.0,True,False
Austria,728,729.1,729.2,712.7,1.1,1.2,-15.3,False,False
Bangladesh,3625,3573.7,3578.6,3712.6,-51.3,-46.4,87.6,True,False
Belarus,603,628.3,621.7,606.6,25.3,18.7,3.6,True,True
Belgium,9935,9889.6,9863.7,9824.8,-45.4,-71.3,-110.2,False,False
Bolivia,4003,4211.6,4160.2,3895.4,208.6,157.2,-107.6,True,True
Brazil,107232,107289.7,106415.5,110124.3,57.7,-816.5,2892.3,False,False
Bulgaria,495,477.1,478.0,446.4,-17.9,-17.0,-48.6,True,False
Canada,9072,9094.0,9060.0,9066.1,22.0,-12.0,-5.9,True,True
Chile,10395,10529.1,10343.7,10543.4,134.1,-51.3,148.4,True,False
Colombia,14810,15071.9,15032.4,15046.7,261.9,222.4,236.7,True,True
Croatia,165,173.1,180.2,139.2,8.1,15.2,-25.8,False,False
Cuba,88,87.0,89.6,87.8,-1.0,1.6,-0.2,False,True
Cyprus,20,19.0,19.6,19.3,-1.0,-0.4,-0.7,True,True
Czechia,395,408.1,410.6,384.9,13.1,15.6,-10.1,False,True
Denmark,621,618.7,622.7,614.2,-2.3,1.7,-6.8,True,False
Dominican Republic,1438,1391.6,1385.8,1294.0,-46.4,-52.2,-144.0,False,False
Ecuador,6065,6146.4,6135.9,17342.6,81.4,70.9,11277.6,True,False
Egypt,5141,5346.0,5314.0,5451.3,205.0,173.0,310.3,True,False
Estonia,63,51.9,64.1,68.6,-11.1,1.1,5.6,True,True
Finland,333,329.0,332.3,327.0,-4.0,-0.7,-6.0,True,False
France,30410,30403.6,30405.7,30904.1,-6.4,-4.3,494.1,True,False
Germany,9235,9209.7,9234.2,9165.9,-25.3,-0.8,-69.1,True,False
Greece,226,219.1,217.8,204.9,-6.9,-8.2,-21.1,False,False
Honduras,1567,1861.7,1837.8,1979.5,294.7,270.8,412.5,True,False
Hungary,607,598.9,604.7,611.4,-8.1,-2.3,4.4,True,True
Iceland,10,10.0,10.3,10.5,0.0,0.3,0.5,False,False
Indonesia,6071,6081.0,6283.9,7198.0,10.0,212.9,1127.0,False,False
Iran,19492,19957.1,19884.3,20133.3,465.1,392.3,641.3,True,False
Ireland,1774,1761.1,1770.3,1803.4,-12.9,-3.7,29.4,True,False
Israel,674,658.6,675.2,727.4,-15.4,1.2,53.4,True,False
Italy,35392,35241.3,35245.3,35385.7,-150.7,-146.7,-6.3,True,True
Japan,1093,1040.9,1053.3,982.5,-52.1,-39.7,-110.5,True,False
Kuwait,498,501.6,504.5,480.3,3.6,6.5,-17.7,False,False
Latvia,32,33.9,33.1,31.8,1.9,1.1,-0.2,True,True
Lithuania,81,80.0,81.6,80.7,-1.0,0.6,-0.3,True,True
Luxembourg,123,126.3,126.6,112.9,3.3,3.6,-10.1,False,False
Malaysia,125,126.9,128.4,124.0,1.9,3.4,-1.0,False,True
Malta,9,9.0,9.3,9.3,0.0,0.3,0.3,False,False
Mexico,56543,55297.1,55393.4,57038.2,-1245.9,-1149.6,495.2,True,True
Moldova,895,895.0,892.2,879.7,0.0,-2.8,-15.3,False,False
Morocco,632,510.1,549.8,428.6,-121.9,-82.2,-203.4,True,False
Netherlands,6191,6152.3,6185.2,6178.7,-38.7,-5.8,-12.3,True,True
Nigeria,974,943.7,966.5,992.0,-30.3,-7.5,18.0,True,True
Norway,261,255.0,258.2,255.3,-6.0,-2.8,-5.7,True,True
Pakistan,6162,6262.0,6318.8,6386.4,100.0,156.8,224.4,False,False
Panama,1746,1799.7,1849.8,1878.3,53.7,103.8,132.3,False,False
Peru,25856,22903.0,22489.7,32494.2,-2953.0,-3366.3,6638.2,False,False
Philippines,2600,2294.9,2393.4,1644.7,-305.1,-206.6,-955.3,True,False
Poland,1869,1842.4,1854.4,1802.6,-26.6,-14.6,-66.4,True,False
Portugal,1775,1777.0,1783.5,1755.2,2.0,8.5,-19.8,False,False
Romania,2954,2832.7,2848.3,2696.1,-121.3,-105.7,-257.9,True,False
Russia,15585,15691.9,15684.9,15528.3,106.9,99.9,-56.7,True,True
Saudi Arabia,3369,3258.7,3280.5,3322.6,-110.3,-88.5,-46.4,True,True
Serbia,670,694.0,699.5,696.7,24.0,29.5,26.7,False,False
Slovakia,31,30.9,30.0,28.1,-0.1,-1.0,-2.9,False,False
Slovenia,129,127.4,124.0,122.3,-1.6,-5.0,-6.7,False,False
South Africa,11677,11331.9,11141.6,11824.4,-345.1,-535.4,147.4,False,True
South Korea,305,304.7,307.8,310.4,-0.3,2.8,5.4,False,False
Spain,28617,28469.1,28696.4,28686.9,-147.9,79.4,69.9,True,True
Sweden,5804,5828.4,5841.7,5903.0,24.4,37.7,99.0,False,False
Switzerland,1991,1988.4,1989.1,1981.7,-2.6,-1.9,-9.3,True,False
Turkey,5955,5941.6,5948.2,5955.4,-13.4,-6.8,0.4,True,True
Ukraine,2076,1979.3,1976.4,1892.9,-96.7,-99.6,-183.1,False,False
United Arab Emirates,361,364.0,363.4,354.3,3.0,2.4,-6.7,True,False
United Kingdom,41446,47119.9,47059.2,47163.3,5673.9,5613.2,5717.3,True,False
