,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1898,2640.0,1517.0,,,,,1674.0,,3297.0,1228.2,3097.0,,1797.1,,,742.0,-381.0,,,,,-224.0,,1399.0,-669.8,1199.0,,-100.9,,,True,,,,,True,,False,True,False,,True,,
01003,6200,6342.0,5283.0,,,,,4483.0,,6526.6,4236.2,6247.0,,4957.4,3266.0,,142.0,-917.0,,,,,-1717.0,,326.6,-1963.8,47.0,,-1242.6,-2934.0,,False,,,,,False,,False,False,True,,False,False,
01005,601,366.0,274.0,,,,,584.0,,295.6,231.4,442.0,,,,,-235.0,-327.0,,,,,-17.0,,-305.4,-369.6,-159.0,,,,,False,,,,,True,,False,False,True,,,,
01007,683,1104.0,444.0,,,,,673.0,,2911.8,501.5,1110.0,,,,,421.0,-239.0,,,,,-10.0,,2228.8,-181.5,427.0,,,,,True,,,,,True,,False,True,False,,,,
01009,1464,2682.0,1708.0,,,,,2198.0,,2785.1,1353.6,3217.0,,1949.7,,,1218.0,244.0,,,,,734.0,,1321.1,-110.4,1753.0,,485.7,,,True,,,,,True,,False,True,False,,True,,
01011,328,162.0,0.0,,,,,232.0,,60.7,90.6,160.0,,,,,-166.0,-328.0,,,,,-96.0,,-267.3,-237.4,-168.0,,,,,False,,,,,True,,False,False,False,,,,
01013,409,522.0,45.0,,,,,453.0,,534.2,377.5,502.0,,,,,113.0,-364.0,,,,,44.0,,125.2,-31.5,93.0,,,,,False,,,,,True,,False,True,True,,,,
01015,3324,5004.0,3715.0,,,,,3876.0,,1837.4,2461.0,5610.5,,3445.5,,,1680.0,391.0,,,,,552.0,,-1486.6,-863.0,2286.5,,121.5,,,True,,,,,True,,True,True,False,,True,,
01017,1058,714.0,764.0,,,,,873.0,,216.5,450.3,600.5,,,,,-344.0,-294.0,,,,,-185.0,,-841.5,-607.7,-457.5,,,,,True,,,,,True,,False,False,False,,,,
01019,411,546.0,460.0,,,,,881.0,,445.9,325.5,625.5,,,,,135.0,49.0,,,,,470.0,,34.9,-85.5,214.5,,,,,True,,,,,False,,True,True,False,,,,
01021,855,894.0,325.0,,,,,1401.0,,453.6,566.1,930.0,,425.9,,,39.0,-530.0,,,,,546.0,,-401.4,-288.9,75.0,,-429.1,,,False,,,,,False,,False,False,False,,False,,
