,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,86124,104000.0,110115.2,100400.9,101360.0,151871.0,,98282.0,131561.0,122669.7,56091.8,,99167.3,100610.0,80112.7,93343.0,61155.0,94469.0,154026.8,85704.0,104445.8,99062.6,106094.0,,98895.3,112963.2,,113345.1,163517.2,107692.4,99023.0,120252.8,89647.9,17876.0,23991.2,14276.9,15236.0,65747.0,,12158.0,45437.0,36545.7,-30032.2,,13043.3,14486.0,-6011.3,7219.0,-24969.0,8345.0,67902.8,-420.0,18321.8,12938.6,19970.0,,12771.3,26839.2,,27221.1,77393.2,21568.4,12899.0,34128.8,3523.9,False,True,True,False,,True,False,False,False,,True,True,True,True,False,True,False,True,False,True,False,,True,False,,False,False,False,True,False,True
Alaska,6415,9288.0,9768.8,8593.9,7371.0,9168.0,,6715.9,2778.0,6575.9,8780.9,,5100.1,,16230.3,7403.0,4752.0,2556.0,5516.6,9735.5,6811.8,8828.2,8387.0,,7659.8,6347.3,,6614.3,10284.2,13495.2,7416.0,9326.2,4388.5,2873.0,3353.8,2178.9,956.0,2753.0,,300.9,-3637.0,160.9,2365.9,,-1314.9,,9815.3,988.0,-1663.0,-3859.0,-898.4,3320.5,396.8,2413.2,1972.0,,1244.8,-67.7,,199.3,3869.2,7080.2,1001.0,2911.2,-2026.5,False,True,True,True,,True,False,True,True,,True,,False,True,True,False,True,False,True,True,True,,True,True,,True,False,False,True,False,True
Arizona,214229,184436.0,168283.1,180617.0,189482.0,262956.0,,169327.4,192308.0,350555.5,179727.4,,303367.7,167512.0,231233.8,153493.0,148926.5,151344.5,201093.3,227136.5,278686.9,217260.1,160830.0,,202383.0,218927.6,,164411.1,287046.9,216345.1,204239.0,259270.7,121054.4,-29793.0,-45945.9,-33612.0,-24747.0,48727.0,,-44901.6,-21921.0,136326.5,-34501.6,,89138.7,-46717.0,17004.8,-60736.0,-65302.5,-62884.5,-13135.7,12907.5,64457.9,3031.1,-53399.0,,-11846.0,4698.6,,-49817.9,72817.9,2116.1,-9990.0,45041.7,-93174.6,False,False,True,False,,False,True,False,False,,False,False,True,False,False,False,True,True,False,True,False,,True,True,,False,False,True,True,False,False
Arkansas,62945,69892.0,64403.6,68663.4,66744.0,109904.0,,62542.3,48354.0,82866.2,40239.1,,67306.4,67592.0,81055.7,69884.0,37208.1,54977.5,58998.3,64086.5,75373.6,69961.8,66129.0,,65747.6,41368.8,,70002.1,91763.4,61388.8,58886.0,80257.9,61424.7,6947.0,1458.6,5718.4,3799.0,46959.0,,-402.7,-14591.0,19921.2,-22705.9,,4361.4,4647.0,18110.7,6939.0,-25736.9,-7967.5,-3946.7,1141.5,12428.6,7016.8,3184.0,,2802.6,-21576.2,,7057.1,28818.4,-1556.2,-4059.0,17312.9,-1520.3,True,True,True,False,,True,False,False,False,,True,True,False,True,False,False,True,True,False,False,True,,True,False,,False,False,True,True,False,True
California,895703,1071788.0,1198488.3,1078718.3,1062484.0,1249491.0,,1222863.8,847991.0,1555270.8,792599.0,,1232830.1,942249.0,944121.3,1050943.0,679232.8,871371.5,1073172.8,948834.0,961643.1,996966.8,859797.0,,924698.4,1286597.3,,1047097.9,2009993.1,1401189.0,1103022.0,2208969.9,,176085.0,302785.3,183015.3,166781.0,353788.0,,327160.8,-47712.0,659567.8,-103104.0,,337127.1,46546.0,48418.3,155240.0,-216470.2,-24331.5,177469.8,53131.0,65940.1,101263.8,-35906.0,,28995.4,390894.3,,151394.9,1114290.1,505486.0,207319.0,1313266.9,,False,False,True,False,,False,True,False,True,,False,True,True,True,False,True,False,True,True,True,True,,True,False,,True,False,False,False,False,
Colorado,55847,62212.0,77382.4,64448.1,49159.0,89727.0,,56816.4,19075.0,43300.6,69488.5,,42105.9,52545.0,44208.4,52756.0,30964.2,35320.5,44286.2,56886.5,51847.8,50152.0,44110.0,,36094.6,34256.5,,61118.3,54193.0,25084.6,54758.0,70284.9,35377.3,6365.0,21535.4,8601.1,-6688.0,33880.0,,969.4,-36772.0,-12546.4,13641.5,,-13741.1,-3302.0,-11638.6,-3091.0,-24882.8,-20526.5,-11560.8,1039.5,-3999.2,-5695.0,-11737.0,,-19752.4,-21590.5,,5271.3,-1654.0,-30762.4,-1089.0,14437.9,-20469.7,False,False,False,False,,True,False,False,False,,False,True,False,True,False,False,False,True,True,True,False,,False,False,,True,True,False,True,False,False
Connecticut,59903,69508.0,51912.3,65271.4,51604.0,281519.0,,54160.5,19160.0,269715.7,58226.4,,45071.4,51962.0,98313.6,64895.0,55795.0,42541.0,51658.3,27850.5,48283.2,49099.7,60309.0,,17540.7,38753.0,,82646.4,73978.8,52613.3,33403.0,61146.6,29139.3,9605.0,-7990.7,5368.4,-8299.0,221616.0,,-5742.5,-40743.0,209812.7,-1676.6,,-14831.6,-7941.0,38410.6,4992.0,-4108.0,-17362.0,-8244.7,-32052.5,-11619.8,-10803.3,406.0,,-42362.3,-21150.0,,22743.4,14075.8,-7289.7,-26500.0,1243.6,-30763.7,True,True,True,False,,True,False,False,True,,False,True,False,True,True,False,True,False,False,False,True,,False,False,,False,False,True,False,True,False
Delaware,18678,17600.0,21822.9,16785.0,16571.0,21485.0,,17601.4,20619.0,18983.1,15437.6,,15198.2,16445.0,17528.9,18436.0,10992.6,14882.0,15639.2,14993.0,15985.9,19790.2,13793.0,,14441.1,24083.8,,9357.8,33854.6,14772.6,17695.0,19965.1,11476.1,-1078.0,3144.9,-1893.0,-2107.0,2807.0,,-1076.6,1941.0,305.1,-3240.4,,-3479.8,-2233.0,-1149.1,-242.0,-7685.4,-3796.0,-3038.8,-3685.0,-2692.1,1112.2,-4885.0,,-4236.9,5405.8,,-9320.2,15176.6,-3905.4,-983.0,1287.1,-7201.9,False,False,False,False,,True,False,True,False,,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,True,False,False
District of Columbia,7153,7196.0,7245.2,7129.2,6090.0,11736.0,,6875.7,3372.0,5069.7,3285.3,,6426.5,6046.0,9960.4,8003.0,5819.9,4649.5,6220.0,5398.5,5706.3,,3394.0,,5680.2,10396.5,,5744.3,8850.2,,6087.0,8511.1,5441.3,43.0,92.2,-23.8,-1063.0,4583.0,,-277.3,-3781.0,-2083.3,-3867.7,,-726.5,-1107.0,2807.4,850.0,-1333.1,-2503.5,-933.0,-1754.5,-1446.7,,-3759.0,,-1472.8,3243.5,,-1408.7,1697.2,,-1066.0,1358.1,-1711.7,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,,False,False,False
Florida,358756,360980.0,348226.5,362902.4,360888.0,790917.0,,336885.8,295518.0,301668.2,374992.9,,434626.3,253913.0,373743.7,308613.0,301896.0,281427.5,469546.4,367024.5,348822.0,398415.8,389144.0,,394360.0,266988.9,,339995.2,420000.0,461176.6,352094.0,440755.8,,2224.0,-10529.5,4146.4,2132.0,432161.0,,-21870.2,-63238.0,-57087.8,16236.9,,75870.3,-104843.0,14987.7,-50143.0,-56860.0,-77328.5,110790.4,8268.5,-9934.0,39659.8,30388.0,,35604.0,-91767.1,,-18760.8,61244.0,102420.6,-6662.0,81999.8,,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,
Georgia,220736,225336.0,235085.5,226831.7,230505.0,286174.0,,232105.0,141268.0,219065.2,139722.6,,297700.0,216430.0,203315.2,240690.0,129842.2,171996.5,361457.4,248864.0,243323.5,248886.7,239876.0,,233378.0,162694.5,,213017.9,307835.5,134262.9,216935.0,279944.4,,4600.0,14349.5,6095.7,9769.0,65438.0,,11369.0,-79468.0,-1670.8,-81013.4,,76964.0,-4306.0,-17420.8,19954.0,-90893.8,-48739.5,140721.4,28128.0,22587.5,28150.7,19140.0,,12642.0,-58041.5,,-7718.1,87099.5,-86473.1,-3801.0,59208.4,,False,False,False,False,,False,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,False,
Hawaii,3813,3700.0,4180.1,3717.2,3829.0,31633.0,,3410.9,1140.0,5593.9,3549.0,,4513.7,,3809.9,3404.0,9945.7,3718.0,3552.8,3905.0,3918.0,5034.2,6418.0,,3600.3,3198.7,,2537.2,5449.5,6326.1,3122.0,3580.4,3069.3,-113.0,367.1,-95.8,16.0,27820.0,,-402.1,-2673.0,1780.9,-264.0,,700.7,,-3.1,-409.0,6132.7,-95.0,-260.2,92.0,105.0,1221.2,2605.0,,-212.7,-614.3,,-1275.8,1636.5,2513.1,-691.0,-232.6,-743.7,False,True,True,False,,False,False,False,False,,False,,True,False,False,True,False,True,True,False,False,,False,False,,False,False,False,False,False,False
