,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2617,1952.0,,,,1386.0,,1362.7,,948.9,,,-665.0,,,,-1231.0,,-1254.3,,-1668.1,,,,,,False,,False,,False,,
01003,8296,7144.0,,,,3809.0,,12568.3,,4900.1,6736.0,,-1152.0,,,,-4487.0,,4272.3,,-3395.9,-1560.0,,,,,False,,False,,False,False,
01005,712,368.0,,,,506.0,,415.4,,,,,-344.0,,,,-206.0,,-296.6,,,,,,,,True,,True,,,,
01007,1001,832.0,,,,596.0,,1145.0,,,,,-169.0,,,,-405.0,,144.0,,,,,,,,False,,True,,,,
01009,2374,2872.0,,,,1925.0,,2051.9,,1440.0,,,498.0,,,,-449.0,,-322.1,,-934.0,,,,,,True,,True,,False,,
01011,367,136.0,,,,201.0,,141.3,,,,,-231.0,,,,-166.0,,-225.7,,,,,,,,True,,True,,,,
01013,585,480.0,,,,405.0,,266.5,,,,,-105.0,,,,-180.0,,-318.5,,,,,,,,False,,False,,,,
01015,4891,5808.0,,,,3548.0,,5953.5,,3424.4,,,917.0,,,,-1343.0,,1062.5,,-1466.6,,,,,,False,,False,,False,,
01017,1273,1064.0,,,,776.0,,837.7,,,,,-209.0,,,,-497.0,,-435.3,,,,,,,,False,,False,,,,
01019,599,544.0,,,,786.0,,212.8,,,,,-55.0,,,,187.0,,-386.2,,,,,,,,False,,False,,,,
01021,1159,1104.0,,,,1102.0,,1965.3,,704.4,,,-55.0,,,,-57.0,,806.3,,-454.6,,,,,,False,,False,,False,,
01023,93,128.0,,,,344.0,,1132.1,,,,,35.0,,,,251.0,,1039.1,,,,,,,,False,,False,,,,
01025,1522,608.0,,,,621.0,,490.4,,,,,-914.0,,,,-901.0,,-1031.6,,,,,,,,True,,False,,,,
01027,369,296.0,,,,362.0,,204.5,,,,,-73.0,,,,-7.0,,-164.5,,,,,,,,True,,False,,,,
01029,448,376.0,,,,461.0,,175.2,,,,,-72.0,,,,13.0,,-272.8,,,,,,,,True,,False,,,,
01031,2220,1464.0,,,,1088.0,,769.7,,902.2,,,-756.0,,,,-1132.0,,-1450.3,,-1317.8,,,,,,False,,False,,False,,
01033,2194,3176.0,,,,2406.0,,3092.9,,1332.1,,,982.0,,,,212.0,,898.9,,-861.9,,,,,,True,,True,,True,,
01035,268,408.0,,,,260.0,,371.1,,,,,140.0,,,,-8.0,,103.1,,,,,,,,True,,True,,,,
01037,281,392.0,,,,209.0,,345.6,,,,,111.0,,,,-72.0,,64.6,,,,,,,,True,,True,,,,
01039,1177,1352.0,,,,902.0,,1970.2,,724.9,,,175.0,,,,-275.0,,793.2,,-452.1,,,,,,False,,False,,False,,
01041,552,240.0,,,,270.0,,88.0,,,,,-312.0,,,,-282.0,,-464.0,,,,,,,,True,,False,,,,
01043,3519,4728.0,,,,3489.0,,2296.4,,3221.4,,,1209.0,,,,-30.0,,-1222.6,,-297.6,,,,,,True,,False,,True,,
01045,1751,1472.0,,,,1126.0,,834.3,,742.9,,,-279.0,,,,-625.0,,-916.7,,-1008.1,,,,,,False,,False,,False,,
01047,824,928.0,,,,771.0,,526.3,,437.4,,,104.0,,,,-53.0,,-297.7,,-386.6,,,,,,True,,False,,False,,
01049,2807,3416.0,,,,2775.0,,1593.3,,1139.9,,,609.0,,,,-32.0,,-1213.7,,-1667.1,,,,,,True,,False,,False,,
01051,4088,3024.0,,,,1689.0,,2814.9,,2402.4,,,-1064.0,,,,-2399.0,,-1273.1,,-1685.6,,,,,,False,,False,,False,,
01053,1396,904.0,,,,977.0,,1206.4,,,,,-492.0,,,,-419.0,,-189.6,,,,,,,,True,,True,,,,
01055,5256,7136.0,,,,3751.0,,7204.3,,5508.6,,,1880.0,,,,-1505.0,,1948.3,,252.6,,,,,,True,,False,,True,,
01057,803,1032.0,,,,597.0,,960.8,,,,,229.0,,,,-206.0,,157.8,,,,,,,,True,,True,,,,
01059,1147,1272.0,,,,1479.0,,1218.9,,850.4,,,125.0,,,,332.0,,71.9,,-296.6,,,,,,False,,True,,False,,
01061,927,672.0,,,,643.0,,358.7,,,,,-255.0,,,,-284.0,,-568.3,,,,,,,,False,,False,,,,
01063,329,320.0,,,,171.0,,333.2,,,,,-9.0,,,,-158.0,,4.2,,,,,,,,False,,True,,,,
01065,911,432.0,,,,389.0,,391.3,,,,,-479.0,,,,-522.0,,-519.7,,,,,,,,False,,False,,,,
01067,735,536.0,,,,354.0,,784.3,,,,,-199.0,,,,-381.0,,49.3,,,,,,,,False,,True,,,,
01069,3719,3152.0,,,,2165.0,,2595.0,,1954.9,,,-567.0,,,,-1554.0,,-1124.0,,-1764.1,,,,,,False,,False,,False,,
01071,2361,5080.0,,,,2116.0,,11093.0,,2620.1,,,2719.0,,,,-245.0,,8732.0,,259.1,,,,,,True,,False,,True,,
01073,30321,29504.0,,,,19186.0,,25212.9,,35325.6,54292.0,,-817.0,,,,-11135.0,,-5108.1,,5004.6,23971.0,,,,,False,,False,,False,False,
01075,493,520.0,,,,467.0,,1567.2,,,,,27.0,,,,-26.0,,1074.2,,,,,,,,True,,False,,,,
01077,3550,4120.0,,,,4245.0,,2505.8,,1860.8,,,570.0,,,,695.0,,-1044.2,,-1689.2,,,,,,False,,False,,False,,
01079,1207,1136.0,,,,1366.0,,664.2,,,,,-71.0,,,,159.0,,-542.8,,,,,,,,False,,False,,,,
01081,5548,2992.0,,,,3006.0,,1789.5,,1818.4,5321.0,,-2556.0,,,,-2542.0,,-3758.5,,-3729.6,-227.0,,,,,True,,False,,False,True,
01083,3921,3568.0,,,,3440.0,,2562.8,,2496.0,,,-353.0,,,,-481.0,,-1358.2,,-1425.0,,,,,,False,,False,,False,,
01085,373,272.0,,,,139.0,,449.4,,,,,-101.0,,,,-234.0,,76.4,,,,,,,,False,,True,,,,
01087,495,328.0,,,,267.0,,209.2,,,,,-167.0,,,,-228.0,,-285.8,,,,,,,,False,,False,,,,
01089,14479,13048.0,,,,11084.0,,12568.3,,16143.2,16752.0,,-1431.0,,,,-3395.0,,-1910.7,,1664.2,2273.0,,,,,False,,False,,False,False,
01091,878,616.0,,,,503.0,,996.7,,,,,-262.0,,,,-375.0,,118.7,,,,,,,,False,,True,,,,
01093,1067,1024.0,,,,1104.0,,1302.2,,,,,-43.0,,,,37.0,,235.2,,,,,,,,True,,False,,,,
01095,3651,6328.0,,,,3736.0,,5548.1,,2355.2,,,2677.0,,,,85.0,,1897.1,,-1295.8,,,,,,True,,True,,True,,
01097,11983,7240.0,,,,8261.0,,4934.6,,6405.5,11344.0,,-4743.0,,,,-3722.0,,-7048.4,,-5577.5,-639.0,,,,,True,,False,,False,True,
01099,704,528.0,,,,492.0,,967.1,,,,,-176.0,,,,-212.0,,263.1,,,,,,,,False,,False,,,,
01101,7778,4616.0,,,,4191.0,,2810.2,,3505.5,8259.0,,-3162.0,,,,-3587.0,,-4967.8,,-4272.5,481.0,,,,,False,,False,,False,True,
01103,5424,7088.0,,,,4757.0,,6061.5,,7153.3,,,1664.0,,,,-667.0,,637.5,,1729.3,,,,,,True,,True,,False,,
01105,315,144.0,,,,196.0,,79.9,,,,,-171.0,,,,-119.0,,-235.1,,,,,,,,True,,False,,,,
01107,756,568.0,,,,546.0,,496.8,,,,,-188.0,,,,-210.0,,-259.2,,,,,,,,False,,False,,,,
01109,1071,592.0,,,,645.0,,343.6,,,,,-479.0,,,,-426.0,,-727.4,,,,,,,,True,,False,,,,
01111,429,432.0,,,,584.0,,266.4,,,,,3.0,,,,155.0,,-162.6,,,,,,,,False,,False,,,,
01113,1350,1048.0,,,,1185.0,,1857.4,,717.7,,,-302.0,,,,-165.0,,507.4,,-632.3,,,,,,True,,False,,False,,
01115,3358,4304.0,,,,2371.0,,8817.3,,2771.2,,,946.0,,,,-987.0,,5459.3,,-586.8,,,,,,False,,False,,True,,
01117,8563,9080.0,,,,5287.0,,7467.2,,8440.7,14570.0,,517.0,,,,-3276.0,,-1095.8,,-122.3,6007.0,,,,,False,,False,,True,False,
01119,321,248.0,,,,251.0,,96.3,,,,,-73.0,,,,-70.0,,-224.7,,,,,,,,True,,False,,,,
01121,2851,3176.0,,,,2269.0,,5156.7,,2654.3,,,325.0,,,,-582.0,,2305.7,,-196.7,,,,,,False,,False,,True,,
01123,1362,1320.0,,,,831.0,,1379.4,,,,,-42.0,,,,-531.0,,17.4,,,,,,,,False,,True,,,,
01125,8176,8128.0,,,,6240.0,,7059.0,,4532.9,19750.0,,-48.0,,,,-1936.0,,-1117.0,,-3643.1,11574.0,,,,,False,,False,,False,False,
01127,2181,2344.0,,,,2527.0,,2367.2,,1247.1,,,163.0,,,,346.0,,186.2,,-933.9,,,,,,False,,False,,False,,
01129,520,256.0,,,,532.0,,96.0,,,,,-264.0,,,,12.0,,-424.0,,,,,,,,True,,False,,,,
01131,463,216.0,,,,160.0,,172.8,,,,,-247.0,,,,-303.0,,-290.2,,,,,,,,False,,False,,,,
01133,908,1136.0,,,,1074.0,,1346.6,,,,,228.0,,,,166.0,,438.6,,,,,,,,True,,False,,,,
02013,49,64.0,,,,,,718.5,,,,,15.0,,,,,,669.5,,,,,,,,,,False,,,,
02016,210,32.0,,,,,,134.3,,,,,-178.0,,,,,,-75.7,,,,,,,,,,True,,,,
02020,7250,14080.0,,,,,,3991.4,,13512.0,11355.0,,6830.0,,,,,,-3258.6,,6262.0,4105.0,,,,,,,True,,True,True,
