,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,112124,117770.0,77482.0,,139230.2,174959.0,,148644.0,180601.0,105964.7,80070.3,260957.6,128872.5,,,130718.6,99457.0,5646.0,-34642.0,,27106.2,62835.0,,36520.0,68477.0,-6159.3,-32053.7,148833.6,16748.5,,,18594.6,-12667.0,False,,False,False,,False,False,False,False,False,False,,,False,False
Alaska,8737,8955.0,3078.0,,8545.7,5455.0,,,12376.1,3590.8,6084.4,7384.5,8582.0,,,7499.0,6929.0,218.0,-5659.0,,-191.3,-3282.0,,,3639.1,-5146.2,-2652.6,-1352.5,-155.0,,,-1238.0,-1808.0,False,,True,False,,,False,False,False,False,True,,,False,False
Arizona,260338,224050.0,166045.0,,221145.4,274622.0,,210467.0,299537.9,157895.5,203253.1,197905.9,206526.0,,,186943.3,183283.0,-36288.0,-94293.0,,-39192.6,14284.0,,-49871.0,39199.9,-102442.5,-57084.9,-62432.1,-53812.0,,,-73394.7,-77055.0,False,,False,True,,False,False,False,False,False,False,,,False,False
Arkansas,80418,69275.0,48952.0,,77384.3,64828.0,,92826.0,107204.9,53597.6,46362.5,79385.5,77177.0,,,62615.5,50796.0,-11143.0,-31466.0,,-3033.7,-15590.0,,12408.0,26786.9,-26820.4,-34055.5,-1032.5,-3241.0,,,-17802.5,-29622.0,False,,True,False,,False,False,False,False,True,True,,,False,False
California,1166295,1390265.0,1289385.0,,1651994.1,1257493.0,,1365892.0,2565080.1,2471738.3,961048.5,4680118.6,2110243.0,,,1291731.4,1358561.0,223970.0,123090.0,,485699.1,91198.0,,199597.0,1398785.1,1305443.3,-205246.5,3513823.6,943948.0,,,125436.4,192266.0,True,,False,True,,True,False,False,True,False,False,,,True,True
Colorado,71400,85105.0,52613.0,,79526.2,32587.0,,92225.0,81035.0,30864.1,47465.7,66754.3,63767.5,,,96820.8,69349.0,13705.0,-18787.0,,8126.2,-38813.0,,20825.0,9635.0,-40535.9,-23934.3,-4645.7,-7632.5,,,25420.8,-2051.0,False,,True,False,,False,True,False,False,True,True,,,False,True
Connecticut,77280,49805.0,26294.0,,58309.9,29260.0,,66236.0,105008.0,35202.7,74568.2,53294.2,54910.5,,,66193.4,37567.0,-27475.0,-50986.0,,-18970.1,-48020.0,,-11044.0,27728.0,-42077.3,-2711.8,-23985.8,-22369.5,,,-11086.6,-39713.0,False,,True,False,,True,False,False,True,True,True,,,True,False
Delaware,23078,21685.0,16885.0,,23147.4,34450.0,,21127.0,35321.8,12923.1,18895.2,24612.4,16939.0,,,18180.9,19790.0,-1393.0,-6193.0,,69.4,11372.0,,-1951.0,12243.8,-10154.9,-4182.8,1534.4,-6139.0,,,-4897.1,-3288.0,False,,True,False,,False,False,False,False,False,False,,,False,False
District of Columbia,8952,6840.0,5205.0,,7332.3,4929.0,,7917.0,9364.4,5079.9,7954.7,17433.5,8411.5,,,8836.9,5972.0,-2112.0,-3747.0,,-1619.7,-4023.0,,-1035.0,412.4,-3872.1,-997.3,8481.5,-540.5,,,-115.1,-2980.0,False,,True,False,,True,True,False,True,False,True,,,True,False
Florida,449001,357115.0,298598.0,,390555.8,434528.0,,411848.0,502924.7,278091.3,371817.5,632946.7,375453.0,,,332241.0,316442.0,-91886.0,-150403.0,,-58445.2,-14473.0,,-37153.0,53923.7,-170909.7,-77183.5,183945.7,-73548.0,,,-116760.0,-132559.0,False,,True,True,,True,True,False,True,False,True,,,False,False
