,predicted_cases,actual_cases,error,perc_error
CovidAnalytics-DELPHI,7163457.0,7034661,128796.0,1.8%
Columbia_UNC-SurvCon,7226324.0,7034661,191663.0,2.7%
IowaStateLW-STEM,6842026.0,7034661,-192635.0,-2.7%
UCF-AEM,6763880.0,7034661,-270781.0,-3.8%
COVIDhub-baseline,6635215.0,7034661,-399446.0,-5.7%
QJHong-Encounter,7490580.0,7034661,455919.0,6.5%
LANL-GrowthRate,6500210.0,7034661,-534451.0,-7.6%
JHUAPL-Bucky,6472291.1,7034661,-562369.9,-8.0%
IBF-TimeSeries,6406812.0,7034661,-627849.0,-8.9%
Covid19Sim-Simulator,6133100.0,7034661,-901561.0,-12.8%
JHU_IDD-CovidSP,5672418.3,7034661,-1362242.7,-19.4%
USC-SI_kJalpha,5620727.0,7034661,-1413934.0,-20.1%
CU-select,5390519.0,7034661,-1644142.0,-23.4%
UCLA-SuEIR,5330901.5,7034661,-1703759.5,-24.2%
JCB-PRM,10098606.9,7034661,3063945.9,43.6%
Karlen-pypm,11646739.4,7034661,4612078.4,65.6%
