,mean_rank
JHU_UNC_GAS-StatMechPool,7.4
MOBS-GLEAM_COVID,7.8
JHU_IDD-CovidSP,9.4
USC-SI_kJalpha,9.5
Karlen-pypm,9.7
Covid19Sim-Simulator,10.4
OneQuietNight-ML,11.3
LANL-GrowthRate,12.6
COVIDhub-ensemble,13.0
UCLA-SuEIR,13.3
TTU-squider,13.5
UCSB-ACTS,13.6
RobertWalraven-ESG,13.6
JHUAPL-Bucky,13.8
IowaStateLW-STEM,13.9
CEID-Walk,14.7
BPagano-RtDriven,14.9
COVIDhub-baseline,15.0
Microsoft-DeepSTIA,15.4
CovidAnalytics-DELPHI,15.6
OliverWyman-Navigator,18.0
UMich-RidgeTfReg,18.2
LNQ-ens1,19.4
JHU_CSSE-DECOM,19.5
UVA-Ensemble,19.5
IEM_MED-CovidProject,21.5
Google_Harvard-CPF,21.7
DDS-NBDS,23.9
CU-select,24.5
