,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,512,828.0,,834.6,,734.0,1437.0,,,,,637.3,287.3,,,719.0,802.7,377.5,529.5,,616.0,708.0,,,768.0,843.9,,,,,508.5,,,,973.9,532.0,316.0,,322.6,,222.0,925.0,,,,,125.3,-224.7,,,207.0,290.7,-134.5,17.5,,104.0,196.0,,,256.0,331.9,,,,,-3.5,,,,461.9,20.0,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,,,True,False,,,,,True,,,,False,True
01023,39,24.0,,22.1,,26.0,12.0,,,,,94.0,49.4,,,229.0,6.5,57.6,,,10.0,23.9,,,135.0,64.3,,,,,,,,,32.1,94.0,-15.0,,-16.9,,-13.0,-27.0,,,,,55.0,10.4,,,190.0,-32.5,18.6,,,-29.0,-15.1,,,96.0,25.3,,,,,,,,,-6.9,55.0,,False,,True,False,,,,,False,True,,,False,False,False,,,False,False,,,False,False,,,,,,,,,True,False
01025,744,620.0,,611.2,,527.0,694.0,,,,,528.8,269.2,,,376.0,453.7,328.4,,,717.0,541.8,,,517.0,867.5,,,,,384.0,,,,474.8,644.0,-124.0,,-132.8,,-217.0,-50.0,,,,,-215.2,-474.8,,,-368.0,-290.3,-415.6,,,-27.0,-202.2,,,-227.0,123.5,,,,,-360.0,,,,-269.2,-100.0,,False,,False,True,,,,,False,False,,,False,False,False,,,True,False,,,False,True,,,,,False,,,,False,True
01027,167,220.0,,223.7,,216.0,240.0,,,,,222.5,117.4,,,215.0,118.6,103.7,,,187.0,215.6,,,237.0,210.2,,,,,,,,,335.6,168.0,53.0,,56.7,,49.0,73.0,,,,,55.5,-49.6,,,48.0,-48.4,-63.3,,,20.0,48.6,,,70.0,43.2,,,,,,,,,168.6,1.0,,False,,True,False,,,,,False,True,,,True,True,False,,,True,True,,,False,True,,,,,,,,,False,True
01029,221,212.0,,194.6,,196.0,77.0,,,,,196.8,241.7,,,273.0,88.0,126.9,,,145.0,193.9,,,239.0,233.0,,,,,,,,,332.1,195.0,-9.0,,-26.4,,-25.0,-144.0,,,,,-24.2,20.7,,,52.0,-133.0,-94.1,,,-76.0,-27.1,,,18.0,12.0,,,,,,,,,111.1,-26.0,,False,,False,False,,,,,False,False,,,False,False,False,,,False,False,,,False,False,,,,,,,,,False,False
01031,1179,1136.0,,1153.9,,994.0,1001.0,,,,,783.8,712.9,,,808.0,769.8,632.7,829.5,,1132.5,1187.6,,,1065.0,916.4,,,,,871.9,,,,1228.7,861.0,-43.0,,-25.1,,-185.0,-178.0,,,,,-395.2,-466.1,,,-371.0,-409.2,-546.3,-349.5,,-46.5,8.6,,,-114.0,-262.6,,,,,-307.1,,,,49.7,-318.0,,True,,False,False,,,,,False,False,,,False,False,False,False,,False,True,,,False,False,,,,,False,,,,False,False
01033,980,1316.0,,1320.1,,1188.0,1510.0,,,,,986.0,1201.8,,,1114.0,869.2,711.7,956.5,,1355.5,1238.6,,,1217.0,1212.2,,,,,702.2,,,,1458.4,935.0,336.0,,340.1,,208.0,530.0,,,,,6.0,221.8,,,134.0,-110.8,-268.3,-23.5,,375.5,258.6,,,237.0,232.2,,,,,-277.8,,,,478.4,-45.0,,False,,True,False,,,,,True,True,,,True,True,True,True,,False,True,,,True,True,,,,,True,,,,False,True
01035,136,156.0,,160.3,,115.0,101.0,,,,,157.9,257.8,,,157.0,77.3,77.8,,,56.0,112.3,0.0,,162.0,113.7,,,,,,,,,121.3,94.0,20.0,,24.3,,-21.0,-35.0,,,,,21.9,121.8,,,21.0,-58.7,-58.2,,,-80.0,-23.7,-136.0,,26.0,-22.3,,,,,,,,,-14.7,-42.0,,False,,False,False,,,,,False,False,,,False,False,False,,,False,False,False,,False,False,,,,,,,,,True,False
01037,151,184.0,,169.6,,148.0,210.0,,,,,87.9,128.4,,,121.0,282.4,84.8,,,271.0,143.7,2.7,,168.0,133.3,,,,,,,,,161.0,77.0,33.0,,18.6,,-3.0,59.0,,,,,-63.1,-22.6,,,-30.0,131.4,-66.2,,,120.0,-7.3,-148.3,,17.0,-17.7,,,,,,,,,10.0,-74.0,,True,,True,False,,,,,False,True,,,True,False,False,,,False,True,False,,True,True,,,,,,,,,True,False
01039,584,624.0,,666.7,,552.0,855.0,,,,,586.0,301.0,,,607.0,354.6,360.3,402.5,,318.0,440.7,105.5,,664.0,564.0,,,,,655.5,,,,593.5,534.0,40.0,,82.7,,-32.0,271.0,,,,,2.0,-283.0,,,23.0,-229.4,-223.7,-181.5,,-266.0,-143.3,-478.5,,80.0,-20.0,,,,,71.5,,,,9.5,-50.0,,False,,True,False,,,,,True,False,,,True,False,False,False,,False,False,False,,False,True,,,,,False,,,,True,False
