,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,16140,18761.0,21318.1,17932.4,17611.0,16173.0,,18419.6,18392.0,17625.4,,14838.0,18410.9,,17149.3,19311.0,14040.9,17902.0,15272.4,19552.5,13358.2,14483.5,14854.2,17269.5,21138.6,16782.8,19760.0,17209.0,,18828.5,,24200.2,,17611.2,29295.4,14198.6,21595.6,19490.0,24174.2,,2621.0,5178.1,1792.4,1471.0,33.0,,2279.6,2252.0,1485.4,,-1302.0,2270.9,,1009.3,3171.0,-2099.1,1762.0,-867.6,3412.5,-2781.8,-1656.5,-1285.8,1129.5,4998.6,642.8,3620.0,1069.0,,2688.5,,8060.2,,1471.2,13155.4,-1941.4,5455.6,3350.0,8034.2,,False,True,True,True,,True,True,True,,True,True,,True,False,True,True,True,False,False,True,True,True,False,True,False,True,,False,,False,,True,False,True,False,False,False,
Alaska,1066,1497.0,1027.7,1414.6,1331.0,624.0,,1519.4,5359.0,1183.7,,1249.0,1475.5,,1314.2,,1229.8,1590.0,1155.7,1063.5,1206.8,976.0,1109.3,1234.0,2829.0,1360.4,1557.0,1662.0,,1197.5,,1084.2,,1517.4,1347.4,1218.5,2070.7,1382.0,1938.6,,431.0,-38.3,348.6,265.0,-442.0,,453.4,4293.0,117.7,,183.0,409.5,,248.2,,163.8,524.0,89.7,-2.5,140.8,-90.0,43.3,168.0,1763.0,294.4,491.0,596.0,,131.5,,18.2,,451.4,281.4,152.5,1004.7,316.0,872.6,,True,True,True,False,,False,False,True,,True,True,,True,,True,False,True,True,True,True,True,True,False,True,False,False,,True,,True,,False,True,True,False,True,False,
Arizona,38022,48456.0,47621.1,45157.9,46966.0,51329.0,,51195.6,48350.0,48161.1,,39008.1,46937.1,,48673.5,47713.0,38341.8,48383.0,42290.5,48591.5,37855.2,33669.5,45927.0,44315.2,33970.0,45436.1,52678.0,42098.0,,49536.5,,48176.1,,45740.8,78982.6,28626.0,53721.3,48795.0,50062.5,,10434.0,9599.1,7135.9,8944.0,13307.0,,13173.6,10328.0,10139.1,,986.1,8915.1,,10651.5,9691.0,319.8,10361.0,4268.5,10569.5,-166.8,-4352.5,7905.0,6293.2,-4052.0,7414.1,14656.0,4076.0,,11514.5,,10154.1,,7718.8,40960.6,-9396.0,15699.3,10773.0,12040.5,,True,True,True,False,,False,True,True,,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,False,True,,False,,True,,True,False,True,False,False,False,
Arkansas,11392,12817.0,13938.9,12395.1,12506.0,10614.0,,14325.4,13085.0,12818.4,,9879.0,11549.9,,12820.5,14275.0,8762.0,12533.0,10214.2,13926.5,12896.2,8943.5,10007.9,11332.2,12013.5,13247.6,14750.0,11876.0,,13535.2,,10199.0,,12288.8,24065.1,9447.9,14725.2,12361.0,17256.3,,1425.0,2546.9,1003.1,1114.0,-778.0,,2933.4,1693.0,1426.4,,-1513.0,157.9,,1428.5,2883.0,-2630.0,1141.0,-1177.8,2534.5,1504.2,-2448.5,-1384.1,-59.8,621.5,1855.6,3358.0,484.0,,2143.2,,-1193.0,,896.8,12673.1,-1944.1,3333.2,969.0,5864.3,,False,True,True,True,,False,False,False,,False,True,,False,False,False,True,True,False,False,False,True,True,True,False,False,True,,False,,True,,True,False,False,False,True,False,
California,142921,187872.0,225497.5,193675.0,185787.0,147379.0,,212492.9,138469.0,205805.5,,114955.4,189350.5,,159800.1,214289.0,203025.0,209490.0,171577.7,167205.0,205661.4,103684.0,146353.1,189483.4,229679.1,186832.6,228588.0,149308.0,,189343.4,,275205.3,,185787.5,335912.8,148859.1,178384.2,173698.0,396926.4,,44951.0,82576.5,50754.0,42866.0,4458.0,,69571.9,-4452.0,62884.5,,-27965.6,46429.5,,16879.1,71368.0,60104.0,66569.0,28656.7,24284.0,62740.4,-39237.0,3432.1,46562.4,86758.1,43911.6,85667.0,6387.0,,46422.4,,132284.3,,42866.5,192991.8,5938.1,35463.2,30777.0,254005.4,,False,False,True,True,,False,True,False,,True,False,,True,False,False,False,True,True,False,True,True,False,False,True,False,True,,False,,False,,True,False,True,True,True,False,
Colorado,10053,11483.0,9363.9,11005.5,11043.0,9267.0,,12124.8,11375.0,10393.5,,8830.0,12253.2,,10412.7,11654.0,6785.4,11587.0,9810.0,12736.5,10232.6,8715.5,9349.9,11541.0,10580.2,11577.1,12247.0,11697.0,,11822.3,,5806.4,,12630.6,16401.1,10314.6,10949.3,11043.0,13212.5,,1430.0,-689.1,952.5,990.0,-786.0,,2071.8,1322.0,340.5,,-1223.0,2200.2,,359.7,1601.0,-3267.6,1534.0,-243.0,2683.5,179.6,-1337.5,-703.1,1488.0,527.2,1524.1,2194.0,1644.0,,1769.3,,-4246.6,,2577.6,6348.1,261.6,896.3,990.0,3159.5,,True,True,True,True,,False,True,True,,True,False,,True,False,False,False,True,False,True,True,True,False,True,False,False,False,,False,,False,,False,False,True,True,True,False,
Connecticut,12208,14393.0,13662.3,15178.8,14533.0,15178.0,,15333.3,22547.0,147212.8,,14497.9,8494.6,,15320.3,15824.0,10890.5,13760.0,12051.0,13323.5,14885.1,11832.5,11271.6,11629.1,12688.9,14044.6,15021.0,13771.0,,17292.5,,10305.2,,11879.9,20344.4,10579.4,17089.8,11654.0,16087.2,,2185.0,1454.3,2970.8,2325.0,2970.0,,3125.3,10339.0,135004.8,,2289.9,-3713.4,,3112.3,3616.0,-1317.5,1552.0,-157.0,1115.5,2677.1,-375.5,-936.4,-578.9,480.9,1836.6,2813.0,1563.0,,5084.5,,-1902.8,,-328.1,8136.4,-1628.6,4881.8,-554.0,3879.2,,True,False,False,False,,False,False,False,,False,False,,False,False,True,True,True,True,False,True,True,True,True,True,False,True,,False,,True,,True,False,True,False,True,False,
Delaware,3636,4543.0,3781.3,4613.8,4360.0,4097.0,,4682.5,3366.0,5082.3,,4661.5,5114.2,,4452.7,4506.0,3567.1,4517.0,3094.7,3923.5,4478.8,3253.0,4086.1,4326.4,3820.6,4699.6,4926.0,4203.0,,5118.9,,5092.1,,4275.7,6424.4,3744.7,4841.8,4360.0,5034.2,,907.0,145.3,977.8,724.0,461.0,,1046.5,-270.0,1446.3,,1025.5,1478.2,,816.7,870.0,-68.9,881.0,-541.3,287.5,842.8,-383.0,450.1,690.4,184.6,1063.6,1290.0,567.0,,1482.9,,1456.1,,639.7,2788.4,108.7,1205.8,724.0,1398.2,,True,False,True,True,,False,True,False,,False,False,,True,True,True,True,True,True,True,True,True,True,True,False,False,True,,False,,False,,True,False,True,False,True,False,
District of Columbia,1585,1540.0,1678.5,1547.2,1582.0,1271.0,,1784.5,3562.0,1516.6,,1499.7,1402.3,,1670.8,1740.0,1941.1,1704.0,1461.2,1356.0,1795.6,1172.0,1403.1,,,,1829.0,1155.0,,1715.9,,1795.7,,1566.9,2532.2,1230.0,,1598.0,297.6,,-45.0,93.5,-37.8,-3.0,-314.0,,199.5,1977.0,-68.4,,-85.3,-182.7,,85.8,155.0,356.1,119.0,-123.8,-229.0,210.6,-413.0,-181.9,,,,244.0,-430.0,,130.9,,210.7,,-18.1,947.2,-355.0,,13.0,-1287.4,,False,True,True,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,,,,False,False,,False,,False,,True,False,False,,True,False,
Florida,73675,79728.0,77221.2,78556.7,78153.0,69410.0,,86206.2,189425.0,77726.5,,71961.1,77921.0,,76376.1,82467.0,64499.0,,73539.2,85301.0,77715.5,61292.0,71296.0,100281.9,68171.8,77186.2,90420.0,77763.0,,90152.5,,75163.6,,78378.5,125753.2,60662.5,77745.3,81145.0,100641.2,,6053.0,3546.2,4881.7,4478.0,-4265.0,,12531.2,115750.0,4051.5,,-1713.9,4246.0,,2701.1,8792.0,-9176.0,,-135.8,11626.0,4040.5,-12383.0,-2379.0,26606.9,-5503.2,3511.2,16745.0,4088.0,,16477.5,,1488.6,,4703.5,52078.2,-13012.5,4070.3,7470.0,26966.2,,True,True,True,True,,False,False,True,,True,True,,True,False,False,,True,False,True,False,True,False,True,True,False,True,,False,,True,,True,False,False,True,False,False,
