,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,135678,162378.0,135063.0,,170703.2,178291.0,,167687.0,268811.7,144277.4,95772.8,171810.5,,192887.5,113143.0,394402.6,26700.0,-615.0,,35025.2,42613.0,,32009.0,133133.7,8599.4,-39905.2,36132.5,,57209.5,-22535.0,258724.6,True,,False,False,,False,False,True,False,False,,False,True,False
Alaska,10528,19146.0,14289.0,,18342.1,10562.0,,,31944.5,14176.3,11355.4,10533.5,,7227.8,8694.0,28337.3,8618.0,3761.0,,7814.1,34.0,,,21416.5,3648.3,827.4,5.5,,-3300.2,-1834.0,17809.3,True,,True,True,,,False,True,True,True,,True,True,False
Arizona,305148,273852.0,244269.0,,314422.0,218263.0,,265885.0,411178.9,364225.7,276674.7,221513.5,,185111.0,197266.0,725944.4,-31296.0,-60879.0,,9274.0,-86885.0,,-39263.0,106030.9,59077.7,-28473.3,-83634.5,,-120037.0,-107882.0,420796.4,False,,True,False,,False,False,False,True,False,,False,False,False
Arkansas,94273,95172.0,77011.0,,96599.6,79327.0,,113289.0,149721.3,64514.7,57127.9,86761.5,,89001.2,68148.0,140758.6,899.0,-17262.0,,2326.6,-14946.0,,19016.0,55448.3,-29758.3,-37145.1,-7511.5,,-5271.8,-26125.0,46485.6,False,,False,False,,False,False,False,False,False,,False,False,False
California,1441068,1760286.0,1642678.0,,2172837.7,2857705.0,,1537099.0,3429043.3,3689850.0,1216339.4,2696353.0,,1811217.9,1524593.0,,319218.0,201610.0,,731769.7,1416637.0,,96031.0,1987975.3,2248782.0,-224728.6,1255285.0,,370149.9,83525.0,,True,,False,False,,True,False,False,True,False,,False,True,
Colorado,88421,125784.0,69957.0,,125944.3,41022.0,,126133.0,214348.0,46361.4,102310.4,81203.0,,84469.7,63372.0,119977.0,37363.0,-18464.0,,37523.3,-47399.0,,37712.0,125927.0,-42059.6,13889.4,-7218.0,,-3951.3,-25049.0,31556.0,True,,False,False,,False,False,False,True,True,,True,True,True
Connecticut,87241,96126.0,77675.0,,102263.2,77516.0,,89321.0,160878.9,75061.5,106755.0,88459.0,,75580.3,36560.0,259603.2,8885.0,-9566.0,,15022.2,-9725.0,,2080.0,73637.9,-12179.5,19514.0,1218.0,,-11660.7,-50681.0,172362.2,False,,False,False,,True,False,False,False,True,,False,False,False
Delaware,27415,31560.0,22015.0,,35900.4,29216.0,,33637.0,60484.4,30107.1,25668.9,34674.5,,41556.5,18778.0,97449.2,4145.0,-5400.0,,8485.4,1801.0,,6222.0,33069.4,2692.1,-1746.1,7259.5,,14141.5,-8637.0,70034.2,False,,False,True,,False,False,True,True,False,,False,False,False
District of Columbia,10320,10194.0,8654.0,,10212.0,13205.0,,9951.0,16850.5,7835.4,13355.8,10547.0,,11243.6,6337.0,25282.7,-126.0,-1666.0,,-108.0,2885.0,,-369.0,6530.5,-2484.6,3035.8,227.0,,923.6,-3983.0,14962.7,False,,True,False,,False,False,False,False,False,,False,False,False
Florida,520424,457152.0,464724.0,,476281.5,485180.0,,402902.0,572272.6,351847.7,443867.2,440871.0,,447763.7,295776.0,,-63272.0,-55700.0,,-44142.5,-35244.0,,-117522.0,51848.6,-168576.3,-76556.8,-79553.0,,-72660.3,-224648.0,,True,,True,True,,False,True,False,False,False,,False,False,
