,mean_rank
LNQ-ens1,8.4
CU-select,11.3
Microsoft-DeepSTIA,11.9
JHU_IDD-CovidSP,12.4
USC-SI_kJalpha,12.4
Geneva-DetGrowth,12.5
COVIDhub-ensemble,12.6
UChicagoCHATTOPADHYAY-UnIT,13.1
IEM_MED-CovidProject,13.1
UCLA-SuEIR,13.3
BPagano-RtDriven,14.4
JHUAPL-Bucky,14.6
MOBS-GLEAM_COVID,14.6
LANL-GrowthRate,14.6
OneQuietNight-ML,14.9
CEID-Walk,15.2
JHU_CSSE-DECOM,15.4
COVIDhub-baseline,15.7
Google_Harvard-CPF,15.7
Karlen-pypm,15.9
DDS-NBDS,16.2
MIT_ISOLAT-Mixtures,17.0
RobertWalraven-ESG,17.4
JHU_UNC_GAS-StatMechPool,17.9
IowaStateLW-STEM,20.7
UMich-RidgeTfReg,21.0
CovidAnalytics-DELPHI,21.2
TTU-squider,21.6
Covid19Sim-Simulator,21.7
OliverWyman-Navigator,23.8
UVA-Ensemble,27.1
UCSB-ACTS,30.5
