,mean_rank
COVIDhub-ensemble,6.1
OneQuietNight-ML,6.5
LNQ-ens1,6.7
COVIDhub-baseline,6.8
CEID-Walk,7.0
IowaStateLW-STEM,7.2
FAIR-NRAR,7.9
PandemicCentral-USCounty,8.1
UVA-Ensemble,8.3
JHU_IDD-CovidSP,8.4
LANL-GrowthRate,8.7
UpstateSU-GRU,9.2
JHUAPL-Bucky,9.3
Google_Harvard-CPF,9.8
CU-select,11.4
MITCovAlliance-SIR,14.7
