,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,749,1737.0,,1817.9,,1126.0,3716.0,,,,,1320.3,1636.4,,,998.0,745.2,579.5,1108.5,,1004.0,1396.7,,,1888.0,1451.0,913.6,,,,,,1051.8,,,,2429.7,1002.2,988.0,,1068.9,,377.0,2967.0,,,,,571.3,887.4,,,249.0,-3.8,-169.5,359.5,,255.0,647.7,,,1139.0,702.0,164.6,,,,,,302.8,,,,1680.7,253.2,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,,,False,True,True,,,,,,True,,,,False,True
01003,2720,3741.0,,3742.7,,3290.0,2092.0,,,,,3884.5,4643.6,,,3191.0,3430.3,2427.5,3021.5,,4044.5,4086.6,,,4541.0,3844.0,3182.5,,,,,,2351.5,2622.0,,,3283.4,2513.2,1021.0,,1022.7,,570.0,-628.0,,,,,1164.5,1923.6,,,471.0,710.3,-292.5,301.5,,1324.5,1366.6,,,1821.0,1124.0,462.5,,,,,,-368.5,-98.0,,,563.4,-206.8,,False,,True,True,,,,,False,False,,,True,True,True,True,,False,False,,,False,False,True,,,,,,True,True,,,True,True
01005,283,360.0,,341.8,,373.0,397.0,,,,,393.3,396.0,,,355.0,531.4,211.5,,,421.0,380.5,,,518.0,396.0,242.4,,,,,,,,,,501.3,208.4,77.0,,58.8,,90.0,114.0,,,,,110.3,113.0,,,72.0,248.4,-71.5,,,138.0,97.5,,,235.0,113.0,-40.6,,,,,,,,,,218.3,-74.6,,True,,False,False,,,,,False,False,,,True,False,True,,,False,False,,,False,False,True,,,,,,,,,,False,True
01007,246,525.0,,509.1,,474.0,534.0,,,,,534.7,571.9,,,364.0,201.0,232.4,,,451.5,514.3,,,518.0,472.0,374.7,,,,,,,,,,710.3,231.4,279.0,,263.1,,228.0,288.0,,,,,288.7,325.9,,,118.0,-45.0,-13.6,,,205.5,268.3,,,272.0,226.0,128.7,,,,,,,,,,464.3,-14.6,,True,,True,False,,,,,False,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,,,,False,True
01009,608,954.0,,939.1,,944.0,2024.0,,,,,1243.4,1262.4,,,1131.0,551.0,514.8,648.5,,753.0,947.7,,,926.0,1025.0,960.1,,,,,,729.8,,,,936.5,599.1,346.0,,331.1,,336.0,1416.0,,,,,635.4,654.4,,,523.0,-57.0,-93.2,40.5,,145.0,339.7,,,318.0,417.0,352.1,,,,,,121.8,,,,328.5,-8.9,,True,,True,False,,,,,False,False,,,False,True,True,True,,True,True,,,True,False,False,,,,,,True,,,,True,True
01011,130,174.0,,164.0,,173.0,238.0,,,,,204.8,181.5,,,106.0,302.7,134.6,,,171.0,164.6,,,170.0,182.0,146.3,,,,,,,,,,259.4,119.0,44.0,,34.0,,43.0,108.0,,,,,74.8,51.5,,,-24.0,172.7,4.6,,,41.0,34.6,,,40.0,52.0,16.3,,,,,,,,,,129.4,-11.0,,True,,True,False,,,,,False,False,,,True,False,True,,,True,True,,,True,False,True,,,,,,,,,,False,True
01013,175,285.0,,293.8,,285.0,294.0,,,,,401.7,325.7,,,275.0,319.3,165.0,,,237.0,270.9,,,349.0,310.0,195.8,,,,,,,,,,328.7,164.5,110.0,,118.8,,110.0,119.0,,,,,226.7,150.7,,,100.0,144.3,-10.0,,,62.0,95.9,,,174.0,135.0,20.8,,,,,,,,,,153.7,-10.5,,False,,False,False,,,,,False,False,,,True,False,True,,,True,True,,,False,False,True,,,,,,,,,,False,True
01015,1465,2283.0,,2156.1,,2045.0,5451.0,,,,,2604.7,2640.8,,,2200.0,786.2,1137.7,1370.5,,1445.0,2111.1,,,2375.0,2241.0,1949.3,,,,,,1500.4,,,,2430.0,1477.2,818.0,,691.1,,580.0,3986.0,,,,,1139.7,1175.8,,,735.0,-678.8,-327.3,-94.5,,-20.0,646.1,,,910.0,776.0,484.3,,,,,,35.4,,,,965.0,12.2,,True,,True,False,,,,,False,False,,,True,True,True,True,,True,True,,,False,True,True,,,,,,True,,,,False,True
01017,554,702.0,,716.6,,688.0,1127.0,,,,,686.0,724.4,,,500.0,1078.7,222.6,543.0,,930.0,709.3,,,866.0,654.0,592.4,,,,,,562.0,,,,1103.6,429.9,148.0,,162.6,,134.0,573.0,,,,,132.0,170.4,,,-54.0,524.7,-331.4,-11.0,,376.0,155.3,,,312.0,100.0,38.4,,,,,,8.0,,,,549.6,-124.1,,False,,True,False,,,,,True,False,,,True,False,False,True,,False,False,,,False,True,True,,,,,,True,,,,False,True
01019,166,264.0,,257.0,,267.0,371.0,,,,,374.3,351.8,,,481.0,86.4,168.2,,,171.0,316.1,,,287.0,349.0,271.9,,,,,,,,,,419.1,173.4,98.0,,91.0,,101.0,205.0,,,,,208.3,185.8,,,315.0,-79.6,2.2,,,5.0,150.1,,,121.0,183.0,105.9,,,,,,,,,,253.1,7.4,,True,,False,False,,,,,False,False,,,False,True,True,,,True,False,,,False,False,False,,,,,,,,,,False,True
