,predicted_cases,actual_cases,error,perc_error
CovidAnalytics-DELPHI,8033110.0,8367218,-334108.0,-4.0%
CU-select,7749004.0,8367218,-618214.0,-7.4%
IBF-TimeSeries,9007771.0,8367218,640553.0,7.7%
IowaStateLW-STEM,9031114.0,8367218,663896.0,7.9%
COVIDhub-baseline,9074232.0,8367218,707014.0,8.4%
JHU_IDD-CovidSP,7492897.9,8367218,-874320.1,-10.4%
UCLA-SuEIR,7464833.5,8367218,-902384.5,-10.8%
UCF-AEM,9307084.0,8367218,939866.0,11.2%
Covid19Sim-Simulator,9389650.4,8367218,1022432.4,12.2%
LANL-GrowthRate,7244538.0,8367218,-1122680.0,-13.4%
USC-SI_kJalpha,6183977.0,8367218,-2183241.0,-26.1%
JHUAPL-Bucky,10941466.2,8367218,2574248.2,30.8%
JCB-PRM,14548155.3,8367218,6180937.3,73.9%
Columbia_UNC-SurvCon,16877908.0,8367218,8510690.0,101.7%
Wadhwani_AI-BayesOpt,,8367218,,
