,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,442,614.0,,674.7,,614.0,671.0,,,,,714.1,706.6,,,543.0,1231.7,523.7,,614.0,564.9,,,,882.0,541.0,587.0,,,,,,517.3,570.7,,,,649.8,682.7,172.0,,232.7,,172.0,229.0,,,,,272.1,264.6,,,101.0,789.7,81.7,,172.0,122.9,,,,440.0,99.0,145.0,,,,,,75.3,128.7,,,,207.8,240.7,,False,,False,False,,,,,False,False,,,True,False,True,,False,True,,,,False,True,True,,,,,,True,True,,,,False,False
01003,1746,1948.0,,1946.0,,1727.0,1607.0,,,,,2100.2,2207.6,,,2060.0,1486.8,1486.7,,1415.0,1708.2,,,,2359.0,1651.0,1915.3,,,,,,1121.6,1484.3,1517.0,,,2716.8,1750.2,202.0,,200.0,,-19.0,-139.0,,,,,354.2,461.6,,,314.0,-259.2,-259.3,,-331.0,-37.8,,,,613.0,-95.0,169.3,,,,,,-624.4,-261.7,-229.0,,,970.8,4.2,,True,,True,True,,,,,False,False,,,False,False,False,,False,True,,,,False,True,True,,,,,,False,False,False,,,False,True
01005,208,150.0,,135.2,,143.0,87.0,,,,,224.2,190.0,,,196.0,143.5,148.2,,151.0,148.3,,,,220.0,129.0,118.0,,,,,,,145.8,,,,258.9,143.0,-58.0,,-72.8,,-65.0,-121.0,,,,,16.2,-18.0,,,-12.0,-64.5,-59.8,,-57.0,-59.7,,,,12.0,-79.0,-90.0,,,,,,,-62.2,,,,50.9,-65.0,,False,,False,False,,,,,True,True,,,True,False,False,,True,False,,,,True,False,False,,,,,,,False,,,,True,False
01007,140,212.0,,196.7,,193.0,195.0,,,,,276.6,244.6,,,206.0,284.5,159.4,,169.0,184.8,,,,264.0,187.0,170.5,,,,,,146.9,148.3,,,,249.2,205.3,72.0,,56.7,,53.0,55.0,,,,,136.6,104.6,,,66.0,144.5,19.4,,29.0,44.8,,,,124.0,47.0,30.5,,,,,,6.9,8.3,,,,109.2,65.3,,True,,True,True,,,,,False,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01009,363,490.0,,487.7,,450.0,635.0,,,,,649.6,575.9,,,681.0,417.7,375.3,,349.0,414.7,,,,527.0,411.0,370.0,,,,,,461.4,317.9,,,,511.1,421.6,127.0,,124.7,,87.0,272.0,,,,,286.6,212.9,,,318.0,54.7,12.3,,-14.0,51.7,,,,164.0,48.0,7.0,,,,,,98.4,-45.1,,,,148.1,58.6,,True,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01011,92,74.0,,68.6,,68.0,58.0,,,,,121.8,93.9,,,60.0,34.5,85.9,,59.0,64.2,,,,104.0,68.0,70.9,,,,,,,62.5,,,,71.4,78.9,-18.0,,-23.4,,-24.0,-34.0,,,,,29.8,1.9,,,-32.0,-57.5,-6.1,,-33.0,-27.8,,,,12.0,-24.0,-21.1,,,,,,,-29.5,,,,-20.6,-13.1,,False,,False,False,,,,,False,True,,,False,False,True,,False,False,,,,True,False,False,,,,,,,False,,,,False,True
01013,116,118.0,,127.7,,123.0,108.0,,,,,196.4,143.0,,,172.0,100.7,122.9,,138.0,122.0,,,,145.0,115.0,149.0,,,,,,,108.2,,,,134.6,122.6,2.0,,11.7,,7.0,-8.0,,,,,80.4,27.0,,,56.0,-15.3,6.9,,22.0,6.0,,,,29.0,-1.0,33.0,,,,,,,-7.8,,,,18.6,6.6,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,True,False,,,,,,,False,,,,False,False
01015,840,1250.0,,1223.2,,1237.0,1618.0,,,,,1357.4,1456.2,,,1283.0,1465.4,840.8,,1021.0,1080.3,,,,1392.0,994.0,1534.9,,,,,,767.2,1080.9,,,,1468.8,1112.0,410.0,,383.2,,397.0,778.0,,,,,517.4,616.2,,,443.0,625.4,0.8,,181.0,240.3,,,,552.0,154.0,694.9,,,,,,-72.8,240.9,,,,628.8,272.0,,True,,True,False,,,,,False,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
01017,356,396.0,,391.0,,334.0,478.0,,,,,349.2,438.5,,,271.0,424.0,235.1,,228.0,318.6,,,,495.0,313.0,363.5,,,,,,286.4,337.1,,,,487.0,307.4,40.0,,35.0,,-22.0,122.0,,,,,-6.8,82.5,,,-85.0,68.0,-120.9,,-128.0,-37.4,,,,139.0,-43.0,7.5,,,,,,-69.6,-18.9,,,,131.0,-48.6,,True,,True,False,,,,,True,False,,,False,False,False,,False,True,,,,False,False,True,,,,,,False,True,,,,False,False
01019,89,154.0,,151.2,,145.0,171.0,,,,,189.3,165.7,,,275.0,210.3,103.3,,125.0,125.4,,,,175.0,132.0,143.2,,,,,,,159.4,,,,117.5,126.3,65.0,,62.2,,56.0,82.0,,,,,100.3,76.7,,,186.0,121.3,14.3,,36.0,36.4,,,,86.0,43.0,54.2,,,,,,,70.4,,,,28.5,37.3,,True,,True,False,,,,,False,False,,,False,False,True,,True,True,,,,False,True,True,,,,,,,False,,,,True,True
