,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,157006,191190.0,203907.3,190389.9,204296.0,252069.0,,217740.6,217971.0,266000.5,182366.3,,279618.6,192562.0,190765.6,186114.0,105320.6,146234.0,238266.0,240642.5,240127.4,181783.6,199488.4,242923.0,184713.0,,214436.9,,118969.6,,179297.9,225634.1,173167.8,201127.0,217383.3,,34184.0,46901.3,33383.9,47290.0,95063.0,,60734.6,60965.0,108994.5,25360.3,,122612.6,35556.0,33759.6,29108.0,-51685.4,-10772.0,81260.0,83636.5,83121.4,24777.6,42482.4,85917.0,27707.0,,57430.9,,-38036.4,,22291.9,68628.1,16161.8,44121.0,60377.3,,False,True,False,False,,False,False,False,True,,False,False,True,True,False,True,False,False,False,True,False,False,True,,False,,False,,True,False,True,False,False,
Hawaii,2586,3681.0,3345.0,3721.9,3788.0,4666.0,,3425.0,3145.0,5764.3,4839.3,,5756.8,,4254.8,4034.0,8295.7,3772.5,3334.3,4198.0,4673.0,3395.7,4682.7,4808.0,3422.0,,3817.1,,2885.8,,2725.5,3598.4,4889.2,3748.0,3338.8,,1095.0,759.0,1135.9,1202.0,2080.0,,839.0,559.0,3178.3,2253.3,,3170.8,,1668.8,1448.0,5709.7,1186.5,748.3,1612.0,2087.0,809.7,2096.7,2222.0,836.0,,1231.1,,299.8,,139.5,1012.4,2303.2,1162.0,752.8,,True,False,False,False,,True,True,False,False,,False,,False,False,False,False,True,False,False,True,False,False,True,,False,,True,,True,True,False,False,True,
Idaho,13448,21108.0,24767.6,20912.4,19014.0,32587.0,,18166.7,9976.0,45130.3,24091.4,,16558.2,19380.0,11851.3,22017.0,13563.5,17567.0,15412.2,16880.5,21468.3,15878.1,21999.1,20896.0,19665.0,,14021.6,,13938.0,,17225.9,16484.9,25236.2,17586.0,22793.6,,7660.0,11319.6,7464.4,5566.0,19139.0,,4718.7,-3472.0,31682.3,10643.4,,3110.2,5932.0,-1596.7,8569.0,115.5,4119.0,1964.2,3432.5,8020.3,2430.1,8551.1,7448.0,6217.0,,573.6,,490.0,,3777.9,3036.9,11788.2,4138.0,9345.6,,False,True,True,False,,True,True,False,False,,True,True,True,False,True,True,True,True,False,True,False,True,True,,True,,True,,True,True,False,True,False,
Illinois,99834,146061.0,148329.9,143280.0,136202.0,229609.0,,128995.7,22149.0,144549.8,169305.4,,143981.8,133916.0,104839.9,136672.0,83173.6,113294.5,89101.0,141500.0,166529.3,79637.3,146532.9,139042.0,138592.0,,122729.4,,40282.6,,124703.4,101551.6,145259.3,135179.0,166032.9,,46227.0,48495.9,43446.0,36368.0,129775.0,,29161.7,-77685.0,44715.8,69471.4,,44147.8,34082.0,5005.9,36838.0,-16660.4,13460.5,-10733.0,41666.0,66695.3,-20196.7,46698.9,39208.0,38758.0,,22895.4,,-59551.4,,24869.4,1717.6,45425.3,35345.0,66198.9,,False,True,True,False,,True,False,True,False,,True,True,True,True,True,True,True,True,False,True,False,True,True,,True,,False,,True,True,True,True,False,
Indiana,66399,106410.0,115707.4,107688.0,106782.0,157040.0,,97237.1,46469.0,135156.2,122367.5,,115251.5,103946.0,87388.2,120132.0,57673.2,93599.0,82225.4,111138.5,132382.2,74701.4,106014.4,107829.0,92032.0,,115358.7,,38924.6,,116222.4,84982.1,115643.8,96501.0,133590.6,,40011.0,49308.4,41289.0,40383.0,90641.0,,30838.1,-19930.0,68757.2,55968.5,,48852.5,37547.0,20989.2,53733.0,-8725.8,27200.0,15826.4,44739.5,65983.2,8302.4,39615.4,41430.0,25633.0,,48959.7,,-27474.4,,49823.4,18583.1,49244.8,30102.0,67191.6,,False,False,False,False,,True,True,False,False,,False,True,True,False,True,True,True,False,False,True,True,False,True,,False,,True,,False,True,False,True,False,
Iowa,22939,36828.0,32498.8,35112.1,33747.0,53367.0,,31979.0,259352.0,31764.8,40351.9,,35537.1,33753.0,21464.7,44974.0,21021.7,20451.5,33103.2,32422.0,40894.0,25284.2,35446.8,34956.0,40537.0,,28683.9,,9928.6,,38739.6,20606.8,37744.8,27881.0,34046.9,,13889.0,9559.8,12173.1,10808.0,30428.0,,9040.0,236413.0,8825.8,17412.9,,12598.1,10814.0,-1474.3,22035.0,-1917.3,-2487.5,10164.2,9483.0,17955.0,2345.2,12507.8,12017.0,17598.0,,5744.9,,-13010.4,,15800.6,-2332.2,14805.8,4942.0,11107.9,,True,True,True,False,,True,False,True,False,,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,,True,,False,True,False,True,True,
Kansas,32373,40002.0,47801.0,36670.9,38700.0,33419.0,,39098.9,140074.0,11956.4,66313.1,,65792.9,46363.0,83921.5,42325.0,25923.1,28614.0,32015.4,788.0,37790.3,39416.7,40067.1,50755.0,32242.0,,36096.9,,13535.6,,36886.6,48820.5,58479.0,38256.0,45895.4,,7629.0,15428.0,4297.9,6327.0,1046.0,,6725.9,107701.0,-20416.6,33940.1,,33419.9,13990.0,51548.5,9952.0,-6449.9,-3759.0,-357.6,-31585.0,5417.3,7043.7,7694.1,18382.0,-131.0,,3723.9,,-18837.4,,4513.6,16447.5,26106.0,5883.0,13522.4,,False,True,True,True,,True,False,False,False,,False,False,False,False,True,True,True,False,True,True,False,False,True,,True,,False,,True,False,False,True,False,
Kentucky,60718,79281.0,75642.0,77222.9,77856.0,117679.0,,72094.1,33781.0,268035.0,94526.5,,102476.2,75464.0,109598.2,111900.0,41611.4,62157.5,52594.8,97233.5,83092.9,57754.9,76023.0,92104.0,70923.0,,83621.6,,31379.6,,65245.6,49104.5,84314.9,66337.0,92034.2,,18563.0,14924.0,16504.9,17138.0,56961.0,,11376.1,-26937.0,207317.0,33808.5,,41758.2,14746.0,48880.2,51182.0,-19106.6,1439.5,-8123.2,36515.5,22374.9,-2963.1,15305.0,31386.0,10205.0,,22903.6,,-29338.4,,4527.6,-11613.5,23596.9,5619.0,31316.2,,True,True,True,False,,True,False,False,False,,False,True,False,False,False,True,True,False,False,True,True,False,True,,False,,False,,True,True,False,True,False,
Louisiana,55845,78468.0,60894.2,77445.8,76376.0,120979.0,,76898.6,46579.0,364479.5,80531.1,,102686.7,78239.0,97448.3,90950.0,40582.3,62566.0,67071.1,64265.5,77722.9,65114.0,75633.8,78489.0,78865.0,,79513.7,,55131.3,,71176.6,61955.1,71889.5,65165.0,76714.8,,22623.0,5049.2,21600.8,20531.0,65134.0,,21053.6,-9266.0,308634.5,24686.1,,46841.7,22394.0,41603.3,35105.0,-15262.7,6721.0,11226.1,8420.5,21877.9,9269.0,19788.8,22644.0,23020.0,,23668.7,,-713.7,,15331.6,6110.1,16044.5,9320.0,20869.8,,True,True,True,False,,True,True,False,False,,False,True,False,False,True,True,True,True,True,True,True,False,False,,False,,True,,True,True,True,True,True,
Maine,10149,11322.0,10536.9,11461.8,12088.0,13453.0,,11424.4,9354.0,13422.1,16976.9,,13345.9,10674.0,13859.0,13440.0,14334.8,12435.5,19039.6,9977.5,11672.3,14763.4,14134.0,16792.0,9297.0,,11724.0,,15753.8,,10268.1,15191.9,13151.7,13525.0,13134.9,,1173.0,387.9,1312.8,1939.0,3304.0,,1275.4,-795.0,3273.1,6827.9,,3196.9,525.0,3710.0,3291.0,4185.8,2286.5,8890.6,-171.5,1523.3,4614.4,3985.0,6643.0,-852.0,,1575.0,,5604.8,,119.1,5042.9,3002.7,3376.0,2985.9,,True,False,False,False,,False,True,False,False,,False,True,False,False,False,False,False,True,False,False,False,False,True,,False,,False,,True,False,False,False,False,
