,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Maryland,49362,60579.0,58177.9,62101.5,63367.0,73537.0,,58745.5,189765.0,74815.9,74829.5,,89872.6,61006.0,63246.6,60452.0,49106.3,57613.0,57414.2,71004.5,83473.3,47111.5,67697.2,66739.0,60013.0,,66235.4,,73078.6,,66679.7,69482.1,78285.9,61241.0,73747.5,,11217.0,8815.9,12739.5,14005.0,24175.0,,9383.5,140403.0,25453.9,25467.5,,40510.6,11644.0,13884.6,11090.0,-255.7,8251.0,8052.2,21642.5,34111.3,-2250.5,18335.2,17377.0,10651.0,,16873.4,,23716.6,,17317.7,20120.1,28923.9,11879.0,24385.5,,True,False,False,False,,True,False,False,False,,False,False,False,True,True,True,True,False,False,True,False,False,True,,False,,False,,False,False,False,False,False,
Massachusetts,94225,128862.0,114383.3,127685.3,129726.0,203650.0,,117291.9,85811.0,132617.2,136810.2,,168916.3,120318.0,133040.3,135351.0,72168.4,113537.0,117349.4,136554.0,147213.0,82825.8,133983.8,104393.0,108841.0,,148880.8,,116465.4,,156790.0,143106.6,136890.9,129408.0,167791.1,,34637.0,20158.3,33460.3,35501.0,109425.0,,23066.9,-8414.0,38392.2,42585.2,,74691.3,26093.0,38815.3,41126.0,-22056.6,19312.0,23124.4,42329.0,52988.0,-11399.2,39758.8,10168.0,14616.0,,54655.8,,22240.4,,62565.0,48881.6,42665.9,35183.0,73566.1,,True,True,False,False,,True,True,False,False,,False,True,False,False,True,True,True,False,False,True,False,True,True,,False,,True,,False,False,False,False,False,
Michigan,47585,73296.0,86288.3,75763.4,72185.0,138171.0,,63621.7,18469.0,145240.6,79148.7,,73692.2,79920.0,76758.9,94000.0,91077.4,54561.0,42786.3,64614.5,68917.5,55791.8,67140.4,76972.0,62533.0,,58914.7,,21892.5,,96209.1,32102.2,68524.6,70975.0,81902.9,,25711.0,38703.3,28178.4,24600.0,90586.0,,16036.7,-29116.0,97655.6,31563.7,,26107.2,32335.0,29173.9,46415.0,43492.4,6976.0,-4798.7,17029.5,21332.5,8206.8,19555.4,29387.0,14948.0,,11329.7,,-25692.5,,48624.1,-15482.8,20939.6,23390.0,34317.9,,False,False,True,False,,True,False,False,False,,False,False,False,False,False,True,True,True,True,True,True,False,True,,True,,True,,False,True,True,True,False,
Minnesota,26406,49743.0,58150.4,53051.1,45951.0,97887.0,,41818.2,9285.0,48717.2,51065.3,,42369.5,47622.0,31190.0,59045.0,38745.0,33024.5,14199.3,43283.5,48431.3,31366.1,48256.1,41431.0,50719.0,,42965.1,,12208.7,,51501.6,3111.9,50958.3,38692.0,52044.0,,23337.0,31744.4,26645.1,19545.0,71481.0,,15412.2,-17121.0,22311.2,24659.3,,15963.5,21216.0,4784.0,32639.0,12339.0,6618.5,-12206.7,16877.5,22025.3,4960.1,21850.1,15025.0,24313.0,,16559.1,,-14197.3,,25095.6,-23294.1,24552.3,12286.0,25638.0,,False,False,True,False,,True,True,True,False,,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,False,True,False,True,False,
Mississippi,37322,49773.0,45402.7,49730.2,50271.0,59501.0,,45218.8,38465.0,70060.3,55033.0,,63030.8,51520.0,54917.0,45156.0,28659.1,48159.5,57938.9,59958.5,61293.2,44409.2,49916.1,55256.0,42044.0,,58613.6,,28339.6,,43246.6,58639.4,49903.6,41589.0,58291.0,,12451.0,8080.7,12408.2,12949.0,22179.0,,7896.8,1143.0,32738.3,17711.0,,25708.8,14198.0,17595.0,7834.0,-8662.9,10837.5,20616.9,22636.5,23971.2,7087.2,12594.1,17934.0,4722.0,,21291.6,,-8982.4,,5924.6,21317.4,12581.6,4267.0,20969.0,,True,True,False,False,,True,True,False,False,,False,False,False,True,True,True,False,False,False,True,False,False,True,,False,,True,,True,False,False,True,False,
Missouri,39777,64914.0,72381.0,63761.8,64540.0,87013.0,,59930.3,30702.0,85547.3,82340.2,,77300.2,72343.0,50868.1,64470.0,38074.7,55705.0,44616.4,58572.5,83657.1,65148.7,65600.0,66791.0,67733.0,,67008.3,,35951.0,,65619.8,53582.6,70867.8,58871.0,69043.1,,25137.0,32604.0,23984.8,24763.0,47236.0,,20153.3,-9075.0,45770.3,42563.2,,37523.2,32566.0,11091.1,24693.0,-1702.3,15928.0,4839.4,18795.5,43880.1,25371.7,25823.0,27014.0,27956.0,,27231.3,,-3826.0,,25842.8,13805.6,31090.8,19094.0,29266.1,,False,True,True,False,,True,True,False,False,,False,False,True,True,True,True,True,True,False,False,False,False,False,,False,,True,,False,True,False,True,False,
Montana,7660,12474.0,13458.1,11920.8,11008.0,16441.0,,9224.0,2675.0,13620.2,11899.2,,10856.0,11581.0,7906.5,14535.0,5289.9,8381.5,5669.7,6551.0,12292.5,8871.1,11904.7,11930.0,14217.0,,10770.1,,5878.8,,9243.9,1707.3,13083.8,8831.0,10651.6,,4814.0,5798.1,4260.8,3348.0,8781.0,,1564.0,-4985.0,5960.2,4239.2,,3196.0,3921.0,246.5,6875.0,-2370.1,721.5,-1990.3,-1109.0,4632.5,1211.1,4244.7,4270.0,6557.0,,3110.1,,-1781.2,,1583.9,-5952.7,5423.8,1171.0,2991.6,,False,True,True,False,,True,False,False,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,True,False,False,True,True,
Nebraska,14950,22074.0,25530.2,21705.2,20340.0,20177.0,,20132.5,3187.0,18893.5,28187.7,,20331.9,22585.0,17321.7,23810.0,16539.0,17707.0,11554.0,16323.0,22532.7,15382.7,23042.3,20655.0,21509.0,,19848.8,,15049.9,,26933.8,11945.5,21708.8,19097.0,22177.7,,7124.0,10580.2,6755.2,5390.0,5227.0,,5182.5,-11763.0,3943.5,13237.7,,5381.9,7635.0,2371.7,8860.0,1589.0,2757.0,-3396.0,1373.0,7582.7,432.7,8092.3,5705.0,6559.0,,4898.8,,99.9,,11983.8,-3004.5,6758.8,4147.0,7227.7,,False,True,True,True,,True,False,True,False,,True,False,True,False,True,True,True,True,False,True,False,True,True,,True,,True,,False,True,True,True,False,
Nevada,31040,52314.0,46498.4,52065.9,47812.0,105860.0,,44951.2,23141.0,71445.1,52523.3,,57047.4,47839.0,35765.0,52745.0,23275.2,46053.5,39538.4,51627.5,54495.0,43839.6,46521.4,47113.0,46810.0,,45869.8,,29178.8,,54646.3,39429.1,54391.8,44984.0,51158.5,,21274.0,15458.4,21025.9,16772.0,74820.0,,13911.2,-7899.0,40405.1,21483.3,,26007.4,16799.0,4725.0,21705.0,-7764.8,15013.5,8498.4,20587.5,23455.0,12799.6,15481.4,16073.0,15770.0,,14829.8,,-1861.2,,23606.3,8389.1,23351.8,13944.0,20118.5,,True,True,True,False,,True,True,False,False,,False,True,True,False,True,True,True,True,False,True,True,True,True,,True,,True,,False,True,False,True,True,
New Hampshire,14491,16995.0,17075.3,17347.9,16898.0,30929.0,,15699.1,8690.0,20390.2,17313.3,,16921.4,16891.0,29020.6,17708.0,13758.4,17161.0,14491.1,13675.5,14337.3,20649.1,17234.6,17978.0,13129.0,,16876.3,,28375.3,,13344.0,22234.8,15647.9,17509.0,20678.9,,2504.0,2584.3,2856.9,2407.0,16438.0,,1208.1,-5801.0,5899.2,2822.3,,2430.4,2400.0,14529.6,3217.0,-732.6,2670.0,0.1,-815.5,-153.7,6158.1,2743.6,3487.0,-1362.0,,2385.3,,13884.3,,-1147.0,7743.8,1156.9,3018.0,6187.9,,False,False,True,False,,True,False,False,False,,True,True,False,False,True,False,True,True,True,False,False,False,True,,True,,False,,True,False,True,False,False,
New Jersey,113293,114144.0,104483.3,114585.2,113704.0,193742.0,,122699.2,58124.0,140011.3,140122.2,,440315.2,103893.0,113762.9,118564.0,94191.9,109920.5,97466.9,121037.5,135565.6,111969.2,119361.3,100762.0,91531.0,,109241.5,,62662.3,,97089.1,121705.5,127483.7,112954.0,123304.8,,851.0,-8809.7,1292.2,411.0,80449.0,,9406.2,-55169.0,26718.3,26829.2,,327022.2,-9400.0,469.9,5271.0,-19101.1,-3372.5,-15826.1,7744.5,22272.6,-1323.8,6068.3,-12531.0,-21762.0,,-4051.5,,-50630.7,,-16203.9,8412.5,14190.7,-339.0,10011.8,,False,False,True,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,True,False,
New Mexico,18585,28725.0,29058.2,27586.7,26830.0,38338.0,,25477.2,6009.0,30939.5,32580.7,,29627.3,27510.0,25991.5,27592.0,14365.1,26595.0,17947.4,30757.5,34245.8,16368.8,27021.7,27212.0,23143.0,,26435.3,,14577.2,,25447.2,16567.2,31442.0,25160.0,30820.2,,10140.0,10473.2,9001.7,8245.0,19753.0,,6892.2,-12576.0,12354.5,13995.7,,11042.3,8925.0,7406.5,9007.0,-4219.9,8010.0,-637.6,12172.5,15660.8,-2216.2,8436.7,8627.0,4558.0,,7850.3,,-4007.8,,6862.2,-2017.8,12857.0,6575.0,12235.2,,False,True,True,False,,True,False,False,False,,False,True,True,True,True,True,True,False,False,True,True,True,True,,True,,True,,True,True,False,True,False,
New York,289414,322857.0,249069.2,323750.6,357198.0,448121.0,,341024.3,252176.0,418727.7,379929.8,,470258.8,301563.0,460539.1,,295238.1,302941.5,378408.7,411428.0,411983.5,285645.9,351393.0,376062.0,295805.0,,327081.2,,302659.7,,450704.5,350773.4,459726.2,324406.0,414232.3,,33443.0,-40344.8,34336.6,67784.0,158707.0,,51610.3,-37238.0,129313.7,90515.8,,180844.8,12149.0,171125.1,,5824.1,13527.5,88994.7,122014.0,122569.5,-3768.1,61979.0,86648.0,6391.0,,37667.2,,13245.7,,161290.5,61359.4,170312.2,34992.0,124818.3,,False,False,False,False,,False,False,False,False,,False,True,False,,True,True,False,False,False,True,False,False,True,,False,,True,,False,False,False,False,False,
North Carolina,138272,167754.0,174815.3,171559.1,181453.0,229322.0,,166809.7,122592.0,251888.0,198006.9,,256341.8,188015.0,202739.8,185336.0,107241.8,157230.5,198195.2,219199.5,194212.1,132608.6,176763.5,203811.0,151848.0,,197889.0,,90245.9,,160163.5,180011.0,175660.1,189213.0,243024.1,,29482.0,36543.3,33287.1,43181.0,91050.0,,28537.7,-15680.0,113616.0,59734.9,,118069.8,49743.0,64467.8,47064.0,-31030.2,18958.5,59923.2,80927.5,55940.1,-5663.4,38491.5,65539.0,13576.0,,59617.0,,-48026.1,,21891.5,41739.0,37388.1,50941.0,104752.1,,False,False,False,False,,True,True,False,False,,False,False,False,False,False,True,False,False,False,True,False,False,True,,False,,False,,True,False,False,False,False,
North Dakota,3003,5001.0,6985.0,5449.5,4509.0,4122.0,,4644.6,803.0,4624.9,5266.3,,4034.9,6890.0,2646.7,5717.0,4423.8,3908.5,2145.7,3657.5,5608.4,1835.3,5722.3,3985.0,7862.0,,3296.8,,1831.1,,6204.6,0.0,4225.5,3657.0,5419.5,,1998.0,3982.0,2446.5,1506.0,1119.0,,1641.6,-2200.0,1621.9,2263.3,,1031.9,3887.0,-356.3,2714.0,1420.8,905.5,-857.3,654.5,2605.4,-1167.7,2719.3,982.0,4859.0,,293.8,,-1171.9,,3201.6,-3003.0,1222.5,654.0,2416.5,,False,False,True,True,,True,False,True,False,,True,False,True,False,True,True,True,True,False,True,False,True,False,,True,,True,,False,False,True,True,False,
Ohio,121804,168912.0,189730.9,176758.3,165950.0,220231.0,,152668.5,60761.0,240639.8,193864.2,,173026.7,178990.0,141057.2,187014.0,92104.4,139933.0,132009.4,154819.5,172221.6,135301.3,161627.8,175345.0,140376.0,,153616.9,,79565.5,,161540.9,123057.2,203859.3,169043.0,183703.7,,47108.0,67926.9,54954.3,44146.0,98427.0,,30864.5,-61043.0,118835.8,72060.2,,51222.7,57186.0,19253.2,65210.0,-29699.6,18129.0,10205.4,33015.5,50417.6,13497.3,39823.8,53541.0,18572.0,,31812.9,,-42238.5,,39736.9,1253.2,82055.3,47239.0,61899.7,,False,False,True,False,,True,False,False,False,,False,False,True,False,True,True,True,True,False,True,True,False,True,,True,,True,,True,True,False,False,False,
Oklahoma,61715,86460.0,81656.8,86292.3,82925.0,136444.0,,78969.1,44520.0,119976.2,89129.8,,117825.4,80573.0,81318.3,89553.0,38053.1,75564.5,58311.5,80290.5,98370.0,75366.4,85175.9,83074.0,78658.0,,92969.8,,35247.4,,78141.1,80325.6,77666.6,69013.0,91558.0,,24745.0,19941.8,24577.3,21210.0,74729.0,,17254.1,-17195.0,58261.2,27414.8,,56110.4,18858.0,19603.3,27838.0,-23661.9,13849.5,-3403.5,18575.5,36655.0,13651.4,23460.9,21359.0,16943.0,,31254.8,,-26467.6,,16426.1,18610.6,15951.6,7298.0,29843.0,,True,True,True,False,,True,True,False,False,,False,True,True,False,True,True,True,True,False,True,True,True,True,,False,,False,,True,True,True,True,False,
Oregon,17940,24384.0,26893.6,22565.9,24009.0,34699.0,,22761.7,12331.0,35962.7,28053.2,,27667.6,24691.0,27584.8,25911.0,22350.0,23243.5,20020.0,18948.5,26381.3,19812.2,27416.8,29105.0,18799.0,,25701.4,,29348.8,,21220.5,25649.0,21835.6,23397.0,23347.6,,6444.0,8953.6,4625.9,6069.0,16759.0,,4821.7,-5609.0,18022.7,10113.2,,9727.6,6751.0,9644.8,7971.0,4410.0,5303.5,2080.0,1008.5,8441.3,1872.2,9476.8,11165.0,859.0,,7761.4,,11408.8,,3280.5,7709.0,3895.6,5457.0,5407.6,,False,True,True,False,,True,True,False,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,,False,,False,,True,False,True,True,True,
Pennsylvania,125198,170091.0,164278.3,171972.4,166494.0,241472.0,,149046.1,79762.0,253333.4,186392.6,,162333.6,165155.0,127179.0,199136.0,119711.5,156305.0,131624.8,172338.0,194265.5,128236.5,158360.9,172628.0,130307.0,,163190.7,,207852.8,,177971.6,180185.1,234955.9,165817.0,203429.0,,44893.0,39080.3,46774.4,41296.0,116274.0,,23848.1,-45436.0,128135.4,61194.6,,37135.6,39957.0,1981.0,73938.0,-5486.5,31107.0,6426.8,47140.0,69067.5,3038.5,33162.9,47430.0,5109.0,,37992.7,,82654.8,,52773.6,54987.1,109757.9,40619.0,78231.0,,True,False,True,False,,True,False,False,False,,True,True,True,False,True,True,True,False,False,True,True,False,True,,True,,False,,False,False,False,True,False,
Rhode Island,16824,28995.0,21388.2,26617.5,21579.0,39762.0,,23854.9,7466.0,72151.7,36499.2,,29530.5,22470.0,20121.1,36877.0,12153.4,18614.0,18018.8,22287.0,22974.2,22359.8,25566.1,15943.0,25194.0,,20935.2,,13289.6,,20736.8,16311.0,26947.1,11818.0,14436.3,,12171.0,4564.2,9793.5,4755.0,22938.0,,7030.9,-9358.0,55327.7,19675.2,,12706.5,5646.0,3297.1,20053.0,-4670.6,1790.0,1194.8,5463.0,6150.2,5535.8,8742.1,-881.0,8370.0,,4111.2,,-3534.4,,3912.8,-513.0,10123.1,-5006.0,-2387.7,,True,True,True,False,,True,True,False,False,,False,True,True,False,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,
South Carolina,89701,112098.0,89014.1,112842.2,109679.0,195349.0,,99764.7,156943.0,150537.0,80295.3,,139571.4,87388.0,113083.8,120851.0,45404.2,99914.5,140464.1,111974.5,101707.5,81783.9,102342.8,120691.0,105641.0,,108027.4,,96565.3,,104910.1,94785.2,117735.4,102616.0,125759.1,,22397.0,-686.9,23141.2,19978.0,105648.0,,10063.7,67242.0,60836.0,-9405.7,,49870.4,-2313.0,23382.8,31150.0,-44296.8,10213.5,50763.1,22273.5,12006.5,-7917.1,12641.8,30990.0,15940.0,,18326.4,,6864.3,,15209.1,5084.2,28034.4,12915.0,36058.1,,True,False,True,False,,True,False,False,True,,False,True,False,False,False,True,False,True,True,True,True,False,True,,True,,True,,True,True,False,True,False,
South Dakota,5169,9216.0,9998.9,9731.7,8369.0,8188.0,,8003.3,5271.0,10500.9,10238.9,,7254.2,8900.0,4176.0,10919.0,5233.2,7689.5,4714.1,6670.0,8552.0,3091.3,9667.8,7743.0,10528.0,,6086.3,,4986.7,,9326.4,2271.6,8952.8,6909.0,9230.2,,4047.0,4829.9,4562.7,3200.0,3019.0,,2834.3,102.0,5331.9,5069.9,,2085.2,3731.0,-993.0,5750.0,64.2,2520.5,-454.9,1501.0,3383.0,-2077.7,4498.8,2574.0,5359.0,,917.3,,-182.3,,4157.4,-2897.4,3783.8,1740.0,4061.2,,False,False,True,True,,True,True,False,False,,True,True,True,False,True,True,True,True,True,True,False,True,False,,True,,True,,False,True,True,True,False,
Tennessee,78292,126954.0,154482.0,126119.8,128853.0,165309.0,,132798.0,109622.0,195714.2,132529.5,,126386.6,162233.0,83001.1,145263.0,76418.8,131307.0,149415.0,102523.0,128919.5,119937.7,126136.6,135157.0,107604.0,,119988.6,,123623.3,,109408.2,185215.8,129784.1,111438.0,157969.7,,48662.0,76190.0,47827.8,50561.0,87017.0,,54506.0,31330.0,117422.2,54237.5,,48094.6,83941.0,4709.1,66971.0,-1873.2,53015.0,71123.0,24231.0,50627.5,41645.7,47844.6,56865.0,29312.0,,41696.6,,45331.3,,31116.2,106923.8,51492.1,33146.0,79677.7,,False,True,False,False,,False,True,False,False,,True,False,True,False,True,False,False,True,False,True,True,False,True,,True,,True,,True,False,False,True,False,
Texas,411351,452202.0,409648.7,466964.3,450619.0,772106.0,,440009.5,304755.0,586182.2,298484.6,,561769.0,437606.0,567553.5,695591.0,306689.2,347614.5,409890.2,396439.5,454617.3,393892.6,510293.4,489769.0,428564.0,,463586.5,,310056.1,,381913.2,465774.7,488947.0,407724.0,497415.7,,40851.0,-1702.3,55613.3,39268.0,360755.0,,28658.5,-106596.0,174831.2,-112866.4,,150418.0,26255.0,156202.5,284240.0,-104661.8,-63736.5,-1460.8,-14911.5,43266.3,-17458.4,98942.4,78418.0,17213.0,,52235.5,,-101294.9,,-29437.8,54423.7,77596.0,-3627.0,86064.7,,True,False,True,False,,True,False,False,False,,False,True,False,False,False,False,True,True,False,True,False,False,True,,False,,False,,True,False,False,True,False,
Utah,41707,66207.0,67012.4,67430.3,62598.0,45406.0,,62891.3,58172.0,79053.3,76651.7,,82861.5,65426.0,48776.3,66037.0,24432.2,56591.0,42775.7,65480.5,69311.7,63867.1,62515.5,89364.0,57076.0,,75653.5,,26237.7,,53241.4,52074.6,62671.9,58523.0,49378.2,,24500.0,25305.4,25723.3,20891.0,3699.0,,21184.3,16465.0,37346.3,34944.7,,41154.5,23719.0,7069.3,24330.0,-17274.8,14884.0,1068.7,23773.5,27604.7,22160.1,20808.5,47657.0,15369.0,,33946.5,,-15469.3,,11534.4,10367.6,20964.9,16816.0,7671.2,,False,False,True,True,,True,True,False,False,,False,True,True,True,True,True,True,True,False,True,True,False,True,,False,,True,,True,True,True,True,True,
Vermont,3041,3303.0,2208.3,3243.2,3543.0,6662.0,,2872.7,1912.0,4018.2,4096.5,,5771.5,3796.0,6131.9,4098.0,3590.4,2954.0,5431.4,5875.5,4031.7,4158.2,4339.6,4756.0,3045.0,,3711.0,,1565.3,,3530.3,2698.1,2824.5,3851.0,3033.2,,262.0,-832.7,202.2,502.0,3621.0,,-168.3,-1129.0,977.2,1055.5,,2730.5,755.0,3090.9,1057.0,549.4,-87.0,2390.4,2834.5,990.7,1117.2,1298.6,1715.0,4.0,,670.0,,-1475.7,,489.3,-342.9,-216.5,810.0,-7.8,,False,True,False,False,,True,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,True,,False,,False,,False,False,True,False,True,
Virginia,108506,104880.0,104179.4,104467.0,109351.0,139444.0,,102654.0,70148.0,127690.0,130947.8,,143167.3,101297.0,122840.0,107789.0,88695.7,102669.5,119547.5,108502.0,120300.0,99630.5,112761.2,127122.0,95196.0,,114796.3,,57624.6,,77174.8,119876.6,117623.7,83884.0,115853.5,,-3626.0,-4326.6,-4039.0,845.0,30938.0,,-5852.0,-38358.0,19184.0,22441.8,,34661.3,-7209.0,14334.0,-717.0,-19810.3,-5836.5,11041.5,-4.0,11794.0,-8875.5,4255.2,18616.0,-13310.0,,6290.3,,-50881.4,,-31331.2,11370.6,9117.7,-24622.0,7347.5,,False,False,True,False,,False,False,False,False,,False,False,False,True,False,False,False,True,False,False,False,False,False,,False,,False,,False,False,False,False,False,
Washington,40002,74529.0,66623.1,70016.9,57199.0,64624.0,,76929.7,32759.0,53250.2,73630.6,,67064.8,52112.0,130927.2,67058.0,33884.1,43440.0,59852.6,47461.5,50488.1,76963.4,54487.6,61301.0,66250.0,,62623.2,,66707.7,,69716.2,24421.2,49769.5,47928.0,53668.5,,34527.0,26621.1,30014.9,17197.0,24622.0,,36927.7,-7243.0,13248.2,33628.6,,27062.8,12110.0,90925.2,27056.0,-6117.9,3438.0,19850.6,7459.5,10486.1,36961.4,14485.6,21299.0,26248.0,,22621.2,,26705.7,,29714.2,-15580.8,9767.5,7926.0,13666.5,,True,True,True,True,,False,True,True,True,,True,True,False,True,True,True,True,True,True,False,True,True,True,,True,,True,,True,True,True,True,True,
West Virginia,20562,31353.0,30895.3,31579.4,31809.0,39609.0,,30490.4,22272.0,43538.9,45700.4,,39843.7,31967.0,37764.7,35690.0,19302.5,33483.5,30127.6,29003.0,32805.3,30953.3,32485.0,37824.0,26108.0,,31160.6,,19692.9,,30644.3,37590.5,34680.8,31134.0,37570.0,,10791.0,10333.3,11017.4,11247.0,19047.0,,9928.4,1710.0,22976.9,25138.4,,19281.7,11405.0,17202.7,15128.0,-1259.5,12921.5,9565.6,8441.0,12243.3,10391.3,11923.0,17262.0,5546.0,,10598.6,,-869.1,,10082.3,17028.5,14118.8,10572.0,17008.0,,True,False,False,False,,True,True,False,False,,False,False,False,False,True,False,True,True,False,True,False,False,True,,True,,True,,True,False,False,True,False,
Wisconsin,42863,73446.0,75192.9,76017.6,69539.0,139385.0,,60803.6,12582.0,68733.4,69469.9,,71786.7,66226.0,33758.7,82610.0,33526.3,52015.0,35790.7,66347.5,84342.3,48556.3,69715.2,67409.0,81550.0,,69585.6,,18117.7,,72485.4,30990.6,80526.1,53988.0,77415.6,,30583.0,32329.9,33154.6,26676.0,96522.0,,17940.6,-30281.0,25870.4,26606.9,,28923.7,23363.0,-9104.3,39747.0,-9336.7,9152.0,-7072.3,23484.5,41479.3,5693.3,26852.2,24546.0,38687.0,,26722.6,,-24745.3,,29622.4,-11872.4,37663.1,11125.0,34552.6,,False,False,True,False,,True,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,,True,,True,True,False,True,False,
Wyoming,4985,6438.0,7265.3,6151.5,5560.0,6810.0,,5106.5,981.0,5531.9,7811.4,,3870.4,5750.0,6340.9,8279.0,2895.6,4643.5,2427.1,4910.5,5834.0,5522.0,5703.4,5878.0,6640.0,,5216.6,,3868.1,,7813.1,904.9,8165.9,4607.0,6111.5,,1453.0,2280.3,1166.5,575.0,1825.0,,121.5,-4004.0,546.9,2826.4,,-1114.6,765.0,1355.9,3294.0,-2089.4,-341.5,-2557.9,-74.5,849.0,537.0,718.4,893.0,1655.0,,231.6,,-1116.9,,2828.1,-4080.1,3180.9,-378.0,1126.5,,False,True,True,False,,True,False,True,False,,True,True,True,False,False,True,False,True,True,True,True,True,False,,True,,True,,False,False,False,True,True,
US,3850665,5118300.0,4856767.0,5066868.2,5190093.0,7817257.0,4932702.0,5176581.3,5218443.0,8108577.9,,5537812.0,6107158.5,4659911.0,5248675.6,,3322448.9,,4806242.2,5137333.5,5520870.5,4075611.1,5055121.1,5446490.0,5096177.0,4875673.0,4781397.8,5467558.0,3773738.6,5529224.0,5507561.2,,6117543.8,4821207.0,6032807.8,2580317.5,1267635.0,1006102.0,1216203.2,1339428.0,3966592.0,1082037.0,1325916.3,1367778.0,4257912.9,,1687147.0,2256493.5,809246.0,1398010.6,,-528216.1,,955577.2,1286668.5,1670205.5,224946.1,1204456.1,1595825.0,1245512.0,1025008.0,930732.8,1616893.0,-76926.4,1678559.0,1656896.2,,2266878.8,970542.0,2182142.8,-1270347.5,True,True,False,False,True,False,False,False,,False,False,True,False,,True,,True,False,False,True,True,False,True,True,True,False,True,False,False,,False,True,False,False
