,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,187993,180768.0,,158844.2,,184901.0,257650.0,178718.6,,113142.9,115592.0,-7225.0,,-29148.8,,-3092.0,69657.0,-9274.4,,-74850.1,-72401.0,,False,,True,False,False,,False,False
Alaska,17945,38616.0,,43720.5,,,67459.5,64920.3,,35107.1,22335.0,20671.0,,25775.5,,,49514.5,46975.3,,17162.1,4390.0,,False,,,False,False,,True,True
Arizona,394479,289008.0,,307441.6,,286478.0,525527.6,534342.6,,295254.2,151669.0,-105471.0,,-87037.4,,-108001.0,131048.6,139863.6,,-99224.8,-242810.0,,True,,False,False,False,,True,False
Arkansas,125005,114848.0,,101455.2,,132206.0,193424.5,85325.2,,137339.6,58654.0,-10157.0,,-23549.8,,7201.0,68419.5,-39679.8,,12334.6,-66351.0,,False,,True,False,False,,False,False
California,1954686,1098536.0,,1577959.1,,970672.0,1881379.6,2086058.4,,1280020.2,849018.0,-856150.0,,-376726.9,,-984014.0,-73306.4,131372.4,,-674665.8,-1105668.0,,True,,False,True,True,,True,False
Colorado,137672,256512.0,,278539.2,,228845.0,418776.8,143663.0,,265517.9,113208.0,118840.0,,140867.2,,91173.0,281104.8,5991.0,,127845.9,-24464.0,,False,,True,False,True,,False,True
Connecticut,122308,121072.0,,104699.7,,103881.0,207462.3,105393.2,,116821.3,55495.0,-1236.0,,-17608.3,,-18427.0,85154.3,-16914.8,,-5486.7,-66813.0,,False,,False,False,False,,False,False
Delaware,38455,35408.0,,40268.2,,33566.0,68611.6,59682.0,,40651.7,24588.0,-3047.0,,1813.2,,-4889.0,30156.6,21227.0,,2196.7,-13867.0,,True,,False,False,False,,True,False
District of Columbia,13790,12512.0,,12620.8,,15145.0,28615.5,12525.4,,11410.1,8055.0,-1278.0,,-1169.2,,1355.0,14825.5,-1264.6,,-2379.9,-5735.0,,True,,False,False,True,,False,False
Florida,663951,514728.0,,482411.4,,403597.0,1000459.5,459238.2,,624126.2,308154.0,-149223.0,,-181539.6,,-260354.0,336508.5,-204712.8,,-39824.8,-355797.0,,False,,False,False,False,,True,False
Georgia,406487,254456.0,,226646.4,,209648.0,353288.0,214860.9,,245529.5,141610.0,-152031.0,,-179840.6,,-196839.0,-53199.0,-191626.1,,-160957.5,-264877.0,,False,,False,True,False,,False,False
Hawaii,7256,5248.0,,5386.4,,,5893.1,4476.0,,2986.3,2547.0,-2008.0,,-1869.6,,,-1362.9,-2780.0,,-4269.7,-4709.0,,True,,,True,False,,False,False
Idaho,52978,80360.0,,78488.7,,77002.0,124487.3,46578.7,,66114.1,38441.0,27382.0,,25510.7,,24024.0,71509.3,-6399.3,,13136.1,-14537.0,,True,,True,False,True,,True,True
Illinois,343898,536312.0,,424840.5,,455388.0,604042.1,213099.1,,791345.0,213153.0,192414.0,,80942.5,,111490.0,260144.1,-130798.9,,447447.0,-130745.0,,True,,True,False,True,,False,True
Indiana,249940,368088.0,,349976.3,,344587.0,690812.1,200555.9,,543586.5,209694.0,118148.0,,100036.3,,94647.0,440872.1,-49384.1,,293646.5,-40246.0,,True,,True,False,True,,False,True
Iowa,75725,129648.0,,109394.9,,131164.0,146355.9,33353.7,,120992.2,37080.0,53923.0,,33669.9,,55439.0,70630.9,-42371.3,,45267.2,-38645.0,,True,,False,False,True,,True,True
Kansas,106011,126904.0,,139663.7,,109106.0,236896.2,69490.9,,129498.6,32489.0,20893.0,,33652.7,,3095.0,130885.2,-36520.1,,23487.6,-73522.0,,False,,True,False,False,,False,False
Kentucky,163051,191056.0,,199673.0,,159643.0,386531.7,189370.0,,222143.1,112794.0,28005.0,,36622.0,,-3408.0,223480.7,26319.0,,59092.1,-50257.0,,False,,True,False,True,,False,False
Louisiana,150099,132600.0,,140686.4,,151843.0,274569.9,358084.2,,104516.3,68628.0,-17499.0,,-9412.6,,1744.0,124470.9,207985.2,,-45582.7,-81471.0,,True,,True,False,False,,False,False
Maine,26041,14712.0,,11852.2,,17959.0,18472.0,15051.3,,25167.4,8147.0,-11329.0,,-14188.8,,-8082.0,-7569.0,-10989.7,,-873.6,-17894.0,,False,,True,True,True,,True,False
Maryland,140342,143488.0,,142393.8,,119995.0,247687.8,120446.4,,221262.2,75462.0,3146.0,,2051.8,,-20347.0,107345.8,-19895.6,,80920.2,-64880.0,,True,,False,False,False,,False,False
Massachusetts,269343,236384.0,,236565.9,,235866.0,330318.7,254349.5,,269466.0,181993.0,-32959.0,,-32777.1,,-33477.0,60975.7,-14993.5,,123.0,-87350.0,,True,,False,False,True,,True,False
Michigan,183562,387392.0,,411510.7,,413095.0,660405.3,265127.9,,438221.9,136370.0,203830.0,,227948.7,,229533.0,476843.3,81565.9,,254659.9,-47192.0,,False,,False,False,True,,False,True
Minnesota,115538,330064.0,,311221.3,,362272.0,540017.6,147472.8,,364796.2,150087.0,214526.0,,195683.3,,246734.0,424479.6,31934.8,,249258.2,34549.0,,True,,False,False,True,,False,True
Mississippi,110732,108144.0,,90502.6,,106569.0,176250.2,146001.5,,71178.0,76762.0,-2588.0,,-20229.4,,-4163.0,65518.2,35269.5,,-39554.0,-33970.0,,False,,False,False,False,,False,False
Missouri,146745,211944.0,,213255.0,,199944.0,348829.9,70090.8,,226142.1,97224.0,65199.0,,66510.0,,53199.0,202084.9,-76654.2,,79397.1,-49521.0,,False,,True,False,False,,False,True
Montana,26693,49792.0,,42999.7,,54418.0,94229.2,23927.0,,25696.5,18674.0,23099.0,,16306.7,,27725.0,67536.2,-2766.0,,-996.5,-8019.0,,True,,False,False,True,,True,True
Nebraska,52002,105960.0,,100832.5,,107509.0,106203.6,44987.5,,80435.2,51658.0,53958.0,,48830.5,,55507.0,54201.6,-7014.5,,28433.2,-344.0,,True,,False,False,True,,True,True
Nevada,111721,131192.0,,144541.3,,118940.0,270825.6,158431.0,,128184.3,61661.0,19471.0,,32820.3,,7219.0,159104.6,46710.0,,16463.3,-50060.0,,False,,True,False,False,,True,False
New Hampshire,41224,33656.0,,36559.6,,41665.0,66349.5,59724.3,,43924.6,20592.0,-7568.0,,-4664.4,,441.0,25125.5,18500.3,,2700.6,-20632.0,,True,,True,False,False,,True,False
New Jersey,296024,259464.0,,256028.9,,223537.0,454147.8,233416.7,,682634.3,138441.0,-36560.0,,-39995.1,,-72487.0,158123.8,-62607.3,,386610.3,-157583.0,,False,,False,False,False,,False,False
New Mexico,66683,102992.0,,95335.0,,93730.0,237936.3,76553.8,,100006.3,37662.0,36309.0,,28652.0,,27047.0,171253.3,9870.8,,33323.3,-29021.0,,True,,True,False,True,,True,True
New York,704015,493496.0,,1160254.1,,411299.0,810268.8,1834611.3,,589082.7,334969.0,-210519.0,,456239.1,,-292716.0,106253.8,1130596.3,,-114932.3,-369046.0,,False,,False,True,False,,True,False
North Carolina,364075,244752.0,,254555.0,,285766.0,477983.8,246386.7,,176564.3,182670.0,-119323.0,,-109520.0,,-78309.0,113908.8,-117688.3,,-187510.7,-181405.0,,True,,True,True,True,,False,False
North Dakota,15057,36552.0,,36555.1,,39928.0,51073.3,8287.4,,9775.5,10977.0,21495.0,,21498.1,,24871.0,36016.3,-6769.6,,-5281.5,-4080.0,,False,,False,False,True,,True,True
Ohio,425349,485832.0,,552357.7,,515252.0,947372.5,439348.4,,542626.3,225250.0,60483.0,,127008.7,,89903.0,522023.5,13999.4,,117277.3,-200099.0,,False,,False,False,True,,False,False
Oklahoma,173345,155368.0,,177702.4,,195048.0,247738.8,105405.3,,170843.3,85201.0,-17977.0,,4357.4,,21703.0,74393.8,-67939.7,,-2501.7,-88144.0,,True,,False,False,False,,True,False
Oregon,59173,85896.0,,91215.3,,79233.0,172052.5,143895.6,,131373.7,50463.0,26723.0,,32042.3,,20060.0,112879.5,84722.6,,72200.7,-8710.0,,False,,True,False,False,,False,True
Pennsylvania,426840,477520.0,,503140.9,,458334.0,872386.0,621751.7,,463420.4,318296.0,50680.0,,76300.9,,31494.0,445546.0,194911.7,,36580.4,-108544.0,,False,,True,False,False,,True,False
Rhode Island,52301,65464.0,,59070.2,,58406.0,110906.3,57900.7,,36685.2,28162.0,13163.0,,6769.2,,6105.0,58605.3,5599.7,,-15615.8,-24139.0,,True,,True,False,True,,False,False
South Carolina,210550,114592.0,,103181.9,,120628.0,177494.4,78251.9,,134893.7,88634.0,-95958.0,,-107368.1,,-89922.0,-33055.6,-132298.1,,-75656.3,-121916.0,,False,,True,True,False,,True,False
South Dakota,22766,49640.0,,43012.2,,47963.0,60224.5,18323.0,,57391.6,18088.0,26874.0,,20246.2,,25197.0,37458.5,-4443.0,,34625.6,-4678.0,,True,,True,False,True,,False,True
Tennessee,327220,272448.0,,261676.6,,306748.0,393969.0,204731.1,,258499.6,142604.0,-54772.0,,-65543.4,,-20472.0,66749.0,-122488.9,,-68720.4,-184616.0,,False,,True,False,False,,False,False
Texas,988377,784528.0,,675158.4,,667785.0,1332001.4,1311743.6,,791378.4,462348.0,-203849.0,,-313218.6,,-320592.0,343624.4,323366.6,,-196998.6,-526029.0,,False,,False,False,False,,True,False
Utah,132586,166056.0,,167306.1,,164372.0,347229.9,68130.6,,122337.8,79713.0,33470.0,,34720.1,,31786.0,214643.9,-64455.4,,-10248.2,-52873.0,,False,,True,False,False,,True,False
