,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1597,1505.0,1034.0,,,,,1482.0,,2229.8,1018.5,,2403.5,,,,1438.6,,,-92.0,-563.0,,,,,-115.0,,632.8,-578.5,,806.5,,,,-158.4,,,False,,,,,False,,False,False,,False,,,,False,,
01003,5214,4930.0,3833.0,,,,,4191.0,,3890.9,3638.7,,6110.5,,,,2611.3,2757.0,,-284.0,-1381.0,,,,,-1023.0,,-1323.1,-1575.3,,896.5,,,,-2602.7,-2457.0,,False,,,,,False,,False,False,,False,,,,False,False,
01005,533,340.0,359.0,,,,,527.0,,434.6,215.4,,673.0,,,,,,,-193.0,-174.0,,,,,-6.0,,-98.4,-317.6,,140.0,,,,,,,True,,,,,True,,True,False,,True,,,,,,
01007,545,690.0,433.0,,,,,573.0,,871.9,413.8,,1202.0,,,,,,,145.0,-112.0,,,,,28.0,,326.9,-131.2,,657.0,,,,,,,True,,,,,True,,False,True,,False,,,,,,
01009,1209,1275.0,768.0,,,,,1766.0,,1393.5,939.3,,1997.5,,,,1322.7,,,66.0,-441.0,,,,,557.0,,184.5,-269.7,,788.5,,,,113.7,,,False,,,,,False,,False,False,,False,,,,False,,
01011,255,365.0,3.0,,,,,190.0,,145.8,166.1,,123.0,,,,,,,110.0,-252.0,,,,,-65.0,,-109.2,-88.9,,-132.0,,,,,,,False,,,,,True,,True,True,,False,,,,,,
01013,354,265.0,15.0,,,,,375.0,,241.9,264.5,,390.0,,,,,,,-89.0,-339.0,,,,,21.0,,-112.1,-89.5,,36.0,,,,,,,False,,,,,True,,False,False,,True,,,,,,
01015,2720,3020.0,1739.0,,,,,3533.0,,2536.5,1815.4,,4011.5,,,,1745.9,,,300.0,-981.0,,,,,813.0,,-183.5,-904.6,,1291.5,,,,-974.1,,,False,,,,,False,,True,False,,False,,,,False,,
01017,971,435.0,388.0,,,,,780.0,,245.4,336.5,,499.0,,,,412.8,,,-536.0,-583.0,,,,,-191.0,,-725.6,-634.5,,-472.0,,,,-558.2,,,False,,,,,True,,False,False,,True,,,,False,,
01019,321,450.0,401.0,,,,,723.0,,420.5,316.8,,614.0,,,,,,,129.0,80.0,,,,,402.0,,99.5,-4.2,,293.0,,,,,,,True,,,,,False,,True,True,,False,,,,,,
