,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,238,204.0,,227.3,,187.0,178.0,,,,,176.9,,,176.1,,,225.0,159.0,175.0,171.5,,135.0,163.4,,,,249.0,199.0,209.2,,,,,,200.2,179.9,,,,276.7,284.0,-34.0,,-10.7,,-51.0,-60.0,,,,,-61.1,,,-61.9,,,-13.0,-79.0,-63.0,-66.5,,-103.0,-74.6,,,,11.0,-39.0,-28.8,,,,,,-37.8,-58.1,,,,38.7,46.0,,True,,False,False,,,,,False,,,False,,,True,False,False,False,,False,False,,,,True,False,True,,,,,,False,False,,,,False,False
01003,794,952.0,,985.9,,811.0,988.0,,,,,612.2,,,755.0,,,774.0,810.9,757.8,594.5,,836.0,786.4,,,,1015.0,727.0,990.2,,,,,,771.6,621.9,836.0,,,1018.3,983.7,158.0,,191.9,,17.0,194.0,,,,,-181.8,,,-39.0,,,-20.0,16.9,-36.2,-199.5,,42.0,-7.6,,,,221.0,-67.0,196.2,,,,,,-22.4,-172.1,42.0,,,224.3,189.7,,False,,True,False,,,,,False,,,True,,,True,True,True,False,,True,True,,,,False,True,False,,,,,,True,False,True,,,False,False
01005,126,82.0,,80.0,,68.0,61.0,,,,,57.6,,,71.5,,,73.0,51.1,67.6,,,100.0,83.1,,,,87.0,65.0,62.2,,,,,,,72.5,,,,132.4,81.6,-44.0,,-46.0,,-58.0,-65.0,,,,,-68.4,,,-54.5,,,-53.0,-74.9,-58.4,,,-26.0,-42.9,,,,-39.0,-61.0,-63.8,,,,,,,-53.5,,,,6.4,-44.4,,False,,False,False,,,,,False,,,False,,,False,False,False,,,True,True,,,,True,False,False,,,,,,,False,,,,True,False
01007,61,79.0,,71.4,,71.0,62.0,,,,,64.5,,,66.9,,,93.0,54.0,66.2,,,52.0,54.7,,,,82.0,72.0,72.4,,,,,,87.9,69.4,,,,117.5,81.0,18.0,,10.4,,10.0,1.0,,,,,3.5,,,5.9,,,32.0,-7.0,5.2,,,-9.0,-6.3,,,,21.0,11.0,11.4,,,,,,26.9,8.4,,,,56.5,20.0,,True,,True,True,,,,,True,,,True,,,False,True,True,,,True,True,,,,False,True,True,,,,,,False,True,,,,False,False
01009,193,170.0,,173.1,,166.0,182.0,,,,,159.0,,,145.4,,,277.0,158.2,147.4,77.0,,101.0,128.8,,,,187.0,151.0,190.7,,,,,,139.0,106.0,,,,248.8,192.8,-23.0,,-19.9,,-27.0,-11.0,,,,,-34.0,,,-47.6,,,84.0,-34.8,-45.6,-116.0,,-92.0,-64.2,,,,-6.0,-42.0,-2.3,,,,,,-54.0,-87.0,,,,55.8,-0.2,,True,,False,True,,,,,False,,,False,,,False,False,False,False,,False,False,,,,True,False,True,,,,,,False,False,,,,False,True
01011,46,46.0,,46.0,,31.0,42.0,,,,,27.6,,,43.7,,,27.0,26.5,33.6,,,27.0,29.7,,,,50.0,34.0,23.5,,,,,,,44.1,,,,60.6,43.3,0.0,,0.0,,-15.0,-4.0,,,,,-18.4,,,-2.3,,,-19.0,-19.5,-12.4,,,-19.0,-16.3,,,,4.0,-12.0,-22.5,,,,,,,-1.9,,,,14.6,-2.7,,False,,False,False,,,,,False,,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01013,69,47.0,,51.3,,50.0,42.0,,,,,49.4,,,42.3,,,63.0,42.9,57.3,,,43.0,48.6,,,,50.0,42.0,75.6,,,,,,,45.5,,,,52.6,58.7,-22.0,,-17.7,,-19.0,-27.0,,,,,-19.6,,,-26.7,,,-6.0,-26.1,-11.7,,,-26.0,-20.4,,,,-19.0,-27.0,6.6,,,,,,,-23.5,,,,-16.4,-10.3,,True,,True,False,,,,,True,,,False,,,True,False,True,,,False,True,,,,True,False,True,,,,,,,False,,,,True,True
01015,422,418.0,,429.0,,404.0,379.0,,,,,336.9,,,347.3,,,501.0,480.4,371.6,205.5,,279.0,329.1,,,,491.0,369.0,695.8,,,,,,378.4,312.5,,,,450.3,457.5,-4.0,,7.0,,-18.0,-43.0,,,,,-85.1,,,-74.7,,,79.0,58.4,-50.4,-216.5,,-143.0,-92.9,,,,69.0,-53.0,273.8,,,,,,-43.6,-109.5,,,,28.3,35.5,,False,,False,False,,,,,False,,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01017,140,216.0,,220.1,,162.0,201.0,,,,,97.9,,,150.8,,,113.0,181.4,117.6,148.0,,155.0,136.2,,,,235.0,162.0,162.2,,,,,,202.7,162.6,,,,219.2,164.9,76.0,,80.1,,22.0,61.0,,,,,-42.1,,,10.8,,,-27.0,41.4,-22.4,8.0,,15.0,-3.8,,,,95.0,22.0,22.2,,,,,,62.7,22.6,,,,79.2,24.9,,False,,True,True,,,,,True,,,True,,,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01019,38,51.0,,50.6,,47.0,33.0,,,,,46.4,,,54.9,,,106.0,35.6,45.6,,,44.0,47.7,,,,56.0,44.0,58.8,,,,,,,50.1,,,,38.0,54.5,13.0,,12.6,,9.0,-5.0,,,,,8.4,,,16.9,,,68.0,-2.4,7.6,,,6.0,9.7,,,,18.0,6.0,20.8,,,,,,,12.1,,,,-0.0,16.5,,True,,True,True,,,,,True,,,False,,,False,True,True,,,True,True,,,,False,True,False,,,,,,,True,,,,True,False
01021,88,90.0,,95.7,,84.0,43.0,,,,,95.3,,,90.4,,,179.0,43.0,97.0,98.0,,82.0,79.9,,,,85.0,81.0,201.9,,,,,,77.9,61.8,,,,126.3,134.1,2.0,,7.7,,-4.0,-45.0,,,,,7.3,,,2.4,,,91.0,-45.0,9.0,10.0,,-6.0,-8.1,,,,-3.0,-7.0,113.9,,,,,,-10.1,-26.2,,,,38.3,46.1,,False,,False,False,,,,,False,,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
