,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2338,1953.0,,,,1637.0,,2900.2,,1572.3,,,-385.0,,,,-701.0,,562.2,,-765.7,,,,,,False,,False,,False,,
01003,7257,7273.0,,,,4689.0,,8952.9,,5319.9,4001.0,,16.0,,,,-2568.0,,1695.9,,-1937.1,-3256.0,,,,,False,,False,,False,False,
01005,662,350.0,,,,596.0,,565.1,,,,,-312.0,,,,-66.0,,-96.9,,,,,,,,True,,True,,,,
01007,867,938.0,,,,740.0,,247.0,,,,,71.0,,,,-127.0,,-620.0,,,,,,,,False,,False,,,,
01009,1911,3241.0,,,,2262.0,,4757.9,,2270.8,,,1330.0,,,,351.0,,2846.9,,359.8,,,,,,True,,False,,True,,
01011,355,84.0,,,,223.0,,85.6,,,,,-271.0,,,,-132.0,,-269.4,,,,,,,,True,,True,,,,
01013,504,567.0,,,,445.0,,959.1,,,,,63.0,,,,-59.0,,455.1,,,,,,,,True,,False,,,,
01015,4158,5131.0,,,,4346.0,,8379.1,,3267.7,,,973.0,,,,188.0,,4221.1,,-890.3,,,,,,True,,False,,True,,
01017,1177,672.0,,,,892.0,,381.1,,,,,-505.0,,,,-285.0,,-795.9,,,,,,,,True,,False,,,,
01019,502,679.0,,,,904.0,,368.1,,,,,177.0,,,,402.0,,-133.9,,,,,,,,False,,True,,,,
