,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,162741,176764.0,,188568.3,,187360.0,338845.2,218585.1,,113001.2,137450.0,14023.0,,25827.3,,24619.0,176104.2,55844.1,,-49739.8,-25291.0,,False,,False,False,False,,False,False
Alaska,13719,29582.0,,33954.2,,,45338.6,49694.6,,23512.0,16459.0,15863.0,,20235.2,,,31619.6,35975.6,,9793.0,2740.0,,False,,,False,False,,True,True
Arizona,350790,305823.0,,368476.8,,316991.0,669037.6,455581.7,,274559.9,197159.0,-44967.0,,17686.8,,-33799.0,318247.6,104791.7,,-76230.1,-153631.0,,True,,True,False,False,,False,False
Arkansas,110135,104090.0,,105980.5,,128694.0,173558.8,77959.5,,103034.3,62447.0,-6045.0,,-4154.5,,18559.0,63423.8,-32175.5,,-7100.7,-47688.0,,True,,False,False,False,,False,False
California,1735230,1478645.0,,2019893.4,,1401093.0,3112053.4,3830952.3,,1930823.3,1282107.0,-256585.0,,284663.4,,-334137.0,1376823.4,2095722.3,,195593.3,-453123.0,,False,,False,False,False,,True,False
Colorado,109385,198009.0,,203394.1,,199221.0,304365.2,98890.6,,175364.2,109749.0,88624.0,,94009.1,,89836.0,194980.2,-10494.4,,65979.2,364.0,,False,,False,False,True,,True,True
Connecticut,103262,133322.0,,143103.9,,134151.0,190499.6,183236.2,,123580.6,71458.0,30060.0,,39841.9,,30889.0,87237.6,79974.2,,20318.6,-31804.0,,False,,False,False,False,,True,False
Delaware,32675,40460.0,,39685.8,,42895.0,66053.7,73047.0,,42110.5,26154.0,7785.0,,7010.8,,10220.0,33378.7,40372.0,,9435.5,-6521.0,,True,,False,False,False,,False,True
District of Columbia,12019,12397.0,,15179.3,,15274.0,20961.6,27126.2,,12148.6,7635.0,378.0,,3160.3,,3255.0,8942.6,15107.2,,129.6,-4384.0,,False,,False,False,False,,True,False
Florida,596616,471345.0,,498024.2,,503051.0,775530.3,450009.4,,497536.8,292363.0,-125271.0,,-98591.8,,-93565.0,178914.3,-146606.6,,-99079.2,-304253.0,,True,,True,False,False,,True,False
