,mean_rank
Covid19Sim-Simulator,8.3
COVIDhub-ensemble,8.4
Microsoft-DeepSTIA,9.1
IowaStateLW-STEM,9.9
COVIDhub-baseline,11.1
USC-SI_kJalpha,11.2
CEID-Walk,11.2
LNQ-ens1,11.3
JHU_CSSE-DECOM,11.4
LANL-GrowthRate,12.3
JHUAPL-Bucky,12.7
Google_Harvard-CPF,13.3
OneQuietNight-ML,13.9
RobertWalraven-ESG,14.3
UVA-Ensemble,14.6
IEM_MED-CovidProject,14.7
Karlen-pypm,15.6
BPagano-RtDriven,15.7
UCLA-SuEIR,15.9
DDS-NBDS,16.5
UMich-RidgeTfReg,17.0
JHU_UNC_GAS-StatMechPool,17.0
JHU_IDD-CovidSP,18.3
TTU-squider,19.2
Wadhwani_AI-BayesOpt,19.4
UCSB-ACTS,19.8
CovidAnalytics-DELPHI,21.1
CU-select,22.9
