,mean_rank
JHU_IDD-CovidSP,6.2
UCLA-SuEIR,6.7
UChicagoCHATTOPADHYAY-UnIT,7.4
OneQuietNight-ML,7.6
LNQ-ens1,9.5
LANL-GrowthRate,9.7
RobertWalraven-ESG,11.6
MOBS-GLEAM_COVID,12.4
CU-select,12.5
Karlen-pypm,13.2
COVIDhub-ensemble,13.5
BPagano-RtDriven,14.1
COVIDhub-baseline,14.6
CEID-Walk,14.8
TTU-squider,15.4
JHUAPL-Bucky,15.5
MIT_ISOLAT-Mixtures,16.2
USC-SI_kJalpha,16.6
Microsoft-DeepSTIA,16.7
UMich-RidgeTfReg,17.5
CovidAnalytics-DELPHI,17.8
DDS-NBDS,18.9
IEM_MED-CovidProject,19.4
Covid19Sim-Simulator,19.6
JHU_CSSE-DECOM,19.8
IowaStateLW-STEM,22.2
Google_Harvard-CPF,22.3
OliverWyman-Navigator,23.4
UVA-Ensemble,24.8
UCSB-ACTS,25.2
