,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,34901,43062.0,59490.9,40651.5,43208.0,39849.0,,49145.4,41155.0,54240.3,45233.1,,43633.2,50152.0,44065.6,42257.0,33315.5,72981.9,23188.0,35374.4,47234.0,46705.0,46483.2,51304.0,34419.0,,37399.9,,50713.0,,37651.7,71042.0,32810.9,40675.3,47167.0,53016.5,,8161.0,24589.9,5750.5,8307.0,4948.0,,14244.4,6254.0,19339.3,10332.1,,8732.2,15251.0,9164.6,7356.0,-1585.5,38080.9,-11713.0,473.4,12333.0,11804.0,11582.2,16403.0,-482.0,,2498.9,,15812.0,,2750.7,36141.0,-2090.1,5774.3,12266.0,18115.5,,False,True,False,True,,False,True,False,False,,False,False,False,True,True,False,False,True,False,False,False,False,True,,True,,False,,True,False,True,True,False,False,
Alaska,2563,3390.0,2935.1,3147.3,3327.0,1656.0,,3456.9,24736.0,3472.6,4189.0,,3372.3,,5120.3,3903.0,2451.9,2609.1,2804.5,3363.0,5312.4,4249.2,3729.0,3781.0,3031.0,,3025.3,,2459.8,,2974.0,2914.6,3245.3,4873.3,3382.0,3617.6,,827.0,372.1,584.3,764.0,-907.0,,893.9,22173.0,909.6,1626.0,,809.3,,2557.3,1340.0,-111.1,46.1,241.5,800.0,2749.4,1686.2,1166.0,1218.0,468.0,,462.3,,-103.2,,411.0,351.6,682.3,2310.3,819.0,1054.6,,True,True,True,False,,False,False,False,False,,True,,False,False,True,True,True,True,False,False,False,False,True,,True,,True,,True,True,True,False,True,False,
Arizona,86478,119112.0,118608.3,115493.5,121095.0,162252.0,,129897.9,99461.0,157345.9,92030.2,,124429.4,117764.0,119998.0,126374.0,84288.6,129774.2,98346.5,97340.1,134302.9,121931.1,116481.2,127300.0,101257.0,,125938.0,,102304.6,,90511.9,168258.0,75927.1,119867.7,127949.0,120238.8,,32634.0,32130.3,29015.5,34617.0,75774.0,,43419.9,12983.0,70867.9,5552.2,,37951.4,31286.0,33520.0,39896.0,-2189.4,43296.2,11868.5,10862.1,47824.9,35453.1,30003.2,40822.0,14779.0,,39460.0,,15826.6,,4033.9,81780.0,-10550.9,33389.7,41471.0,33760.8,,True,True,False,False,,False,True,False,True,,False,True,False,False,True,False,True,True,False,False,True,False,True,,False,,True,,True,False,True,False,False,False,
Arkansas,24209,36864.0,35871.7,36393.6,35564.0,32359.0,,38935.8,25954.0,38845.5,38844.9,,35387.5,40788.0,29820.8,36025.0,23202.2,35003.8,29718.0,28810.2,41053.8,35284.9,39038.5,39841.0,30530.0,,30733.6,,22488.7,,27504.9,48302.4,25496.8,39131.1,36449.0,56578.2,,12655.0,11662.7,12184.6,11355.0,8150.0,,14726.8,1745.0,14636.5,14635.9,,11178.5,16579.0,5611.8,11816.0,-1006.8,10794.8,5509.0,4601.2,16844.8,11075.9,14829.5,15632.0,6321.0,,6524.6,,-1720.3,,3295.9,24093.4,1287.8,14922.1,12240.0,32369.2,,True,True,True,True,,False,True,False,False,,True,False,True,True,True,True,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,True,False,
California,327800,569202.0,610086.5,570756.3,545840.0,687481.0,,572133.8,294891.0,712864.1,480554.5,,549451.5,582702.0,453402.8,574048.0,397258.8,514983.1,458433.5,462474.7,456991.9,619411.3,517110.7,620292.0,454290.0,,509061.0,,590696.2,,491457.8,664595.7,449512.4,640874.0,571445.0,908305.9,,241402.0,282286.5,242956.3,218040.0,359681.0,,244333.8,-32909.0,385064.1,152754.5,,221651.5,254902.0,125602.8,246248.0,69458.8,187183.1,130633.5,134674.7,129191.9,291611.3,189310.7,292492.0,126490.0,,181261.0,,262896.2,,163657.8,336795.7,121712.4,313074.0,243645.0,580505.9,,False,False,True,False,,False,True,False,True,,True,False,True,False,True,True,True,True,True,False,True,False,True,,True,,False,,True,False,True,False,False,False,
Colorado,21536,29072.0,27282.3,31530.1,27463.0,25496.0,,30986.4,8093.0,26377.7,39149.4,,27895.2,31160.0,26656.7,33665.0,22118.0,21767.8,23700.5,26563.4,40940.8,20986.2,28977.6,31807.0,22860.0,,27633.0,,13647.5,,22695.5,34947.0,27783.5,25052.1,30058.0,39882.7,,7536.0,5746.3,9994.1,5927.0,3960.0,,9450.4,-13443.0,4841.7,17613.4,,6359.2,9624.0,5120.7,12129.0,582.0,231.8,2164.5,5027.4,19404.8,-549.8,7441.6,10271.0,1324.0,,6097.0,,-7888.5,,1159.5,13411.0,6247.5,3516.1,8522.0,18346.7,,True,False,True,True,,False,False,True,False,,True,False,True,False,True,True,True,True,False,True,True,False,True,,True,,False,,True,False,True,True,False,False,
Connecticut,26601,34856.0,31828.2,34834.8,35532.0,43027.0,,37595.1,44999.0,4411721.2,31953.9,,43645.7,38415.0,36352.4,38712.0,26723.0,28595.3,31047.0,28781.0,41805.5,27698.6,33707.3,37534.0,29795.0,,25677.3,,22208.0,,25509.5,37652.8,26727.4,36162.6,24164.0,48306.3,,8255.0,5227.2,8233.8,8931.0,16426.0,,10994.1,18398.0,4385120.2,5352.9,,17044.7,11814.0,9751.4,12111.0,122.0,1994.3,4446.0,2180.0,15204.5,1097.6,7106.3,10933.0,3194.0,,-923.7,,-4393.0,,-1091.5,11051.8,126.4,9561.6,-2437.0,21705.3,,True,True,False,False,,False,False,False,True,,False,False,False,False,True,True,True,True,False,True,True,False,True,,True,,True,,True,False,True,False,True,False,
Delaware,8179,9794.0,10631.1,9649.1,9844.0,8610.0,,10256.4,5257.0,12857.2,15611.4,,10883.3,10803.0,9199.6,10289.0,6553.9,9732.1,9575.5,10159.8,7569.4,9755.5,11698.6,11224.0,8688.0,,10466.7,,10706.7,,8110.7,13395.3,7296.8,10312.3,9732.0,12955.5,,1615.0,2452.1,1470.1,1665.0,431.0,,2077.4,-2922.0,4678.2,7432.4,,2704.3,2624.0,1020.6,2110.0,-1625.1,1553.1,1396.5,1980.8,-609.6,1576.5,3519.6,3045.0,509.0,,2287.7,,2527.7,,-68.3,5216.3,-882.2,2133.3,1553.0,4776.5,,False,True,False,True,,False,False,False,False,,False,False,True,False,False,True,True,False,True,True,False,False,True,,False,,False,,True,False,True,False,True,False,
District of Columbia,3125,4160.0,3876.1,4138.5,4208.0,3925.0,,4207.3,13616.0,3616.3,3889.9,,5233.6,4159.0,7934.3,4047.0,3545.8,4225.4,4468.5,4262.6,,,,4648.0,3252.0,,4060.3,,3661.4,,3952.6,4662.2,3351.4,,4252.0,4540.6,,1035.0,751.1,1013.5,1083.0,800.0,,1082.3,10491.0,491.3,764.9,,2108.6,1034.0,4809.3,922.0,420.8,1100.4,1343.5,1137.6,,,,1523.0,127.0,,935.3,,536.4,,827.6,1537.2,226.4,,1127.0,1415.6,,True,True,False,True,,False,False,True,True,,False,True,False,True,True,False,False,False,,,,False,True,,True,,True,,True,False,True,,False,False,
Florida,153403,190978.0,203747.9,189120.4,205081.0,186803.0,,215977.1,1187488.0,271697.9,204036.9,,206079.0,201797.0,214737.9,,165779.5,242237.0,199648.5,172521.3,247269.1,193545.6,203413.2,236523.0,165224.0,,211446.7,,142774.3,,156339.2,299024.9,149645.6,211543.8,200828.0,234291.6,,37575.0,50344.9,35717.4,51678.0,33400.0,,62574.1,1034085.0,118294.9,50633.9,,52676.0,48394.0,61334.9,,12376.5,88834.0,46245.5,19118.3,93866.1,40142.6,50010.2,83120.0,11821.0,,58043.7,,-10628.7,,2936.2,145621.9,-3757.4,58140.8,47425.0,80888.6,,False,True,False,True,,False,False,False,False,,False,False,False,,True,False,False,True,False,False,False,False,True,,False,,True,,True,False,True,False,False,False,
