,mean_rank
COVIDhub-ensemble,8.4
UMass-MechBayes,9.0
OliverWyman-Navigator,9.1
LANL-GrowthRate,9.9
USC-SI_kJalpha,10.2
COVIDhub-baseline,10.4
Geneva-DetGrowth,10.9
YYG-ParamSearch,11.1
UT-Mobility,11.5
NotreDame-mobility,11.8
USACE-ERDC_SEIR,12.3
UCLA-SuEIR,12.3
UA-EpiCovDA,12.7
MOBS-GLEAM_COVID,13.2
JHU_IDD-CovidSP,14.3
IHME-CurveFit,14.4
RobertWalraven-ESG,14.9
Auquan-SEIR,14.9
PSI-DRAFT,15.1
IowaStateLW-STEM,15.4
CovidAnalytics-DELPHI,15.9
CU-select,16.0
Covid19Sim-Simulator,17.1
CovidActNow-SEIR_CAN,17.5
MITCovAlliance-SIR,20.2
GT-DeepCOVID,22.4
