,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1114,1234.4,943.2,1131.2,722.0,1111.0,869.2,1788.2,120.4,-170.8,17.2,-392.0,-3.0,-244.8,674.2,True,False,True,False,False
Alaska,17,10.0,10.0,3.0,,13.9,11.7,13.7,-7.0,-7.0,-14.0,,-3.1,-5.3,-3.3,False,,True,True,True
Arizona,2151,1811.4,1370.0,4142.3,1283.0,3261.5,1661.9,3091.9,-339.6,-781.0,1991.3,-868.0,1110.5,-489.1,940.9,False,False,False,False,False
Arkansas,319,153.0,131.5,115.2,223.0,145.8,207.0,185.2,-166.0,-187.5,-203.8,-96.0,-173.2,-112.0,-133.8,False,True,False,True,True
California,7027,7357.1,5750.8,6427.1,4840.0,5782.6,7010.9,7074.2,330.1,-1276.2,-599.9,-2187.0,-1244.4,-16.1,47.2,False,False,False,True,True
Colorado,1725,3132.1,2384.1,2213.8,1438.0,1656.5,1849.5,2991.7,1407.1,659.1,488.8,-287.0,-68.5,124.5,1266.7,True,True,True,True,True
Connecticut,4348,6873.0,5521.1,4830.3,3970.0,4801.0,3897.6,5070.0,2525.0,1173.1,482.3,-378.0,453.0,-450.4,722.0,True,True,True,True,True
Delaware,517,832.1,620.6,535.0,432.0,581.6,399.0,918.0,315.1,103.6,18.0,-85.0,64.6,-118.0,401.0,True,True,True,True,False
District of Columbia,568,854.4,670.5,576.1,555.0,577.7,528.6,786.1,286.4,102.5,8.1,-13.0,9.7,-39.4,218.1,True,True,True,True,True
Florida,4197,3953.0,3180.5,4332.5,2664.5,2907.7,2570.7,4172.6,-244.0,-1016.5,135.5,-1532.5,-1289.3,-1626.3,-24.4,True,False,False,False,True
Georgia,2996,3212.9,2587.5,2346.0,1890.0,2219.7,1995.7,3369.2,216.9,-408.5,-650.0,-1106.0,-776.3,-1000.3,373.2,False,False,False,False,False
Hawaii,19,17.0,17.0,19.0,,23.4,19.3,26.2,-2.0,-2.0,0.0,,4.4,0.3,7.2,True,,False,True,False
Idaho,102,120.1,101.7,81.0,77.0,115.9,86.6,96.0,18.1,-0.3,-21.0,-25.0,13.9,-15.4,-6.0,False,False,True,True,True
Illinois,7369,10234.9,7871.3,8605.6,7257.0,8251.2,6098.5,12167.6,2865.9,502.3,1236.6,-112.0,882.2,-1270.5,4798.6,True,True,True,True,False
Indiana,2756,3660.3,2915.4,2370.8,2410.0,2506.7,2850.3,4987.1,904.3,159.4,-385.2,-346.0,-249.3,94.3,2231.1,True,True,True,True,False
Iowa,748,1026.7,763.1,986.3,568.0,902.3,420.0,1927.5,278.7,15.1,238.3,-180.0,154.3,-328.0,1179.5,True,True,True,False,False
Kansas,295,360.0,295.6,318.5,279.0,292.1,440.7,328.8,65.0,0.6,23.5,-16.0,-2.9,145.7,33.8,True,True,True,False,True
Kentucky,622,569.7,477.7,499.4,457.0,443.3,763.9,548.8,-52.3,-144.3,-122.6,-165.0,-178.7,141.9,-73.2,False,False,False,False,False
Louisiana,3403,4101.7,3473.3,3130.7,3121.0,3092.2,2721.3,3541.2,698.7,70.3,-272.3,-282.0,-310.8,-681.7,138.2,True,True,True,True,True
Maine,112,117.1,98.7,79.5,702.0,120.0,136.0,107.2,5.1,-13.3,-32.5,590.0,8.0,24.0,-4.8,False,False,False,False,True
Maryland,3310,4726.3,3659.5,4050.4,3058.5,3587.1,2950.5,4484.0,1416.3,349.5,740.4,-251.5,277.1,-359.5,1174.0,True,True,True,True,True
Massachusetts,8310,12224.1,9716.5,8868.6,8270.0,9740.9,6512.2,9629.3,3914.1,1406.5,558.6,-40.0,1430.9,-1797.8,1319.3,True,True,True,True,True
Michigan,6313,7531.0,6501.0,6023.8,5845.0,6158.0,4939.8,6421.8,1451.0,421.0,-56.2,-235.0,78.0,-1140.2,341.8,True,True,True,True,True
Minnesota,1537,1933.1,1464.1,1738.9,2107.0,1792.7,2483.4,2368.3,396.1,-72.9,201.9,570.0,255.7,946.4,831.3,True,False,True,False,False
Mississippi,1230,1236.0,957.0,956.9,840.0,970.9,865.0,2014.0,6.0,-273.0,-273.1,-390.0,-259.1,-365.0,784.0,False,False,False,False,False
Missouri,1091,1362.1,1064.8,1408.6,978.0,979.6,851.3,1868.5,369.1,71.8,415.6,-15.0,-13.4,-141.7,875.5,False,True,True,True,False
Montana,29,16.0,16.0,12.0,16.0,21.3,17.8,21.7,-13.0,-13.0,-17.0,-13.0,-7.7,-11.2,-7.3,False,False,True,True,True
Nebraska,285,382.3,281.1,237.2,343.0,425.8,141.3,455.7,97.3,-3.9,-47.8,58.0,140.8,-143.7,170.7,True,True,False,False,False
Nevada,592,664.3,541.7,593.0,513.0,538.8,505.7,684.4,72.3,-50.3,1.0,-79.0,-53.2,-86.3,92.4,True,False,True,False,False
New Hampshire,391,478.4,358.9,312.3,326.0,448.6,332.9,723.5,87.4,-32.1,-78.7,-65.0,57.6,-58.1,332.5,True,True,True,True,False
New Jersey,15525,19060.9,15667.3,14000.0,13124.0,13456.3,10965.3,15360.1,3535.9,142.3,-1525.0,-2401.0,-2068.7,-4559.7,-164.9,True,True,True,False,True
New Mexico,543,775.7,576.5,512.8,329.0,847.9,523.5,935.6,232.7,33.5,-30.2,-214.0,304.9,-19.5,392.6,True,True,False,True,False
New York,32343,40732.7,35855.4,32102.5,32756.5,32035.7,29110.3,32874.3,9140.7,4263.4,510.5,1164.5,443.7,-2481.7,1282.3,True,True,True,True,True
North Carolina,1513,1644.6,1270.6,2114.7,740.0,1376.8,1769.0,1646.6,131.6,-242.4,601.7,-773.0,-136.2,256.0,133.6,False,False,False,False,False
