,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1114,1027.6,1037.0,1033.0,1110.1,1570.0,1112.9,1291.2,1313.0,1129.4,,1108.1,960.0,1207.9,1000.1,1001.9,,1033.0,1228.6,981.5,951.0,1092.1,1058.0,972.9,1133.0,1059.6,,-86.4,-77.0,-81.0,-3.9,456.0,-1.1,177.2,199.0,15.4,,-5.9,-154.0,93.9,-113.9,-112.1,,-81.0,114.6,-132.5,-163.0,-21.9,-56.0,-141.1,19.0,-54.4,,True,True,True,False,True,False,False,True,,True,False,False,False,False,,True,False,False,False,True,True,False,True,True,
Alaska,17,12.0,16.0,12.7,14.0,12.0,15.8,49.4,15.0,15.2,,12.6,,26.5,14.0,12.8,,14.9,13.5,12.0,17.0,12.8,14.0,18.5,12.0,14.0,,-5.0,-1.0,-4.3,-3.0,-5.0,-1.2,32.4,-2.0,-1.8,,-4.4,,9.5,-3.0,-4.2,,-2.1,-3.5,-5.0,0.0,-4.2,-3.0,1.5,-5.0,-3.0,,True,True,True,False,True,False,True,True,,True,,False,True,True,,True,True,False,True,True,True,True,False,True,
Arizona,2151,1800.4,1991.0,1816.8,2262.6,4448.0,2508.0,,2700.0,,,2212.8,2029.0,2228.4,2423.1,1832.1,,2012.4,1806.1,1585.5,2327.0,1985.2,2722.0,2057.1,1904.0,1915.3,2096.0,-350.6,-160.0,-334.2,111.6,2297.0,357.0,,549.0,,,61.8,-122.0,77.4,272.1,-318.9,,-138.6,-344.9,-565.5,176.0,-165.8,571.0,-93.9,-247.0,-235.7,-55.0,True,True,True,False,False,,False,,,True,True,True,True,True,,True,True,False,True,True,False,True,True,True,True
Arkansas,319,356.4,348.0,365.0,389.1,802.0,299.9,525.0,350.0,461.4,,400.4,306.0,392.6,331.1,381.6,,272.1,440.2,294.0,279.0,316.1,379.0,315.7,392.0,335.1,,37.4,29.0,46.0,70.1,483.0,-19.1,206.0,31.0,142.4,,81.4,-13.0,73.6,12.1,62.6,,-46.9,121.2,-25.0,-40.0,-2.9,60.0,-3.3,73.0,16.1,,True,False,False,False,True,False,True,False,,False,True,False,True,False,,False,False,True,False,True,False,True,False,True,
California,7027,6703.6,6875.0,6747.5,7049.7,7221.0,6709.0,10029.1,7691.0,7149.2,,7006.0,6813.0,8562.0,6970.3,6610.3,,6126.1,6807.0,6396.0,7088.0,6602.2,6972.0,6832.4,6899.0,6744.7,7006.0,-323.4,-152.0,-279.5,22.7,194.0,-318.0,3002.1,664.0,122.2,,-21.0,-214.0,1535.0,-56.7,-416.7,,-900.9,-220.0,-631.0,61.0,-424.8,-55.0,-194.6,-128.0,-282.3,-21.0,True,True,True,True,True,False,False,True,,True,True,False,True,False,,False,True,False,True,False,True,True,True,True,True
Colorado,1725,1787.0,1782.0,1800.9,1773.8,1779.0,1783.2,1794.6,1743.0,1843.3,,1709.6,1746.0,1896.9,1804.4,1799.5,,1744.6,1771.1,1776.0,1741.0,1764.9,1760.0,1823.3,1759.0,1794.6,,62.0,57.0,75.9,48.8,54.0,58.2,69.6,18.0,118.3,,-15.4,21.0,171.9,79.4,74.5,,19.6,46.1,51.0,16.0,39.9,35.0,98.3,34.0,69.6,,True,False,True,True,True,False,True,False,,True,True,False,False,False,,True,True,True,True,True,True,False,True,False,
Connecticut,4348,4428.6,4468.0,4471.4,4396.8,4387.0,4459.2,4338.2,4364.0,,,4392.5,4402.0,4536.3,4415.1,4481.3,,4336.7,4379.2,4407.0,4352.0,4463.8,4362.0,4451.4,4408.0,4410.8,,80.6,120.0,123.4,48.8,39.0,111.2,-9.8,16.0,,,44.5,54.0,188.3,67.1,133.3,,-11.3,31.2,59.0,4.0,115.8,14.0,103.4,60.0,62.8,,False,False,True,True,False,True,True,,,True,True,False,True,False,,True,True,True,True,False,True,False,True,True,
Delaware,517,472.1,482.0,479.1,475.8,473.0,490.3,473.4,458.0,519.7,,472.5,468.0,544.3,492.4,484.1,,454.1,483.8,464.0,464.0,476.9,472.0,460.4,494.0,476.0,,-44.9,-35.0,-37.9,-41.2,-44.0,-26.7,-43.6,-59.0,2.7,,-44.5,-49.0,27.3,-24.6,-32.9,,-62.9,-33.2,-53.0,-53.0,-40.1,-45.0,-56.6,-23.0,-41.0,,True,True,True,True,True,True,False,True,,True,False,True,True,True,,False,True,False,False,True,False,False,True,True,
District of Columbia,568,584.4,576.0,590.8,578.6,576.0,574.3,612.2,558.0,664.5,,585.2,619.0,586.4,553.1,,,554.1,559.8,551.0,560.0,590.4,560.0,580.2,572.0,573.4,,16.4,8.0,22.8,10.6,8.0,6.3,44.2,-10.0,96.5,,17.2,51.0,18.4,-14.9,,,-13.9,-8.2,-17.0,-8.0,22.4,-8.0,12.2,4.0,5.4,,True,False,True,True,True,False,True,False,,False,False,False,True,,,True,True,False,True,False,True,True,True,True,
Florida,4197,3818.1,3984.0,3801.2,4316.2,7022.0,4583.7,,4092.0,4016.7,,4371.4,4119.0,4447.2,4328.5,3629.4,,4123.5,4321.8,3603.5,4807.0,3778.4,5114.0,3721.3,4076.5,4018.8,3993.0,-378.9,-213.0,-395.8,119.2,2825.0,386.7,,-105.0,-180.3,,174.4,-78.0,250.2,131.5,-567.6,,-73.5,124.8,-593.5,610.0,-418.6,917.0,-475.7,-120.5,-178.2,-204.0,True,False,True,False,False,,True,True,,True,True,True,True,False,,True,True,False,False,False,False,False,True,True,True
