,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,LANL-GrowthRate,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1114,983.0,790.9,652.0,1035.0,844.0,955.2,934.3,1282.1,-131.0,-323.1,-462.0,-79.0,-270.0,-158.8,-179.7,168.1,False,False,True,False,False,False,False
Alaska,17,10.0,11.2,,10.6,,11.3,11.7,12.2,-7.0,-5.8,,-6.4,,-5.7,-5.3,-4.8,True,,True,,True,True,True
Arizona,2151,1630.7,1581.1,1407.0,1304.3,2132.0,1643.5,1556.5,2449.9,-520.3,-569.9,-744.0,-846.7,-19.0,-507.5,-594.5,298.9,False,False,False,True,True,False,True
Arkansas,319,239.4,203.3,381.0,249.2,205.0,256.5,236.7,203.1,-79.6,-115.7,62.0,-69.8,-114.0,-62.5,-82.3,-115.9,False,True,True,False,True,False,False
California,7027,7278.6,5137.2,6216.0,5826.3,6279.0,6145.0,6993.8,7057.1,250.6,-1890.8,-812.0,-1201.7,-749.0,-883.0,-34.2,29.1,False,False,False,False,False,True,True
Colorado,1725,2134.3,1633.8,1978.0,2017.7,3474.0,2210.7,1820.1,2635.1,409.3,-91.2,253.0,292.7,1749.0,485.7,95.1,910.1,True,True,True,False,False,True,False
Connecticut,4348,5647.3,4444.5,4191.0,4842.2,4721.0,4884.1,4032.6,4765.8,1299.3,96.5,-157.0,494.2,373.0,536.1,-315.4,417.8,True,True,True,True,True,True,True
Delaware,517,572.9,416.4,433.0,537.5,692.0,463.0,405.2,640.5,55.9,-100.6,-84.0,20.5,175.0,-54.0,-111.8,123.5,False,False,True,False,True,False,False
District of Columbia,568,768.0,521.3,656.0,670.6,638.0,808.1,559.7,662.9,200.0,-46.7,88.0,102.6,70.0,240.1,-8.3,94.9,True,True,True,True,False,True,True
Florida,4197,4047.3,2693.1,2969.0,3390.8,3873.0,3702.3,2713.5,4280.3,-149.7,-1503.9,-1228.0,-806.2,-324.0,-494.7,-1483.5,83.3,False,False,False,False,False,False,True
Georgia,2996,3315.0,2249.6,2426.0,2804.3,2723.0,2370.8,2083.6,3517.8,319.0,-746.4,-570.0,-191.7,-273.0,-625.2,-912.4,521.8,False,False,True,True,False,False,False
Hawaii,19,17.0,18.0,,18.2,2266.0,19.1,18.9,23.0,-2.0,-1.0,,-0.8,2247.0,0.1,-0.1,4.0,True,,True,False,True,True,False
Idaho,102,120.1,97.3,86.0,113.2,,95.1,89.7,97.5,18.1,-4.7,-16.0,11.2,,-6.9,-12.3,-4.5,True,True,True,,True,True,True
Illinois,7369,9512.0,6797.7,7503.0,8332.0,10781.0,8280.5,6894.1,10147.5,2143.0,-571.3,134.0,963.0,3412.0,911.5,-474.9,2778.5,True,True,True,False,True,True,False
Indiana,2756,3518.9,2476.9,2767.0,3015.4,3619.0,2606.0,2683.7,4250.4,762.9,-279.1,11.0,259.4,863.0,-150.0,-72.3,1494.4,True,True,True,False,True,True,False
Iowa,748,1176.0,592.6,642.0,938.2,1247.0,792.8,542.0,1495.6,428.0,-155.4,-106.0,190.2,499.0,44.8,-206.0,747.6,True,True,True,False,True,True,False
Kansas,295,273.6,293.8,341.0,244.4,314.0,334.0,223.8,282.5,-21.4,-1.2,46.0,-50.6,19.0,39.0,-71.2,-12.5,True,False,False,True,False,False,True
Kentucky,622,781.9,474.5,478.0,479.4,,647.3,714.5,651.7,159.9,-147.5,-144.0,-142.6,,25.3,92.5,29.7,True,True,True,,True,True,True
Louisiana,3403,4062.4,3036.0,3493.0,3585.6,3519.0,3194.8,2905.7,3526.1,659.4,-367.0,90.0,182.6,116.0,-208.2,-497.3,123.1,True,True,True,True,True,True,True
Maine,112,132.9,109.9,180.0,156.5,,97.3,140.2,103.3,20.9,-2.1,68.0,44.5,,-14.7,28.2,-8.7,True,False,False,,True,False,True
Maryland,3310,4231.3,3291.5,3443.0,3399.8,5723.0,3733.7,3724.2,4054.0,921.3,-18.5,133.0,89.8,2413.0,423.7,414.2,744.0,True,True,True,False,True,True,True
Massachusetts,8310,10314.9,7608.5,8367.0,8437.1,8459.0,8801.8,6993.2,8776.3,2004.9,-701.5,57.0,127.1,149.0,491.8,-1316.8,466.3,True,True,True,True,True,True,True
Michigan,6313,7538.9,5851.0,6071.0,6534.5,5949.0,6261.9,5824.3,6356.0,1463.9,-224.0,-4.0,459.5,-126.0,186.9,-250.7,281.0,True,True,True,True,True,True,True
Minnesota,1537,1886.0,1649.2,3161.0,1819.1,2866.0,1694.9,1313.5,2110.5,349.0,112.2,1624.0,282.1,1329.0,157.9,-223.5,573.5,True,False,True,False,True,True,False
Mississippi,1230,1338.1,1110.1,869.0,1201.1,1591.0,963.0,916.1,1861.0,108.1,-119.9,-361.0,-28.9,361.0,-267.0,-313.9,631.0,False,False,True,False,False,False,False
Missouri,1091,1275.7,799.5,1027.0,1053.4,1390.0,1286.8,879.1,1681.1,266.7,-209.5,18.0,44.4,381.0,277.8,-129.9,672.1,True,True,True,False,False,True,False
Montana,29,16.0,16.9,16.0,18.2,350.0,20.3,17.5,19.4,-13.0,-12.1,-13.0,-10.8,321.0,-8.7,-11.5,-9.6,True,False,True,False,True,True,True
Nebraska,285,311.6,312.0,381.0,224.8,,327.6,166.0,428.7,26.6,27.0,96.0,-60.2,,42.6,-119.0,143.7,False,False,False,,False,False,False
Nevada,592,585.7,445.8,582.0,685.3,,530.6,528.5,611.8,-6.3,-146.2,-10.0,93.3,,-61.4,-63.5,19.8,False,False,False,,False,False,False
New Hampshire,391,462.7,228.3,310.0,407.1,532.0,404.4,343.3,612.4,71.7,-162.7,-81.0,16.1,141.0,13.4,-47.7,221.4,False,False,True,False,True,True,False
New Jersey,15525,16452.3,12434.8,13137.0,13704.9,16058.0,13757.3,11636.2,14253.2,927.3,-3090.2,-2388.0,-1820.1,533.0,-1767.7,-3888.8,-1271.8,False,False,False,True,False,False,False
