,total_deaths_2020-05-31,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
LANL-GrowthRate,107830,129243.5,135236,24862.5,27406,-2543.5,-9.3%
PSI-DRAFT,107830,134396.0,135236,30015.0,27406,2609.0,9.5%
IowaStateLW-STEM,107830,128684.0,135236,24303.0,27406,-3103.0,-11.3%
IHME-CurveFit,107830,128590.2,135236,24209.2,27406,-3196.8,-11.7%
SWC-TerminusCM,107830,125974.0,135236,21593.0,27406,-5813.0,-21.2%
UCLA-SuEIR,107830,125102.5,135236,20721.5,27406,-6684.5,-24.4%
YYG-ParamSearch,107830,139527.1,135236,35146.1,27406,7740.1,28.2%
Baseline,107830,143401.3,135236,39020.3,27406,11614.3,42.4%
USACE-ERDC_SEIR,107830,119073.0,135236,14692.0,27406,-12714.0,-46.4%
Covid19Sim-Simulator,107830,118087.0,135236,13706.0,27406,-13700.0,-50.0%
NotreDame-FRED,107830,,135236,,27406,,
