,actual_deaths,Baseline,IHME-CurveFit,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,1114,1305.3,1374.1,741.1,1479.9,191.3,260.1,-372.9,365.9,False,False,False
Alaska,17,18.9,5.0,14.3,14.9,1.9,-12.0,-2.7,-2.1,False,False,False
Arizona,2151,2077.1,2465.2,1105.0,2992.3,-73.9,314.2,-1046.0,841.3,False,False,False
Arkansas,319,223.9,196.5,251.3,303.4,-95.1,-122.5,-67.7,-15.6,False,True,True
California,7027,7144.6,5792.2,6608.8,5802.1,117.6,-1234.8,-418.2,-1224.9,False,False,False
Colorado,1725,2113.6,1645.2,1767.8,2404.2,388.6,-79.8,42.8,679.2,True,True,False
Connecticut,4348,7670.1,4539.1,4373.8,5044.3,3322.1,191.1,25.8,696.3,True,True,True
Delaware,517,610.7,406.9,444.3,635.5,93.7,-110.1,-72.7,118.5,False,True,False
District of Columbia,568,960.7,535.3,562.3,798.6,392.7,-32.7,-5.7,230.6,True,True,True
Florida,4197,4750.1,4925.3,2686.1,4464.0,553.1,728.3,-1510.9,267.0,False,False,True
Georgia,2996,3372.3,3444.0,2737.6,3373.8,376.3,448.0,-258.4,377.8,False,True,False
Hawaii,19,17.0,19.0,24.8,30.7,-2.0,0.0,5.8,11.7,True,False,False
Idaho,102,93.6,75.1,109.3,97.6,-8.4,-26.9,7.3,-4.4,False,True,True
Illinois,7369,10385.4,7255.7,6556.5,11734.7,3016.4,-113.3,-812.5,4365.7,True,True,False
Indiana,2756,4838.3,3905.4,2686.3,6162.6,2082.3,1149.4,-69.7,3406.6,True,True,False
Iowa,748,982.4,843.4,1856.3,1765.2,234.4,95.4,1108.3,1017.2,True,False,False
Kansas,295,439.7,387.0,834.6,378.7,144.7,92.0,539.6,83.7,True,False,True
Kentucky,622,755.7,675.8,689.7,648.0,133.7,53.8,67.7,26.0,True,True,True
Louisiana,3403,4712.9,3221.7,3436.1,3714.0,1309.9,-181.3,33.1,311.0,True,True,True
Maine,112,126.0,91.3,123.7,134.4,14.0,-20.7,11.7,22.4,False,True,False
Maryland,3310,4859.1,2578.8,2996.9,3788.4,1549.1,-731.2,-313.1,478.4,True,True,True
Massachusetts,8310,13614.7,7526.6,7446.0,9312.1,5304.7,-783.4,-864.0,1002.1,True,True,True
Michigan,6313,9001.3,6189.7,6531.5,7056.2,2916.3,104.7,446.5,971.2,True,True,True
Minnesota,1537,1995.1,1996.3,1655.5,2659.9,458.1,459.3,118.5,1122.9,False,True,False
Mississippi,1230,1554.9,1181.3,744.5,2055.1,324.9,-48.7,-485.5,825.1,True,False,False
Missouri,1091,1583.6,1739.4,816.8,1842.0,594.6,750.4,-172.2,853.0,False,True,False
Montana,29,16.0,14.0,22.6,25.5,-13.0,-15.0,-6.4,-3.5,False,True,True
Nebraska,285,196.3,213.9,706.3,296.4,-88.7,-71.1,421.3,11.4,True,False,True
Nevada,592,770.6,505.9,502.0,752.5,178.6,-86.1,-90.0,160.5,True,True,True
New Hampshire,391,549.3,223.1,271.5,503.4,158.3,-167.9,-119.5,112.4,False,True,True
New Jersey,15525,21523.1,14685.9,13674.5,15922.3,7704.1,866.9,-144.5,2103.3,True,True,True
New Mexico,543,634.0,378.9,339.3,693.8,91.0,-164.1,-203.7,150.8,False,False,False
New York,32343,43761.9,31605.8,38208.3,33104.9,12417.9,261.8,6864.3,1760.9,True,True,True
North Carolina,1513,1715.4,1168.8,967.6,1433.7,202.4,-344.2,-545.4,-79.3,False,False,True
North Dakota,87,123.6,80.5,92.5,177.2,36.6,-6.5,5.5,90.2,True,True,False
Ohio,3036,4015.9,2875.7,2355.0,3750.2,979.9,-160.3,-681.0,714.2,True,True,True
Oklahoma,421,573.1,465.0,472.6,563.3,152.1,44.0,51.6,142.3,True,True,True
Oregon,232,286.4,203.4,234.9,228.0,54.4,-28.6,2.9,-4.0,True,True,True
Pennsylvania,6897,13424.9,10245.2,5317.8,10170.7,6527.9,3348.2,-1579.2,3273.7,True,True,True
Rhode Island,976,1325.4,674.8,853.2,1244.3,349.4,-301.2,-122.8,268.3,True,True,True
South Carolina,951,827.0,732.5,542.2,1076.6,-124.0,-218.5,-408.8,125.6,False,False,False
South Dakota,109,149.1,146.7,66.3,161.9,40.1,37.7,-42.7,52.9,True,False,False
Tennessee,738,535.3,498.5,509.5,404.6,-202.7,-239.5,-228.5,-333.4,False,False,False
Texas,3638,3007.1,2439.7,2134.0,4120.4,-566.9,-1134.3,-1440.0,546.4,False,False,True
Utah,212,217.6,146.0,129.2,248.0,5.6,-66.0,-82.8,36.0,False,False,False
Vermont,56,53.0,52.3,76.8,79.5,-3.0,-3.7,20.8,23.5,False,False,False
Virginia,1962,2424.4,1384.3,1799.8,2680.6,462.4,-577.7,-162.2,718.6,False,True,False
Washington,1424,1790.1,1119.6,1369.7,1357.9,366.1,-304.4,-54.3,-66.1,True,True,True
West Virginia,96,107.1,76.9,84.4,130.8,11.1,-19.1,-11.6,34.8,False,False,False
Wisconsin,821,940.3,663.9,941.8,702.2,119.3,-157.1,120.8,-118.8,False,False,True
Wyoming,21,7.0,6.0,17.1,19.2,-14.0,-15.0,-3.9,-1.8,False,True,True
US,135277,184430.0,133622.5,126568.7,158755.6,52252.0,1444.5,-5609.3,26577.6,True,True,True
