,actual_deaths,Baseline,IHME-CurveFit,error-Baseline,error-IHME-CurveFit,beat_baseline-IHME-CurveFit
Alabama,1114,915.9,290.0,-198.1,-824.0,False
Alaska,17,20.9,16.5,3.9,-0.5,True
Arizona,2151,883.6,479.7,-1267.4,-1671.3,False
Arkansas,319,181.3,130.9,-137.7,-188.1,False
California,7027,7544.3,1743.4,517.3,-5283.6,False
Colorado,1725,1973.3,648.7,248.3,-1076.3,False
Connecticut,4348,7921.1,2884.0,3573.1,-1464.0,True
Delaware,517,446.4,135.9,-70.6,-381.1,False
District of Columbia,568,641.4,213.1,73.4,-354.9,False
Florida,4197,4485.3,1536.6,288.3,-2660.4,False
Georgia,2996,3698.7,1981.0,702.7,-1015.0,False
Hawaii,19,21.9,26.1,2.9,7.1,False
Idaho,102,245.6,61.2,143.6,-40.8,True
Illinois,7369,8048.6,2093.0,679.6,-5276.0,False
Indiana,2756,3158.7,930.5,402.7,-1825.5,False
Iowa,748,478.1,442.0,-269.9,-306.0,False
Kansas,295,531.7,272.7,236.7,-22.3,True
Kentucky,622,727.0,466.2,105.0,-155.8,False
Louisiana,3403,6702.9,1703.8,3299.9,-1699.2,True
Maine,112,211.9,53.3,99.9,-58.7,True
Maryland,3310,3128.9,1111.5,-181.1,-2198.5,False
Massachusetts,8310,12970.3,3897.9,4660.3,-4412.1,True
Michigan,6313,13204.7,3361.2,7051.7,-2791.8,True
Minnesota,1537,892.9,301.3,-644.1,-1235.7,False
Mississippi,1230,906.0,398.5,-324.0,-831.5,False
Missouri,1091,1159.4,385.5,111.4,-662.5,False
Montana,29,57.4,14.2,28.4,-14.8,True
Nebraska,285,158.4,245.4,-126.6,-39.6,True
Nevada,592,703.4,240.0,111.4,-352.0,False
New Hampshire,391,215.9,70.3,-175.1,-320.7,False
New Jersey,15525,28218.6,7116.0,13836.6,-7266.0,True
New Mexico,543,398.9,104.7,-144.1,-438.3,False
New York,32380,79527.7,23741.0,47264.7,-8522.0,True
North Carolina,1513,1516.1,309.8,3.1,-1203.2,False
North Dakota,87,32.7,277.3,-54.3,190.3,False
Ohio,3036,3055.9,770.6,19.9,-2265.4,False
Oklahoma,421,661.7,306.2,240.7,-114.8,True
Oregon,232,334.9,120.3,102.9,-111.7,False
Pennsylvania,6897,9801.3,2323.2,2904.3,-4573.8,False
Rhode Island,987,1181.6,577.8,191.6,-412.2,False
South Carolina,951,570.6,261.3,-380.4,-689.7,False
South Dakota,109,18.9,98.3,-90.1,-10.7,True
Tennessee,738,646.0,234.7,-92.0,-503.3,False
Texas,3746,2944.4,1165.7,-726.6,-2505.3,False
Utah,212,133.7,222.9,-78.3,10.9,True
Vermont,56,168.4,42.8,112.4,-13.2,True
Virginia,1962,1889.6,771.3,-72.4,-1190.7,False
Washington,1400,2177.4,779.2,831.4,-566.8,True
West Virginia,96,160.3,34.5,64.3,-61.5,True
Wisconsin,847,1121.1,340.3,312.1,-468.7,False
Wyoming,21,25.7,243.4,4.7,222.4,False
US,135435,217130.3,65975.8,83322.3,-67832.2,True
