,actual_deaths,Baseline,Baseline_0.98,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Minnesota,1537,1911.0,1718.7,1488.2,1810.3,1571.0,1666.1,1918.0,1972.0,1447.0,1960.0,1685.5,1401.3,2091.1,374.0,181.7,-48.8,273.3,34.0,129.1,381.0,435.0,-90.0,423.0,148.5,-135.7,554.1,True,True,True,True,False,False,True,False,True,True,False
Mississippi,1230,1220.1,1111.6,925.5,1232.7,905.0,1054.5,1185.0,,1322.0,1449.0,1056.6,1102.2,1321.7,-9.9,-118.4,-304.5,2.7,-325.0,-175.5,-45.0,,92.0,219.0,-173.4,-127.8,91.7,False,True,False,False,False,,False,False,False,False,False
Missouri,1091,1004.4,953.4,896.0,1110.7,1017.0,1069.8,1159.0,,1099.5,1417.0,1298.8,1013.2,1271.3,-51.6,-102.6,-160.0,54.7,-39.0,13.8,103.0,,43.5,361.0,242.8,-42.8,215.3,False,False,True,True,False,,True,False,False,True,False
Montana,29,22.9,21.5,19.2,18.6,18.0,25.6,19.0,,10.0,34.0,20.3,16.3,20.3,-6.1,-7.5,-9.8,-10.4,-11.0,-3.4,-10.0,,-19.0,5.0,-8.7,-12.7,-8.7,False,False,False,True,False,,False,True,False,False,False
Nebraska,285,269.6,247.3,293.2,367.2,260.0,232.9,222.0,,441.0,291.0,286.3,208.3,316.5,-15.4,-37.7,8.2,82.2,-25.0,-52.1,-63.0,,156.0,6.0,1.3,-76.7,31.5,True,False,False,False,False,,False,True,True,False,False
Nevada,592,540.0,512.5,485.9,581.2,556.0,571.1,654.0,,464.0,574.0,544.0,528.6,577.7,-52.0,-79.5,-106.1,-10.8,-36.0,-20.9,62.0,,-128.0,-18.0,-48.0,-63.4,-14.3,False,True,True,True,False,,False,True,True,False,True
New Hampshire,391,485.1,431.5,282.1,419.2,307.0,375.9,478.0,,497.0,620.0,430.9,350.4,469.9,94.1,40.5,-108.9,28.2,-84.0,-15.1,87.0,,106.0,229.0,39.9,-40.6,78.9,False,True,True,True,True,,False,False,True,True,True
New Jersey,15525,14497.7,13872.4,12548.0,13119.7,13554.0,13191.2,12834.0,,14351.5,13325.0,13658.8,11871.8,13597.3,-1027.3,-1652.6,-2977.0,-2405.3,-1971.0,-2333.8,-2691.0,,-1173.5,-2200.0,-1866.2,-3653.2,-1927.7,False,False,False,False,False,,False,False,False,False,False
New Mexico,543,590.3,538.0,431.3,595.5,482.0,603.4,536.0,,465.0,628.0,609.8,434.3,604.0,47.3,-5.0,-111.7,52.5,-61.0,60.4,-7.0,,-78.0,85.0,66.8,-108.7,61.0,False,False,False,False,True,,False,False,False,False,False
New York,32343,33239.7,32467.9,31486.6,31659.1,32309.0,31793.2,30770.0,,29081.0,30850.0,31286.6,29566.8,31856.0,1590.7,818.9,-162.4,10.1,660.0,144.2,-879.0,,-2568.0,-799.0,-362.4,-2082.2,207.0,True,True,True,True,True,,False,True,True,False,True
North Carolina,1513,1493.4,1369.2,1432.0,2032.2,1371.0,1588.5,2452.0,,1491.5,2192.0,1631.1,2096.6,1684.8,-19.6,-143.8,-81.0,519.2,-142.0,75.5,939.0,,-21.5,679.0,118.1,583.6,171.8,False,False,False,False,False,,False,False,False,False,False
North Dakota,87,125.4,111.0,84.3,113.5,99.0,99.8,99.0,,120.0,1658.0,93.1,78.6,123.0,38.4,24.0,-2.7,26.5,12.0,12.8,12.0,,33.0,1571.0,6.1,-8.4,36.0,True,True,True,True,True,,True,False,True,True,True
Ohio,3036,3467.0,3174.0,2634.9,3279.5,3003.0,3017.9,2919.0,3913.0,3943.5,4046.0,3085.4,2937.2,3654.5,431.0,138.0,-401.1,243.5,-33.0,-18.1,-117.0,877.0,907.5,1010.0,49.4,-98.8,618.5,True,True,True,True,True,False,False,False,True,True,False
Oklahoma,421,416.0,397.7,383.5,423.1,361.0,410.4,469.0,,360.0,463.0,393.8,419.5,433.8,-5.0,-23.3,-37.5,2.1,-60.0,-10.6,48.0,,-61.0,42.0,-27.2,-1.5,12.8,False,True,False,False,False,,False,False,False,True,False
Oregon,232,211.6,198.5,176.7,196.5,186.0,203.8,196.0,,160.0,171.0,204.0,203.1,191.9,-20.4,-33.5,-55.3,-35.5,-46.0,-28.2,-36.0,,-72.0,-61.0,-28.0,-28.9,-40.1,False,False,False,False,False,,False,False,False,False,False
Pennsylvania,6897,7827.6,7320.0,6252.6,7049.6,6488.0,7058.2,7342.0,,7893.0,8190.0,7506.0,6225.9,7342.4,930.6,423.0,-644.4,152.6,-409.0,161.2,445.0,,996.0,1293.0,609.0,-671.1,445.4,True,True,True,True,True,,False,False,True,True,True
Rhode Island,976,1034.3,963.6,816.5,958.1,927.0,875.7,949.0,,1031.0,1137.0,933.9,635.9,1124.5,58.3,-12.4,-159.5,-17.9,-49.0,-100.3,-27.0,,55.0,161.0,-42.1,-340.1,148.5,False,True,True,False,True,,True,False,True,False,False
South Carolina,951,798.6,730.5,637.3,760.1,629.0,920.8,1044.0,,674.0,883.0,763.1,841.4,934.0,-152.4,-220.5,-313.7,-190.9,-322.0,-30.2,93.0,,-277.0,-68.0,-187.9,-109.6,-17.0,False,False,False,True,True,,False,True,False,True,True
South Dakota,109,79.6,75.6,93.9,87.8,79.0,92.5,93.0,,130.0,106.0,83.2,73.5,108.5,-29.4,-33.4,-15.1,-21.2,-30.0,-16.5,-16.0,,21.0,-3.0,-25.8,-35.5,-0.5,True,True,False,True,True,,True,True,True,False,True
Tennessee,738,680.3,609.6,598.2,651.9,644.0,543.4,573.0,,480.0,608.0,570.8,595.6,687.4,-57.7,-128.4,-139.8,-86.1,-94.0,-194.6,-165.0,,-258.0,-130.0,-167.2,-142.4,-50.6,False,False,False,False,False,,False,False,False,False,True
Texas,3138,2647.3,2430.1,2404.1,2717.6,2243.0,2335.8,2595.0,,2576.0,3394.0,2519.6,2955.4,2981.3,-490.7,-707.9,-733.9,-420.4,-895.0,-802.2,-543.0,,-562.0,256.0,-618.4,-182.6,-156.7,False,True,False,False,False,,False,True,False,True,True
Utah,212,159.9,149.4,219.8,218.2,212.0,210.9,216.0,,255.0,6358.0,204.9,198.4,204.4,-52.1,-62.6,7.8,6.2,0.0,-1.1,4.0,,43.0,6146.0,-7.1,-13.6,-7.6,True,True,True,True,True,,True,False,True,True,True
Vermont,56,55.0,55.0,57.4,59.6,56.0,90.6,55.0,,50.0,55.0,62.0,51.6,58.5,-1.0,-1.0,1.4,3.6,0.0,34.6,-1.0,,-6.0,-1.0,6.0,-4.4,2.5,False,False,True,False,False,,False,False,False,False,False
Virginia,1962,1878.7,1766.2,1882.1,2038.5,1937.0,1649.4,2172.0,,1916.0,2134.0,2014.7,2011.8,2078.8,-72.3,-184.8,-68.9,87.5,-14.0,-301.6,221.0,,-35.0,183.0,63.7,60.8,127.8,True,False,True,False,False,,True,False,True,True,False
Washington,1424,1346.4,1295.4,1280.4,1216.8,1342.0,1375.0,1357.0,,1235.5,,1269.2,1326.0,1360.7,-77.6,-128.6,-143.6,-207.2,-82.0,-49.0,-67.0,,-188.5,,-154.8,-98.0,-63.3,False,False,False,True,True,,False,,False,False,True
West Virginia,96,127.7,115.9,97.1,111.5,85.0,95.0,140.0,,70.0,2777.0,113.5,107.3,113.2,31.7,19.9,1.1,15.5,-11.0,-1.0,44.0,,-26.0,2681.0,17.5,11.3,17.2,True,True,True,True,False,,True,False,True,True,True
Wisconsin,821,914.1,842.2,828.5,1207.8,873.0,817.8,1308.0,992.0,890.0,911.0,799.2,928.2,1004.3,93.1,21.2,7.5,386.8,52.0,-3.2,487.0,171.0,69.0,90.0,-21.8,107.2,183.3,True,False,True,True,False,False,True,True,True,False,False
Wyoming,21,21.9,20.5,21.4,21.4,17.0,20.5,29.0,,5.0,,18.1,21.4,25.5,0.9,-0.5,0.4,0.4,-4.0,-0.5,8.0,,-16.0,,-2.9,0.4,4.5,True,True,False,True,False,,False,,False,True,False
US,134777,140302.9,132280.1,120491.1,132454.6,128193.0,132504.4,134013.0,,138883.5,,127922.5,122346.6,137173.4,6280.9,-1741.9,-13530.9,-1567.4,-5829.0,-1517.6,-9.0,,4861.5,,-6099.5,-11675.4,3151.4,False,True,True,True,True,,True,,True,False,True
