,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,1114,892.1,309.1,331.0,-221.9,-804.9,-783.0,False,False
Alaska,17,9.0,,,-8.0,,,,
Arizona,2151,1263.0,767.1,590.0,-888.0,-1383.9,-1561.0,False,False
Arkansas,319,181.3,164.1,178.0,-137.7,-154.9,-141.0,False,False
California,7027,7674.7,2035.4,3443.0,647.7,-4991.6,-3584.0,False,False
Colorado,1725,3597.7,1052.3,1470.0,1872.7,-672.7,-255.0,True,True
Connecticut,4348,10577.1,3366.5,3617.0,6229.1,-981.5,-731.0,True,True
Delaware,517,695.4,156.6,470.0,178.4,-360.4,-47.0,False,True
District of Columbia,568,1068.3,255.2,451.0,500.3,-312.8,-117.0,True,True
Florida,4197,4343.0,1921.0,2117.0,146.0,-2276.0,-2080.0,False,False
Georgia,2996,3402.3,2258.9,1819.0,406.3,-737.1,-1177.0,False,False
Hawaii,19,57.4,22.7,,38.4,3.7,,True,
Idaho,102,186.3,66.0,102.0,84.3,-36.0,0.0,True,True
Illinois,7369,8914.1,2292.2,4809.0,1545.1,-5076.8,-2560.0,False,False
Indiana,2756,3538.1,1017.9,1453.0,782.1,-1738.1,-1303.0,False,False
Iowa,748,584.9,329.5,494.0,-163.1,-418.5,-254.0,False,False
Kansas,295,425.0,354.3,751.0,130.0,59.3,456.0,True,False
Kentucky,622,881.1,516.6,330.0,259.1,-105.4,-292.0,True,False
Louisiana,3403,6430.1,2032.5,2966.0,3027.1,-1370.5,-437.0,True,True
Maine,112,223.7,66.5,69.0,111.7,-45.5,-43.0,True,True
Maryland,3310,5784.9,1196.5,2105.0,2474.9,-2113.5,-1205.0,True,True
Massachusetts,8310,15851.6,5633.2,6558.0,7541.6,-2676.8,-1752.0,True,True
Michigan,6313,13347.0,3818.1,5125.0,7224.0,-2304.9,-998.0,True,True
Minnesota,1537,1770.3,728.4,500.0,233.3,-808.6,-1037.0,False,False
Mississippi,1230,965.3,380.0,353.0,-264.7,-850.0,-877.0,False,False
Missouri,1091,1195.0,637.5,619.0,195.0,-362.5,-381.0,False,False
Montana,29,57.4,26.8,20.0,28.4,-2.2,-9.0,True,True
Nebraska,285,360.0,381.2,674.0,75.0,96.2,389.0,False,False
Nevada,592,727.1,259.4,520.0,135.1,-332.6,-72.0,False,True
New Hampshire,391,298.9,71.6,119.0,-92.1,-319.4,-272.0,False,False
New Jersey,15525,23048.9,7051.0,12873.0,8915.9,-7082.0,-1260.0,True,True
New Mexico,543,576.7,210.0,190.0,33.7,-333.0,-353.0,False,False
New York,32380,62299.3,24087.6,31387.0,30560.3,-7651.4,-352.0,True,True
North Carolina,1513,1670.3,375.4,528.0,157.3,-1137.6,-985.0,False,False
North Dakota,87,103.9,258.2,51.0,16.9,171.2,-36.0,False,False
Ohio,3036,3518.3,835.5,1702.0,482.3,-2200.5,-1334.0,False,False
Oklahoma,421,792.1,,299.0,371.1,,-122.0,,True
Oregon,232,287.4,124.8,148.0,55.4,-107.2,-84.0,False,False
Pennsylvania,6897,7678.9,2318.2,3954.0,781.9,-4578.8,-2943.0,False,False
Rhode Island,976,1051.1,594.2,883.0,75.1,-381.8,-93.0,False,False
South Carolina,951,760.3,350.7,367.0,-190.7,-600.3,-584.0,False,False
South Dakota,109,54.4,44.7,219.0,-54.6,-64.3,110.0,False,False
Tennessee,738,539.3,247.5,1210.0,-198.7,-490.5,472.0,False,False
Texas,3638,2399.0,1447.2,2834.0,-1152.0,-2103.8,-717.0,False,True
Utah,212,193.0,421.6,231.0,-19.0,209.6,19.0,False,False
Vermont,56,132.9,54.2,53.0,76.9,-1.8,-3.0,True,True
Virginia,1962,2316.4,633.8,1455.0,354.4,-1328.2,-507.0,False,False
Washington,1424,1975.9,859.8,1254.0,551.9,-564.2,-170.0,False,True
West Virginia,96,207.7,38.4,288.0,111.7,-57.6,192.0,True,False
Wisconsin,821,836.6,331.1,458.0,15.6,-489.9,-363.0,False,False
Wyoming,21,61.3,64.2,13.0,40.3,43.2,-8.0,False,True
US,135314,206186.1,72859.8,,73273.1,-60053.2,,True,
