,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovAlliance-SIR,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovAlliance-SIR,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovAlliance-SIR,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,8310,8434.1,8392.3,8417.0,8466.8,8314.9,8194.0,8150.2,,,8332.0,8233.0,8379.7,8334.7,8274.0,8173.0,8415.8,,8256.3,8419.3,8227.5,8369.0,8481.0,8228.8,8320.0,8468.8,8342.7,8380.0,8351.7,8365.7,125.1,83.3,108.0,157.8,5.9,-115.0,-158.8,,,23.0,-76.0,70.7,25.7,-35.0,-136.0,106.8,,-52.7,110.3,-81.5,60.0,172.0,-80.2,11.0,159.8,33.7,71.0,42.7,56.7,True,False,True,True,False,,,True,True,True,True,True,False,True,,True,True,True,True,False,True,True,False,True,True,True,True
Michigan,6313,6281.4,6267.5,6379.0,6289.7,6315.0,6290.0,6230.8,6429.3,,6299.3,6312.0,6399.3,6487.5,7062.6,6207.0,6244.5,6565.0,6263.7,6351.6,6223.0,6254.0,6254.0,6298.4,6290.0,6163.4,6297.5,6236.0,6282.3,,-31.6,-45.5,66.0,-23.3,2.0,-23.0,-82.2,116.3,,-13.7,-1.0,86.3,174.5,749.6,-106.0,-68.5,252.0,-49.3,38.6,-90.0,-59.0,-59.0,-14.6,-23.0,-149.6,-15.5,-77.0,-30.7,,False,True,True,True,False,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,
Minnesota,1537,1549.1,1539.2,1593.0,1548.0,1597.7,1658.0,1645.7,1501.4,,1573.1,1462.0,1694.7,1621.1,1820.7,1546.0,1642.0,1721.0,1530.0,1545.7,1558.5,1613.0,1566.0,1580.4,1542.0,1417.7,1602.5,1569.0,1566.6,,12.1,2.2,56.0,11.0,60.7,121.0,108.7,-35.6,,36.1,-75.0,157.7,84.1,283.7,9.0,105.0,184.0,-7.0,8.7,21.5,76.0,29.0,43.4,5.0,-119.3,65.5,32.0,29.6,,False,True,False,False,False,False,,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,
Mississippi,1230,1226.6,1205.6,1180.0,1228.9,1202.7,1452.0,1215.6,1227.1,,1191.7,1141.0,1187.4,1172.3,1408.8,1216.0,1179.9,,1154.6,1376.4,1138.0,1163.0,1109.0,1119.5,1194.0,1029.2,1280.0,1156.0,1207.0,,-3.4,-24.4,-50.0,-1.1,-27.3,222.0,-14.4,-2.9,,-38.3,-89.0,-42.6,-57.7,178.8,-14.0,-50.1,,-75.4,146.4,-92.0,-67.0,-121.0,-110.5,-36.0,-200.8,50.0,-74.0,-23.0,,False,True,False,False,False,True,,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,
Missouri,1091,1076.4,1068.3,1148.0,1082.0,1118.1,1277.0,1109.8,1100.5,,1153.0,1141.0,1163.3,1105.6,1399.3,1133.0,1047.0,,1093.8,1177.4,1043.0,1058.0,1096.0,1133.4,1095.0,1117.3,1129.5,1097.0,1081.9,,-4.6,-12.7,67.0,1.0,37.1,196.0,28.8,19.5,,72.0,60.0,82.3,24.6,318.3,52.0,-34.0,,12.8,96.4,-38.0,-23.0,15.0,52.4,14.0,36.3,48.5,16.0,0.9,,False,True,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,
Montana,29,25.7,25.3,25.0,26.0,25.8,22.0,22.3,27.1,,22.7,23.0,37.1,27.6,23.0,23.0,22.5,,34.7,33.0,22.0,22.0,25.0,23.1,27.0,24.3,27.7,25.0,24.2,,-3.3,-3.7,-4.0,-3.0,-3.2,-7.0,-6.7,-1.9,,-6.3,-6.0,8.1,-1.4,-6.0,-6.0,-6.5,,5.7,4.0,-7.0,-7.0,-4.0,-5.9,-2.0,-4.7,-1.3,-4.0,-4.8,,False,True,True,False,False,True,,False,False,False,True,False,False,False,,False,False,False,False,False,False,True,False,True,False,False,
Nebraska,285,309.7,304.9,332.0,313.0,314.7,311.0,286.2,,,319.6,292.0,366.7,302.7,332.5,279.0,316.7,,322.8,316.6,361.0,308.0,311.0,294.4,297.0,261.6,294.8,324.5,316.4,,24.7,19.9,47.0,28.0,29.7,26.0,1.2,,,34.6,7.0,81.7,17.7,47.5,-6.0,31.7,,37.8,31.6,76.0,23.0,26.0,9.4,12.0,-23.4,9.8,39.5,31.4,,False,False,False,False,True,,,False,True,False,True,False,True,False,,False,False,False,True,False,True,True,True,True,False,False,
Nevada,592,524.1,521.4,560.0,528.0,567.8,801.0,578.0,538.7,,586.9,530.0,601.9,615.5,578.8,609.0,523.7,,513.3,583.0,520.0,523.0,535.0,544.7,554.0,430.3,575.5,545.0,542.3,,-67.9,-70.6,-32.0,-64.0,-24.2,209.0,-14.0,-53.3,,-5.1,-62.0,9.9,23.5,-13.2,17.0,-68.3,,-78.7,-9.0,-72.0,-69.0,-57.0,-47.3,-38.0,-161.7,-16.5,-47.0,-49.7,,True,True,True,False,True,True,,True,True,True,True,True,True,False,,False,True,False,False,True,True,True,False,True,True,True,
New Hampshire,391,419.0,413.2,410.0,423.0,412.5,389.0,400.7,444.8,,424.9,371.0,426.2,403.4,490.6,404.0,428.0,,405.3,409.7,397.0,428.0,430.0,407.0,398.0,403.7,397.0,429.0,404.2,,28.0,22.2,19.0,32.0,21.5,-2.0,9.7,53.8,,33.9,-20.0,35.2,12.4,99.6,13.0,37.0,,14.3,18.7,6.0,37.0,39.0,16.0,7.0,12.7,6.0,38.0,13.2,,True,False,True,True,True,False,,False,True,False,True,False,True,False,,True,True,True,False,False,True,True,True,True,False,True,
New Jersey,15525,18756.1,18334.1,16002.0,18996.0,15430.6,15164.0,13264.8,,,15300.8,15858.0,15522.9,15323.4,13319.9,15144.0,15877.8,,18715.8,15331.4,15343.0,15281.0,17963.0,15103.4,15472.0,13548.1,15564.5,15483.0,15299.6,16022.3,3231.1,2809.1,477.0,3471.0,-94.4,-361.0,-2260.2,,,-224.2,333.0,-2.1,-201.6,-2205.1,-381.0,352.8,,3190.8,-193.6,-182.0,-244.0,2438.0,-421.6,-53.0,-1976.9,39.5,-42.0,-225.4,497.3,True,False,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True
New Mexico,543,534.7,529.9,549.0,541.0,549.5,555.0,564.8,546.3,,565.0,581.0,573.1,565.3,570.0,543.0,548.8,,529.1,571.6,545.0,546.0,552.0,533.9,536.0,514.8,559.6,546.0,537.7,,-8.3,-13.1,6.0,-2.0,6.5,12.0,21.8,3.3,,22.0,38.0,30.1,22.3,27.0,0.0,5.8,,-13.9,28.6,2.0,3.0,9.0,-9.1,-7.0,-28.2,16.6,3.0,-5.3,,True,True,True,False,False,True,,False,False,False,False,False,True,True,,False,False,True,True,False,False,True,False,False,True,True,
New York,32343,31902.1,31845.8,32647.0,31958.9,31763.2,31625.0,31416.9,,,31870.9,31704.0,31699.3,31869.2,31006.0,31443.0,31502.4,,31435.9,31877.2,31567.0,31551.0,31537.0,31594.2,31763.0,32620.1,31772.3,31903.0,31766.8,31773.7,105.1,48.8,850.0,161.9,-33.8,-172.0,-380.1,,,73.9,-93.0,-97.7,72.2,-791.0,-354.0,-294.6,,-361.1,80.2,-230.0,-246.0,-260.0,-202.8,-34.0,823.1,-24.7,106.0,-30.2,-23.3,False,False,True,False,False,,,True,True,True,True,False,False,False,,False,True,False,False,False,False,True,False,True,False,True,True
North Carolina,1513,1591.6,1564.8,1581.0,1629.0,1597.5,2147.0,1639.7,1524.8,1597.3,1503.2,1474.0,1805.3,1568.4,1544.9,1927.0,1541.7,,1483.6,1604.1,1543.0,1518.0,1560.0,1547.2,1552.0,1245.6,1601.8,1648.0,1570.7,1587.3,78.6,51.8,68.0,116.0,84.5,634.0,126.7,11.8,84.3,-9.8,-39.0,292.3,55.4,31.9,414.0,28.7,,-29.4,91.1,30.0,5.0,47.0,34.2,39.0,-267.4,88.8,135.0,57.7,74.3,True,False,False,False,False,True,False,True,True,False,True,True,False,True,,True,False,True,True,True,True,True,False,False,False,True,True
North Dakota,87,82.7,82.3,91.0,82.0,87.8,80.0,84.0,84.5,,82.3,91.0,105.7,85.4,104.1,83.0,85.0,,100.4,83.8,95.0,82.0,85.0,84.4,84.0,83.3,86.5,101.0,86.4,,-4.3,-4.7,4.0,-5.0,0.8,-7.0,-3.0,-2.5,,-4.7,4.0,18.7,-1.6,17.1,-4.0,-2.0,,13.4,-3.2,8.0,-5.0,-2.0,-2.6,-3.0,-3.7,-0.5,14.0,-0.6,,True,False,True,False,True,True,,False,True,False,True,False,True,True,,False,True,False,False,True,True,True,True,True,False,True,
Ohio,3036,3005.7,2983.5,3024.0,3018.0,3098.7,3274.0,3058.4,,,3053.8,3047.0,3407.1,3109.3,3515.4,3046.0,3064.3,3309.5,2937.8,3212.7,3005.5,3043.0,3011.0,3034.5,3076.0,3155.9,3173.7,3011.0,3022.3,3190.0,-30.3,-52.5,-12.0,-18.0,62.7,238.0,22.4,,,17.8,11.0,371.1,73.3,479.4,10.0,28.3,273.5,-98.2,176.7,-30.5,7.0,-25.0,-1.5,40.0,119.9,137.7,-25.0,-13.7,154.0,True,True,False,False,True,,,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True,True,False
Oklahoma,421,414.7,411.4,431.0,416.0,426.9,517.0,432.1,443.6,,410.8,387.0,467.1,413.7,477.1,474.0,391.6,,409.3,425.1,394.0,393.0,426.0,401.9,438.0,327.7,458.0,415.0,419.4,,-6.3,-9.6,10.0,-5.0,5.9,96.0,11.1,22.6,,-10.2,-34.0,46.1,-7.3,56.1,53.0,-29.4,,-11.7,4.1,-27.0,-28.0,5.0,-19.1,17.0,-93.3,37.0,-6.0,-1.6,,False,True,True,False,False,False,,False,False,False,False,False,False,False,,False,True,False,False,True,False,False,False,False,True,True,
Oregon,232,224.3,221.8,231.0,228.0,238.5,294.0,216.1,236.6,,238.7,256.0,280.3,235.9,226.3,247.0,216.1,,240.2,249.6,212.0,237.0,225.0,220.8,236.0,195.5,242.6,226.0,224.8,,-7.7,-10.2,-1.0,-4.0,6.5,62.0,-15.9,4.6,,6.7,24.0,48.3,3.9,-5.7,15.0,-15.9,,8.2,17.6,-20.0,5.0,-7.0,-11.2,4.0,-36.5,10.6,-6.0,-7.2,,True,True,True,False,False,True,,True,False,False,True,True,False,False,,False,False,False,True,True,False,True,False,False,True,True,
Pennsylvania,6897,6945.9,6907.9,6969.0,6971.0,6931.7,6948.0,6983.4,6885.5,,6805.8,6978.0,7062.9,6989.4,6956.5,6852.0,6953.2,,6810.0,6997.2,6885.0,6962.0,6809.0,6880.8,6897.0,6869.3,7013.7,6947.5,6938.9,6935.3,48.9,10.9,72.0,74.0,34.7,51.0,86.4,-11.5,,-91.2,81.0,165.9,92.4,59.5,-45.0,56.2,,-87.0,100.2,-12.0,65.0,-88.0,-16.2,0.0,-27.7,116.7,50.5,41.9,38.3,False,False,True,False,False,True,,False,False,False,False,False,True,False,,False,False,True,False,False,True,True,True,False,False,True,True
Rhode Island,976,988.3,981.4,1001.0,993.0,986.0,953.0,980.2,970.9,,1004.9,1062.0,643.3,954.6,966.8,970.0,1012.4,,978.0,968.2,993.0,997.0,937.0,989.2,958.0,807.7,967.4,1003.0,989.6,,12.3,5.4,25.0,17.0,10.0,-23.0,4.2,-5.1,,28.9,86.0,-332.7,-21.4,-9.2,-6.0,36.4,,2.0,-7.8,17.0,21.0,-39.0,13.2,-18.0,-168.3,-8.6,27.0,13.6,,False,False,True,False,True,True,,False,False,False,False,True,True,False,,True,True,False,False,False,False,False,False,True,False,False,
South Carolina,951,833.0,819.9,853.0,845.0,895.2,1736.0,996.2,860.3,,830.4,741.0,930.9,866.0,859.8,975.0,791.6,,821.7,898.1,808.0,785.0,901.0,767.1,907.0,608.8,941.5,846.0,854.6,,-118.0,-131.1,-98.0,-106.0,-55.8,785.0,45.2,-90.7,,-120.6,-210.0,-20.1,-85.0,-91.2,24.0,-159.4,,-129.3,-52.9,-143.0,-166.0,-50.0,-183.9,-44.0,-342.2,-9.5,-105.0,-96.4,,True,True,True,False,True,True,,False,False,True,True,True,True,False,,False,True,False,False,True,False,True,False,True,True,True,
