,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1114,1082.4,1127.0,1095.0,1101.8,1208.0,,1086.8,1178.2,1167.0,,,1097.0,1137.9,1043.0,1126.0,1086.2,1251.6,1095.0,,1080.4,1110.7,1069.0,,1002.9,,1058.0,1078.6,1091.0,,1127.4,1124.8,1093.0,1080.0,1108.7,-31.6,13.0,-19.0,-12.2,94.0,,-27.2,64.2,53.0,,,-17.0,23.9,-71.0,12.0,-27.8,137.6,-19.0,,-33.6,-3.3,-45.0,,-111.1,,-56.0,-35.4,-23.0,,13.4,10.8,-21.0,-34.0,-5.3,True,True,True,False,,True,False,False,,,True,True,False,True,True,False,True,,False,True,False,,False,,False,False,True,,True,True,True,False,True
Alaska,17,17.7,18.0,18.0,17.6,16.0,,16.2,35.7,17.0,14.3,,21.1,13.0,,16.6,18.1,13.2,18.4,,17.4,18.6,16.0,,18.1,,17.0,16.4,18.0,,18.9,20.2,19.0,17.4,,0.7,1.0,1.0,0.6,-1.0,,-0.8,18.7,0.0,-2.7,,4.1,-4.0,,-0.4,1.1,-3.8,1.4,,0.4,1.6,-1.0,,1.1,,0.0,-0.6,1.0,,1.9,3.2,2.0,0.4,,False,False,True,False,,False,False,True,False,,False,False,,True,False,False,False,,True,False,False,,False,,True,True,False,,False,False,False,True,
Arizona,2151,2023.0,2279.0,2054.0,2072.6,2288.0,,2247.3,2590.4,2336.0,1593.6,,2082.1,2114.4,2342.0,2050.9,2038.5,1709.8,2054.9,,2053.9,2065.6,1952.5,,1972.5,,1965.0,2049.9,2085.0,,2140.8,2148.2,2055.0,2044.1,2092.0,-128.0,128.0,-97.0,-78.4,137.0,,96.3,439.4,185.0,-557.4,,-68.9,-36.6,191.0,-100.1,-112.5,-441.2,-96.1,,-97.1,-85.4,-198.5,,-178.5,,-186.0,-101.1,-66.0,,-10.2,-2.8,-96.0,-106.9,-59.0,False,True,True,False,,True,False,False,False,,True,True,False,True,True,False,True,,True,True,False,,False,,False,True,True,,True,True,True,True,True
Arkansas,319,306.7,336.0,313.0,320.7,336.0,,306.3,369.2,336.0,251.8,,312.1,331.4,331.0,334.8,317.3,285.8,326.5,,322.3,317.8,312.0,,320.4,,299.0,306.3,316.0,,326.1,326.6,320.0,313.0,,-12.3,17.0,-6.0,1.7,17.0,,-12.7,50.2,17.0,-67.2,,-6.9,12.4,12.0,15.8,-1.7,-33.2,7.5,,3.3,-1.2,-7.0,,1.4,,-20.0,-12.7,-3.0,,7.1,7.6,1.0,-6.0,,False,True,True,False,,False,False,False,False,,True,False,True,False,True,False,True,,True,True,True,,True,,False,False,True,,True,True,True,True,
California,7027,6751.0,6937.0,6769.0,6847.0,7180.0,,6819.4,7656.8,7299.0,6038.6,,6702.4,6883.8,7060.0,7125.6,7033.0,8068.1,6766.1,,6709.4,6757.3,6645.0,,6795.6,,6692.0,6754.9,6805.0,,7037.1,6989.1,6802.5,6737.4,6792.3,-276.0,-90.0,-258.0,-180.0,153.0,,-207.6,629.8,272.0,-988.4,,-324.6,-143.2,33.0,98.6,6.0,1041.1,-260.9,,-317.6,-269.7,-382.0,,-231.4,,-335.0,-272.1,-222.0,,10.1,-37.9,-224.5,-289.6,-234.7,True,True,True,True,,True,False,True,False,,False,True,True,True,True,False,True,,False,True,False,,True,,False,True,True,,True,True,True,False,True
Colorado,1725,1722.4,1766.0,1728.0,1737.2,1729.0,,1765.8,1751.1,1759.0,1683.8,,1723.8,1702.9,1750.0,1774.1,1735.9,1768.7,1751.3,,1740.7,1727.7,1731.0,,1744.1,,1707.0,1733.1,1724.0,,1753.4,1743.3,1720.0,1734.2,,-2.6,41.0,3.0,12.2,4.0,,40.8,26.1,34.0,-41.2,,-1.2,-22.1,25.0,49.1,10.9,43.7,26.3,,15.7,2.7,6.0,,19.1,,-18.0,8.1,-1.0,,28.4,18.3,-5.0,9.2,,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,,False,False,False,,False,,False,False,True,,False,False,False,False,
Connecticut,4348,4351.3,4419.0,4359.0,4364.2,4371.0,,4389.3,4352.1,4363.0,4312.3,,4356.4,4363.1,4521.0,4373.6,4356.7,4471.9,4391.2,,4360.2,4361.0,4379.5,,4418.6,,4340.0,4368.8,4350.0,,4364.4,4369.3,4359.0,4364.3,,3.3,71.0,11.0,16.2,23.0,,41.3,4.1,15.0,-35.7,,8.4,15.1,173.0,25.6,8.7,123.9,43.2,,12.2,13.0,31.5,,70.6,,-8.0,20.8,2.0,,16.4,21.3,11.0,16.3,,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,True,,False,False,False,False,
Delaware,517,516.3,567.0,517.0,526.5,538.0,,526.2,523.2,534.0,,,515.6,528.0,539.0,540.0,530.4,503.8,533.1,,514.7,518.6,527.0,,519.8,,518.0,533.6,529.0,,523.4,560.5,522.0,521.2,,-0.7,50.0,0.0,9.5,21.0,,9.2,6.2,17.0,,,-1.4,11.0,22.0,23.0,13.4,-13.2,16.1,,-2.3,1.6,10.0,,2.8,,1.0,16.6,12.0,,6.4,43.5,5.0,4.2,,False,True,False,False,,False,False,False,,,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,,False,False,False,False,
District of Columbia,568,566.7,578.0,566.0,567.5,564.0,,565.1,576.1,567.0,540.4,,566.7,570.7,588.0,572.0,568.1,546.6,,,565.8,566.8,562.0,,568.1,,567.0,570.4,566.0,,568.8,567.1,571.0,568.0,,-1.3,10.0,-2.0,-0.5,-4.0,,-2.9,8.1,-1.0,-27.6,,-1.3,2.7,20.0,4.0,0.1,-21.4,,,-2.2,-1.2,-6.0,,0.1,,-1.0,2.4,-2.0,,0.8,-0.9,3.0,0.0,,False,False,True,False,,False,False,True,False,,False,False,False,False,True,False,,,False,True,False,,True,,True,False,False,,True,True,False,True,
Florida,4197,3998.4,4206.0,4014.0,4118.3,4815.0,,4684.1,4617.4,4967.0,,,4038.0,4096.1,3995.0,4150.2,4060.5,4500.5,3972.7,,3960.1,4140.9,3858.0,,3947.3,,4072.0,4060.3,4188.0,,4396.4,4334.3,4082.0,4005.1,4024.3,-198.6,9.0,-183.0,-78.7,618.0,,487.1,420.4,770.0,,,-159.0,-100.9,-202.0,-46.8,-136.5,303.5,-224.3,,-236.9,-56.1,-339.0,,-249.7,,-125.0,-136.7,-9.0,,199.4,137.3,-115.0,-191.9,-172.7,True,True,True,False,,False,False,False,,,True,True,False,True,True,False,False,,False,True,False,,False,,True,True,True,,False,True,True,True,True
